page_position	event_id	statement_id	surface	exact_card_id	component_recipe	card_meaning_de	semantic_atom_count	source_phrase	workshop_shorthand	is_HO_ingredient_card	is_close	same_card_meaning
1	E074	H5-S001	chochor	PROC051	HO+CH+OR	ZUTAT · ENTNEHMEN · ANSATZ	3	additamentum de praeparatione sume	addit. / de prep. sume	NO	NO	YES
2	E075	H5-S001	cho	PROC052	HO	ZUTAT	1	additamentum	addit.	YES	NO	YES
3	E076	H5-S001	chodaly	PROC053	HO+AL+Y	ZUTAT · ZIELSTELLE · POSTEN	3	additamentum ad locum ut rem	addit. / ad loc. / rem	NO	NO	YES
4	E077	H5-S001	daiin	PROC009	AIIN	SOLLMASS	1	ad mensuram	ad mens.	NO	NO	YES
5	E078	H5-S001	sho	PROC052	HO	ZUTAT	1	additamentum	addit.	YES	NO	YES
6	E079	H5-S001	kchol	PROC054	K+OL	ZUGEBEN · WEITER	2	adde et continua	adde / cont.	NO	NO	YES
7	E080	H5-S001	otchor	PROC020	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	3	deinde de praeparatione sume	deinde / de prep. sume	NO	NO	YES
8	E081	H5-S001	choky	PROC008	OK+Y	ANSETZEN · POSTEN	2	rem pone	rem / pone	NO	NO	YES
9	E082	H5-S001	dal	PROC055	AL	ZIELSTELLE	1	ad locum	ad loc.	NO	NO	YES
10	E083	H5-S002	schol	PROC034	RESUME_CARD	DAVON	1	ex eo	ex eo	NO	NO	YES
11	E084	H5-S002	choy	PROC056	HO+Y	ZUTAT · POSTEN	2	additamentum ut rem	addit. / rem	NO	NO	YES
12	E085	H5-S002	choky	PROC008	OK+Y	ANSETZEN · POSTEN	2	rem pone	rem / pone	NO	NO	YES
13	E086	H5-S002	cheeckhody	PROC057	CH+EE+CKH+O+DY	ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS	5	diu per meatum in opere sume; fini	diu / per meat. / in op. sume / f.	NO	YES	YES
14	E087	H5-S003	sh	PROC058	SH	HALTEN	1	tene	tene	NO	NO	YES
15	E088	H5-S003	cho	PROC052	HO	ZUTAT	1	additamentum	addit.	YES	NO	YES
16	E089	H5-S003	kchey	PROC059	K+E+Y	ZUGEBEN · KURZ · POSTEN	3	rem cito adde	rem / cito adde	NO	NO	YES
17	E090	H5-S003	qokokchy	PROC060	OK+OK+Y	ANSETZEN · ANSETZEN · POSTEN	3	rem bis pone	rem / bis pone	NO	NO	YES
18	E091	H5-S004	okchy	PROC011	OK+Y	ANSETZEN · POSTEN	2	rem pone	rem / pone	NO	NO	YES
19	E092	H5-S004	chokcheo	PROC061	OK+CH+E+O	ANSETZEN · ENTNEHMEN · KURZ · ARBEITSGANG	4	in opere cito pone et sume	in op. / cito pone-sume	NO	NO	YES
20	E093	H5-S004	kchal	PROC062	K+AL	ZUGEBEN · ZIELSTELLE	2	ad locum adde	ad loc. / adde	NO	NO	YES
21	E094	H5-S005	sho	PROC052	HO	ZUTAT	1	additamentum	addit.	YES	NO	YES
22	E095	H5-S005	chokchy	PROC011	OK+Y	ANSETZEN · POSTEN	2	rem pone	rem / pone	NO	NO	YES
23	E096	H5-S005	kchoar	PROC063	K+HO+AR	ZUGEBEN · ZUTAT · QUELLE	3	additamentum ex fonte adde	addit. / ex fonte / adde	NO	NO	YES
24	E097	H5-S005	sotodan	PROC064	OT+O+AIN	DANACH · ARBEITSGANG · PORTION	3	deinde portionem in opere	deinde / port. / in op.	NO	NO	YES
25	E098	H5-S006	otchey	PROC065	OT+Y	DANACH · POSTEN	2	deinde rem	deinde rem	NO	NO	YES
26	E099	H5-S006	keol	PROC066	K+E+OL	ZUGEBEN · KURZ · WEITER	3	cito adde et continua	cito adde / cont.	NO	NO	YES
27	E100	H5-S006	daiin	PROC009	AIIN	SOLLMASS	1	ad mensuram	ad mens.	NO	NO	YES
