mode	record	at	word	material	recipient	recipient_mention	portion	amount	time	previous_time	time_constraint	illustrative_time	illustrative_amount	row_status
N	F83_P1	f83r.2:7	qoteedy	shedy	F83_P1:B	f83r.2:3	d[f83r.2:7]	POSITIVE_UNKNOWN	t[f83r.2:7]	NONE	strictly later than previous executed body; interval unknown	1	1	recorded
N	F83_P1	f83r.5:9	qoteedy	shedy	F83_P1:B	f83r.3:8	d[f83r.5:9]	POSITIVE_UNKNOWN	t[f83r.5:9]	t_previous_body	strictly later than previous executed body; interval unknown	2	1	recorded
N	F83_P1	f83r.6:7	qokeedy	shedy	F83_P1:B	f83r.6:5	d[f83r.6:7]	POSITIVE_UNKNOWN	t[f83r.6:7]	t_previous_body	strictly later than previous executed body; interval unknown	3	1	recorded
N	F83_P1	f83r.7:9	qoteedy	lchedy	F83_P1:B	f83r.6:5	d[f83r.7:9]	POSITIVE_UNKNOWN	t[f83r.7:9]	t_previous_body	strictly later than previous executed body; interval unknown	4	1	recorded
N	F83_P1	f83r.7:10	qoteedy	lchedy	F83_P1:B	f83r.6:5	d[f83r.7:10]	POSITIVE_UNKNOWN	t[f83r.7:10]	t_previous_body	strictly later than previous executed body; interval unknown	5	1	recorded
N	F83_P2	f83r.14:2	qokeedy	shedy	F83_P2:B	f83r.11:3	d[f83r.14:2]	POSITIVE_UNKNOWN	t[f83r.14:2]	NONE	strictly later than previous executed body; interval unknown	1	1	recorded
PRE	F83_P1	f83r.6:7	qokeedy	shedy	F83_P1:B	f83r.6:5	d[f83r.6:7]	POSITIVE_UNKNOWN	t[f83r.6:7]	NONE	strictly later than previous executed body; interval unknown	1	1	recorded
PRE	F83_P2	f83r.14:2	qokeedy	shedy	F83_P2:B	f83r.11:3	d[f83r.14:2]	POSITIVE_UNKNOWN	t[f83r.14:2]	NONE	strictly later than previous executed body; interval unknown	1	1	recorded
POST	F83_P1	f83r.6:7	qokeedy	shedy	F83_P1:B	f83r.6:5	d[f83r.6:7]	POSITIVE_UNKNOWN	t[f83r.6:7]	NONE	strictly later than previous executed body; interval unknown	1	1	recorded
POST	F83_P1	f83r.7:9	qoteedy	lchedy	F83_P1:B	f83r.6:5	d[f83r.7:9]	POSITIVE_UNKNOWN	t[f83r.7:9]	t_previous_body	strictly later than previous executed body; interval unknown	2	1	recorded
POST	F83_P1	f83r.7:10	qoteedy	lchedy	F83_P1:B	f83r.6:5	d[f83r.7:10]	POSITIVE_UNKNOWN	t[f83r.7:10]	t_previous_body	strictly later than previous executed body; interval unknown	3	1	recorded
POST	F83_P2	f83r.14:2	qokeedy	shedy	F83_P2:B	f83r.11:3	d[f83r.14:2]	POSITIVE_UNKNOWN	t[f83r.14:2]	NONE	strictly later than previous executed body; interval unknown	1	1	recorded
