held_page	global_running_event_id	source_event_id	surface	component_recipe	atom_count	other_surface_pages	other_recipe_pages	unsupported_atoms	unsupported_portable_atoms	unsupported_local_atoms	adjacent_pair_count	supported_adjacent_pair_count	unsupported_adjacent_pairs	longest_other_page_span_max4	leave_one_page_replay_class
f1r	G407-E0001	G404-E0001	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	5	NONE	NONE	NONE	NONE	NONE	4	4	NONE	2	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES
f1r	G407-E0002	G404-E0002	ykal	Y+K+AL	3	NONE	NONE	NONE	NONE	NONE	2	2	NONE	3	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES
f1r	G407-E0003	G404-E0003	ar	AR	1	f55v|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f83r|f88r|f89r|f95v	f10r|f55v|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f82r|f83r|f88r|f89r|f95v	NONE	NONE	NONE	0	0	NONE	1	EXACT_SURFACE_FROM_OTHER_PAGE
f1r	G407-E0004	G404-E0004	ataiin	A_ADDR+T+AIIN	3	NONE	NONE	NONE	NONE	NONE	2	2	NONE	2	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES
f1r	G407-E0005	G404-E0005	shol	SH+OL	2	f13r|f17r|f24v|f56r|f72r|f76r|f77r|f81r|f81v|f83r|f95v	f13r|f17r|f24v|f56r|f72r|f76r|f77r|f81r|f81v|f83r|f95v	NONE	NONE	NONE	1	1	NONE	2	EXACT_SURFACE_FROM_OTHER_PAGE
f1r	G407-E0006	G404-E0006	shory	SH+OR+Y	3	NONE	NONE	NONE	NONE	NONE	2	2	NONE	2	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES
f1r	G407-E0007	G404-E0007	cthres	CH+T+R+E+S	5	NONE	NONE	NONE	NONE	NONE	4	2	T+R|R+E	2	KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION
f1r	G407-E0008	G404-E0008	y	Y	1	f10r|f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f72r|f76r|f77r|f81r|f81v|f88v|f89r|f95v	f10r|f11r|f13r|f17r|f18r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	NONE	NONE	NONE	0	0	NONE	1	EXACT_SURFACE_FROM_OTHER_PAGE
f1r	G407-E0009	G404-E0009	kor	K+OR	2	f88r	f76r|f88r	NONE	NONE	NONE	1	1	NONE	2	EXACT_SURFACE_FROM_OTHER_PAGE
f1r	G407-E0010	G404-E0010	sholdy	SH+OL+D_ADDR+Y	4	f18r|f89r	f18r|f89r	NONE	NONE	NONE	3	3	NONE	4	EXACT_SURFACE_FROM_OTHER_PAGE
f1r	G407-E0011	G404-E0011	sory	S+OR+Y	3	NONE	NONE	NONE	NONE	NONE	2	2	NONE	2	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES
f1r	G407-E0012	G404-E0012	ckhar	CH+K+AR	3	NONE	f72r|f75r	NONE	NONE	NONE	2	2	NONE	3	EXACT_RECIPE_FROM_OTHER_PAGE
f1r	G407-E0013	G404-E0013	or	OR	1	f10r|f17r|f18r|f24v|f55v|f67r2|f71v|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f89r|f95v	f10r|f17r|f18r|f24v|f55v|f67r2|f71v|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f89r|f95v	NONE	NONE	NONE	0	0	NONE	1	EXACT_SURFACE_FROM_OTHER_PAGE
f1r	G407-E0014	G404-E0014	y	Y	1	f10r|f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f72r|f76r|f77r|f81r|f81v|f88v|f89r|f95v	f10r|f11r|f13r|f17r|f18r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	NONE	NONE	NONE	0	0	NONE	1	EXACT_SURFACE_FROM_OTHER_PAGE
f1r	G407-E0015	G404-E0015	kair	K+AIR	2	f81v	f81v	NONE	NONE	NONE	1	1	NONE	2	EXACT_SURFACE_FROM_OTHER_PAGE
f1r	G407-E0016	G404-E0016	chtaiin	CH+T+AIIN	3	NONE	f10r|f18r	NONE	NONE	NONE	2	2	NONE	3	EXACT_RECIPE_FROM_OTHER_PAGE
f1r	G407-E0017	G404-E0017	shar	SH+AR	2	f89r|f95v	f89r|f95v	NONE	NONE	NONE	1	1	NONE	2	EXACT_SURFACE_FROM_OTHER_PAGE
f1r	G407-E0018	G404-E0018	ase	A_ADDR+S+E	3	NONE	NONE	NONE	NONE	NONE	2	2	NONE	2	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES
f1r	G407-E0019	G404-E0019	cthar	CH+T+AR	3	f17r|f18r|f76r	f17r|f18r|f76r	NONE	NONE	NONE	2	2	NONE	3	EXACT_SURFACE_FROM_OTHER_PAGE
f1r	G407-E0020	G404-E0020	cthar	CH+T+AR	3	f17r|f18r|f76r	f17r|f18r|f76r	NONE	NONE	NONE	2	2	NONE	3	EXACT_SURFACE_FROM_OTHER_PAGE
f1r	G407-E0021	G404-E0021	dan	AIN	1	NONE	f10r|f11r|f18r|f55v|f67r2|f75r|f76r|f77r|f81r|f81v|f83r|f88v|f89r|f95v	NONE	NONE	NONE	0	0	NONE	1	EXACT_RECIPE_FROM_OTHER_PAGE
