held_page	running_event_count	distinct_running_surface_count	exact_surface_event_count	exact_recipe_event_count	package_composition_event_count	known_atom_composition_event_count	page_private_local_sign_event_count	failed_event_count	page_private_portable_atoms	page_private_local_atoms	local_group_count	exact_local_surface_count	local_recipe_shape_count	page_private_local_copy_count	attachment_count	exact_factor_signature_count	factorized_composition_count	failed_attachment_count	page_private_factor_values	leave_one_page_result
f1r	214	164	138	7	58	11	0	0	NONE	NONE	0	0	0	0	203	200	3	0	NONE	PASS_FACTORIZED_LEAVE_ONE_PAGE
f10r	92	72	64	9	18	1	0	0	NONE	NONE	0	0	0	0	82	82	0	0	NONE	PASS_FACTORIZED_LEAVE_ONE_PAGE
f11r	59	42	45	1	12	1	0	0	NONE	NONE	0	0	0	0	54	54	0	0	NONE	PASS_FACTORIZED_LEAVE_ONE_PAGE
f13r	77	61	58	6	10	3	0	0	NONE	NONE	0	0	0	0	68	66	2	0	NONE	PASS_FACTORIZED_LEAVE_ONE_PAGE
f17r	78	74	39	6	30	3	0	0	NONE	NONE	2	0	2	0	62	62	0	0	NONE	PASS_FACTORIZED_LEAVE_ONE_PAGE
f18r	84	63	59	12	11	2	0	0	NONE	NONE	0	0	0	0	75	72	3	0	NONE	PASS_FACTORIZED_LEAVE_ONE_PAGE
f24v	86	79	46	2	31	7	0	0	NONE	NONE	0	0	0	0	67	67	0	0	NONE	PASS_FACTORIZED_LEAVE_ONE_PAGE
f55v	106	74	80	4	18	4	0	0	NONE	NONE	0	0	0	0	120	120	0	0	NONE	PASS_FACTORIZED_LEAVE_ONE_PAGE
f56r	105	81	71	8	21	4	1	0	NONE	RESUME_CARD	0	0	0	0	94	94	0	0	NONE	PASS_FACTORIZED_LEAVE_ONE_PAGE
f67r2	126	106	71	5	36	14	0	0	NONE	NONE	64	18	2	44	145	139	6	0	NONE	PASS_FACTORIZED_LEAVE_ONE_PAGE
f68r1	31	31	15	2	14	0	0	0	NONE	NONE	34	5	1	28	44	44	0	0	NONE	PASS_FACTORIZED_LEAVE_ONE_PAGE
f69v	0	0	0	0	0	0	0	0	NONE	NONE	140	61	13	66	0	0	0	0	NONE	PASS_LOCAL_COPY_ONLY__NO_PROSE_SCOPE
f70v	0	0	0	0	0	0	0	0	NONE	NONE	218	85	9	124	0	0	0	0	NONE	PASS_LOCAL_COPY_ONLY__NO_PROSE_SCOPE
f71v	78	67	50	3	23	2	0	0	NONE	NONE	22	11	11	0	105	105	0	0	NONE	PASS_FACTORIZED_LEAVE_ONE_PAGE
f72r	288	197	187	44	52	5	0	0	NONE	NONE	96	26	70	0	352	345	7	0	NONE	PASS_FACTORIZED_LEAVE_ONE_PAGE
f75r	408	195	352	13	35	8	0	0	NONE	NONE	10	3	1	6	433	433	0	0	NONE	PASS_FACTORIZED_LEAVE_ONE_PAGE
f76r	560	256	453	46	52	9	0	0	NONE	NONE	9	5	0	4	652	648	4	0	NONE	PASS_FACTORIZED_LEAVE_ONE_PAGE
f77r	321	167	271	13	30	7	0	0	NONE	NONE	11	3	8	0	359	353	6	0	NONE	PASS_FACTORIZED_LEAVE_ONE_PAGE
f81r	210	128	178	3	25	4	0	0	NONE	NONE	0	0	0	0	213	209	4	0	NONE	PASS_FACTORIZED_LEAVE_ONE_PAGE
f81v	253	156	199	9	39	6	0	0	NONE	NONE	2	1	1	0	282	280	2	0	NONE	PASS_FACTORIZED_LEAVE_ONE_PAGE
f82r	278	161	215	15	42	6	0	0	NONE	NONE	13	3	0	10	353	351	2	0	NONE	PASS_FACTORIZED_LEAVE_ONE_PAGE
f83r	341	195	267	18	46	10	0	0	NONE	NONE	4	0	0	4	389	388	1	0	NONE	PASS_FACTORIZED_LEAVE_ONE_PAGE
f88r	134	95	99	4	25	5	1	0	NONE	LOCAL_CHAR_J	16	5	0	11	151	149	2	0	NONE	PASS_FACTORIZED_LEAVE_ONE_PAGE
f88v	131	105	83	12	31	5	0	0	NONE	NONE	14	2	12	0	176	176	0	0	NONE	PASS_FACTORIZED_LEAVE_ONE_PAGE
f89r	338	207	246	39	44	9	0	0	NONE	NONE	38	10	28	0	378	373	5	0	NONE	PASS_FACTORIZED_LEAVE_ONE_PAGE
f95v	178	142	116	3	52	7	0	0	NONE	NONE	0	0	0	0	194	193	1	0	NONE	PASS_FACTORIZED_LEAVE_ONE_PAGE
