held_page	source_event_id	locus	surface	component_recipe	source_local_role	other_surface_pages	other_recipe_pages	leave_one_page_replay_class
f17r	P1003-E0079	f17r.13	oteeeon	LOCAL_ADDRESS	LOCAL_ADDRESS_OR_LABEL	NONE	f71v|f72r|f77r|f88v|f89r	LOCAL_RECIPE_SHAPE_OTHER_PAGE
f17r	P1003-E0080	f17r.13	oiil	LOCAL_ADDRESS	LOCAL_ADDRESS_OR_LABEL	NONE	f71v|f72r|f77r|f88v|f89r	LOCAL_RECIPE_SHAPE_OTHER_PAGE
f67r2	P912-E1749	f67r2.1	ykshy	Y+K+Y	LOCAL_ADDRESS_OR_LABEL	NONE	NONE	PAGE_PRIVATE_LOCAL_COPY_ALLOWED
f67r2	P912-E1750	f67r2.1	s	S	LOCAL_ADDRESS_OR_LABEL	f70v|f76r	f70v	EXACT_LOCAL_SURFACE_OTHER_PAGE
f67r2	P912-E1751	f67r2.1	aram	AR+AM_ADDR	LOCAL_ADDRESS_OR_LABEL	NONE	NONE	PAGE_PRIVATE_LOCAL_COPY_ALLOWED
f67r2	P912-E1752	f67r2.2	ykecho	Y+K+E+CH+O	LOCAL_ADDRESS_OR_LABEL	NONE	NONE	PAGE_PRIVATE_LOCAL_COPY_ALLOWED
f67r2	P912-E1753	f67r2.2	ols	OL+S	LOCAL_ADDRESS_OR_LABEL	NONE	f75r	LOCAL_RECIPE_SHAPE_OTHER_PAGE
f67r2	P912-E1754	f67r2.2	eesydy	EE+S+Y+D_ADDR+Y	LOCAL_ADDRESS_OR_LABEL	NONE	NONE	PAGE_PRIVATE_LOCAL_COPY_ALLOWED
f67r2	P912-E1755	f67r2.3	ey	E+Y	LOCAL_ADDRESS_OR_LABEL	NONE	NONE	PAGE_PRIVATE_LOCAL_COPY_ALLOWED
f67r2	P912-E1756	f67r2.3	shs	SH+S	LOCAL_ADDRESS_OR_LABEL	NONE	NONE	PAGE_PRIVATE_LOCAL_COPY_ALLOWED
f67r2	P912-E1757	f67r2.3	okar	OK+AR	LOCAL_ADDRESS_OR_LABEL	f69v	f69v	EXACT_LOCAL_SURFACE_OTHER_PAGE
f67r2	P912-E1758	f67r2.4	shekchy	SH+E+K+CH+Y	LOCAL_ADDRESS_OR_LABEL	NONE	NONE	PAGE_PRIVATE_LOCAL_COPY_ALLOWED
f67r2	P912-E1759	f67r2.4	sykos	S+Y+K+O+S_ADDR	LOCAL_ADDRESS_OR_LABEL	NONE	NONE	PAGE_PRIVATE_LOCAL_COPY_ALLOWED
f67r2	P912-E1760	f67r2.5	ykeody	Y+K+E+O+DY	LOCAL_ADDRESS_OR_LABEL	f69v|f70v	f69v|f70v	EXACT_LOCAL_SURFACE_OTHER_PAGE
