object_form_order	object_class	object_lemma_de	grammatical_gender	reference_mode	determiner_de	rendered_object_np_de	occurrence_count	typing_card_profile
1	BODY	Körper	MASCULINE	ANAPHORIC	denselben	denselben Körper	6	T03_BOUND_COMPATIBLE_REFERENCE:6
2	BODY	Körper	MASCULINE	DEFINITE	den	den Körper	7	T01_WRITTEN_TYPED_OBJECT:6|T03_BOUND_COMPATIBLE_REFERENCE:1
3	BODY_PART	Körperteil	NEUTER	DEFINITE	das	das Körperteil	3	T01_WRITTEN_TYPED_OBJECT:3
4	CONDITION	Stationsbedingung	FEMININE	DEFINITE	die	die Stationsbedingung	16	T02_ACTION_INTERNAL_OBJECT:16
5	FLOW	Beckeninhalt	MASCULINE	DEFINITE	den	den Beckeninhalt	1	T01_WRITTEN_TYPED_OBJECT:1
6	FLOW	Mengenangabe	FEMININE	DEFINITE	die	die Mengenangabe	1	T01_WRITTEN_TYPED_OBJECT:1
7	FLOW	Strom	MASCULINE	ANAPHORIC	denselben	denselben Strom	2	T03_BOUND_COMPATIBLE_REFERENCE:2
8	FLOW	Strom	MASCULINE	DEFINITE	den	den Strom	29	T01_WRITTEN_TYPED_OBJECT:5|T02_ACTION_INTERNAL_OBJECT:24
9	FLOW	Teilmenge	FEMININE	DEFINITE	die	die Teilmenge	1	T01_WRITTEN_TYPED_OBJECT:1
10	MEASURE	Stations- oder Badmaß	NEUTER	ANAPHORIC	dasselbe	dasselbe Stations- oder Badmaß	2	T03_BOUND_COMPATIBLE_REFERENCE:2
11	MEASURE	Stationsmaß	NEUTER	ANAPHORIC	dasselbe	dasselbe Stationsmaß	1	T03_BOUND_COMPATIBLE_REFERENCE:1
12	MEASURE	Stationsmaß	NEUTER	DEFINITE	das	das Stationsmaß	21	T01_WRITTEN_TYPED_OBJECT:21
13	PORTION	Anwendungsportion	FEMININE	ANAPHORIC	dieselbe	dieselbe Anwendungsportion	4	T03_BOUND_COMPATIBLE_REFERENCE:4
14	PORTION	Anwendungsportion	FEMININE	DEFINITE	die	die Anwendungsportion	15	T01_WRITTEN_TYPED_OBJECT:15
15	STATION	Stationsansatz	MASCULINE	ANAPHORIC	denselben	denselben Stationsansatz	60	T03_BOUND_COMPATIBLE_REFERENCE:60
16	STATION	Stationsansatz	MASCULINE	DEFINITE	den	den Stationsansatz	217	T01_WRITTEN_TYPED_OBJECT:164|T03_BOUND_COMPATIBLE_REFERENCE:3|T05_WORKPIECE_DEFAULT:50
17	UNIT	Becken- oder Körpereinheit	FEMININE	ANAPHORIC	dieselbe	dieselbe Becken- oder Körpereinheit	2	T03_BOUND_COMPATIBLE_REFERENCE:2
18	UNIT	Stationseinheit	FEMININE	DEFINITE	die	die Stationseinheit	8	T01_WRITTEN_TYPED_OBJECT:2|T04_STABLE_CLASS_DEFAULT:6
