target_governor_key	target_rule_id	rejected_source_governor_key	rejected_source_class	rejected_source_lemma_de	reason
ACTION:G407-E2585@3:T	T_PHYSICAL_GRADE_TEMPER	ACTION:G407-E2584@1:SH	BODY	Körper	NEW_BATCH_MARKER_BLOCKS_BODY_REFERENCE
ACTION:G407-E2765@2:CHD	CHD_BIO_TREAT	ACTION:G407-E2764@1:OK	PORTION	Anwendungsportion	COMPLETED_APPLICATION_BLOCKS_USED_PORTION_REFERENCE
ACTION:G407-E3147@1:CHD	CHD_BIO_TREAT	ACTION:G407-E3145@1:S	FLOW	Strom	DIVERTED_INTERNAL_FLOW_DOES_NOT_BECOME_TREATMENT_PATIENT
ACTION:G407-E3159@2:CHD	CHD_BIO_TREAT	ACTION:G407-E3159@1:T	CONDITION	Stationsbedingung	INCOMPATIBLE_WITH_ACTION_RULE
ACTION:G407-E3200@3:T	T_PHYSICAL_GRADE_TEMPER	ACTION:G407-E3199@1:OK	MEASURE	Stations- oder Badmaß	INCOMPATIBLE_WITH_ACTION_RULE
ACTION:G407-E3200@3:T	T_PHYSICAL_GRADE_TEMPER	ACTION:G407-E3198@1:OK	MEASURE	Stations- oder Badmaß	INCOMPATIBLE_WITH_ACTION_RULE
ACTION:G407-E3200@3:T	T_PHYSICAL_GRADE_TEMPER	ACTION:G407-E3197@2:K	STATION	Stationsansatz	TWO_MEASURE_PARAMETERS_BLOCK_FAR_PARTICIPANT_REFERENCE
ACTION:G407-E3266@2:CHD	CHD_BIO_TREAT	ACTION:G407-E3265@1:T	CONDITION	Stationsbedingung	INCOMPATIBLE_WITH_ACTION_RULE
ACTION:G407-E3281@2:CHD	CHD_BIO_TREAT	ACTION:G407-E3280@1:OK	MEASURE	Stations- oder Badmaß	INCOMPATIBLE_WITH_ACTION_RULE
ACTION:G407-E3707@1:T	T_PHYSICAL_GRADE_TEMPER	ACTION:G407-E3706@1:S	MEASURE	Stationsmaß	INCOMPATIBLE_WITH_ACTION_RULE
ACTION:G407-E3749@1:S	S_REST_SELECT	ACTION:G407-E3747@1:K	PORTION	Anwendungsportion	COMPLETED_TRANSFER_BLOCKS_OLD_PORTION_SELECTION
