review_id	primary_governor_key	statement_id	physical_page	review_class	selection_route	source_pointer	object_lemma_de	selection_blocker	completed_clause_de	workshop_reason_de	retained_rival_de	decision_de
W01	ACTION:G407-E1628@1:S	G407-S119	f75r	OBJECT_RIVAL	RIGHT_SAME_EVENT_COMPATIBLE_SOURCE	ACTION:G407-E1628@2:SH	Körper	LOCAL_RIGHT_DIFFERENT_OBJECT_OUTRANKS_OLDER_LEFT	Wähle den Körper aus	Der rechte Körper gehört zum selben Ereignis und ist näher als der ältere Stationsansatz.	älterer Stationsansatz E1626	RIGHT_BODY_WINS
W02	ACTION:G407-E2585@3:T	G407-S370	f77r	SCOPE_BLOCKER	ACTION_RULE_TYPED_DEFAULT	NONE	Stationsansatz	NEW_BATCH_MARKER_BLOCKS_BODY_REFERENCE	Temperiere den Stationsansatz auf der Anwendungsstufe, auf Grad I und als neuer Bad- oder Stationsansatz	Die sichtbare Neuansatzformulierung beendet die ältere Körperreferenz.	NONE	DEFAULT_STATION_AFTER_NEW_BATCH_MARKER
W03	ACTION:G407-E2755@2:S	G407-S397	f81r	OBJECT_RIVAL	RIGHT_SAME_EVENT_COMPATIBLE_SOURCE	ACTION:G407-E2755@4:S	Stationsansatz	LOCAL_RIGHT_DIFFERENT_OBJECT_OUTRANKS_OLDER_LEFT	Wähle den Stationsansatz auf Grad I aus	Der rechts geschriebene Stationsansatz desselben Ereignisses schlägt den nur aktionsintern erzeugten Strom.	interner Strom E2753	RIGHT_STATION_WINS
W04	ACTION:G407-E2765@2:CHD	G407-S397	f81r	SCOPE_BLOCKER	ACTION_RULE_TYPED_DEFAULT	NONE	Stationsansatz	COMPLETED_APPLICATION_BLOCKS_USED_PORTION_REFERENCE	Behandle den Stationsansatz	Die unmittelbar zuvor angewandte Portion ist nach der Anwendung kein überzeugender fortbestehender Behandlungspatient.	verwendete Anwendungsportion E2764	DEFAULT_STATION_AFTER_USED_PORTION
W05	ACTION:G407-E3013@4:T	G407-S455	f81v	SAME_EVENT_BINDING	LEFT_COMPATIBLE_TYPED_SOURCE	ACTION:G407-E3013@2:SH	Stationsansatz	NONE	Lass denselben Stationsansatz anschließend auf Grad II und an der Stations-Arbeitsstelle abkühlen	Abkühlen nimmt das unmittelbar vorangehende Badobjekt desselben Ereignisses wieder auf.	NONE	KEEP_LEFT_SAME_EVENT_STATION
W06	ACTION:G407-E3061@1:S	G407-S468	f81v	OBJECT_RIVAL	LEFT_COMPATIBLE_TYPED_SOURCE	ACTION:G407-E3060@1:SH	Körper	NONE	Wähle denselben Körper an der Stations-Hauptstelle aus	Der linke Körper ist der aktuelle Patient; der spätere Stationsansatz gehört zu einer anderen Handlung im Ereignis.	rechter Stationsansatz E3061@6	LEFT_BODY_WINS
W07	ACTION:G407-E3129@4:T	G407-S485	f81v	PATIENT_COMPATIBILITY	LEFT_COMPATIBLE_TYPED_SOURCE	ACTION:G407-E3129@1:S	Strom	NONE	Temperiere denselben Strom auf Grad I und an der Stations-Arbeitsstelle	Der gleichereignige Strom ist ein natürlicher Temperaturpatient.	Stationsansatz-Default	KEEP_LEFT_SAME_EVENT_FLOW
W08	ACTION:G407-E3147@1:CHD	G407-S487	f81v	SCOPE_BLOCKER	ACTION_RULE_TYPED_DEFAULT	NONE	Stationsansatz	DIVERTED_INTERNAL_FLOW_DOES_NOT_BECOME_TREATMENT_PATIENT	Behandle den Stationsansatz	Ein zuvor nur aktionsintern umgeleiteter Strom wird ohne Kanal- oder Wegsignal nicht automatisch zum Behandlungspatienten.	entfernter interner Strom E3145	DEFAULT_STATION_AFTER_INTERNAL_FLOW
W09	ACTION:G407-E3159@2:CHD	G407-S489	f81v	PARAMETER_SKIP	LEFT_COMPATIBLE_TYPED_SOURCE	ACTION:G407-E3158@1:CHD	Stationsansatz	NONE	Behandle denselben Stationsansatz	Die dazwischenstehende Stationsbedingung ist Parameter und kein Behandlungspatient.	NONE	SKIP_CONDITION_KEEP_STATION
W10	ACTION:G407-E3200@3:T	G407-S498	f82r	PARAMETER_BARRIER	ACTION_RULE_TYPED_DEFAULT	NONE	Stationsansatz	TWO_MEASURE_PARAMETERS_BLOCK_FAR_PARTICIPANT_REFERENCE	Temperiere den Stationsansatz	Zwei unmittelbarere Maßparameter blockieren die weit entfernte Teilnehmeranapher; Maß selbst darf nicht temperiert werden.	ferner Stationsansatz E3197	DEFAULT_STATION_AFTER_TWO_MEASURES
