pair_id	axis	left_atoms	right_atoms	changed_slot	left_surface_types	right_surface_types	left_occurrences	right_occurrences	left_pages	right_pages	left_example	right_example	left_reading_de	right_reading_de	teaching_rule_de	verdict
Q01	MENGE	AIIN	AIN	AIIN↔AIN	aiin|chaiin|dadaiin|daiin|oaiin|saiin|taiin|todaiin	ain|chkain|kain|oekain|sain|yfain	34	9	f10r|f11r|f55v|f56r|f67r2|f69v|f81v|f82r|f83r	f67r2|f81v|f83r	E009:daiin:H1	E107:kain:B1	Sollwert	Portion	AIIN gibt die Vorgabe, AIN den abgeteilten Stoff	STARK
Q02	MENGE	AIIN	IIN	AIIN↔IIN	aiin|chaiin|dadaiin|daiin|oaiin|saiin|taiin|todaiin	daiiin|doiin|kaiiin|oiiin|oiin|soiiin	34	6	f10r|f11r|f55v|f56r|f67r2|f69v|f81v|f82r|f83r	f10r|f67r2|f81v|f83r	E009:daiin:H1	E036:kaiiin:H2	Sollwert	Arbeitsstufe	AIIN beantwortet wie viel, IIN welche Stufe	STARK
Q03	MENGE	OK+AIIN	OK+AIN	AIIN↔AIN	okaiin|qokaiin|qokoaiin	okain|qokain	10	8	f55v|f67r2|f81v|f82r|f83r	f67r2|f81v|f82r|f83r	E056:qokaiin:H4	E127:qokain:B1	auf Sollwert ansetzen	eine Portion ansetzen	OK bleibt gleich; nur Vorgabe gegen Teilmenge wechselt	STARK
Q04	MENGE	Y+AIIN	Y+AIN	AIIN↔AIN	ykaiin	ykain|ykan	1	2	f55v	f55v	E064:ykaiin:H4	E058:ykain:H4	Sollwert dieses Postens	Portion dieses Postens	Y hält denselben Gegenstand, die Mengenart wechselt	STARK
Q05	MENGE	AL+AIIN	AL+AIN	AIIN↔AIN	alaiin|aldaiin	salsain	2	1	f67r2	f67r2	A1:G080:alaiin:A1_LEFT_LOCAL_FIELD_32	A1:G058:salsain:A1_LEFT_LOCAL_FIELD_23	Sollwert am Ziel	Portion am Ziel	Zieladresse bleibt; Mengenart wechselt	MITTEL
Q06	MENGE	OD+IIN	OD+AIN	IIN↔AIN	odaeiin|odaiiin	odain	2	1	f67r2	f67r2	A1:G037:odaeiin:A1_LEFT_LOCAL_FIELD_16	A1:G187:odain:A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	markierte Stufe	markierte Portion	OD markiert, aber bestimmt nicht selbst die Mengenart	MITTEL
D01	RICHTUNG	AL	AR	AL↔AR	al|aldy|alys|chal|cheal|daiial|dal|ldalor|ral|sal|tal	ar|char|chear|chykar|dar|dary|dosar|oar|oear|ofar|qear|sar|sarydy|sodar|soear	22	31	f56r|f67r2|f69v|f81v|f82r|f83r	f10r|f67r2|f68r1|f69v|f81v|f82r|f83r	E082:dal:H5	E003:char:H1	Ziel	Quelle	AL blickt hin, AR blickt her	STARK
D02	RICHTUNG	AR	AIR	AR↔AIR	ar|char|chear|chykar|dar|dary|dosar|oar|oear|ofar|qear|sar|sarydy|sodar|soear	air|airchy|chair|dair|doair|kair|qofair|schedair|ypair	31	14	f10r|f67r2|f68r1|f69v|f81v|f82r|f83r	f10r|f67r2|f69v|f81v|f83r	E003:char:H1	E006:chair:H1	Quelle	Lauf oder Bahn	AIR ist der Weglauf zwischen Adressen, nicht bloß eine zweite Quelle	MITTEL
D03	RICHTUNG	OK+AL	OK+AR	AL↔AR	okal|qokal	okar|qokar	7	5	f55v|f67r2|f81v|f82r|f83r	f67r2|f69v|f82r	E069:okal:H4	E191:qokar:B2	am Ziel ansetzen	von der Quelle ansetzen	OK bleibt gleich; nur Ziel gegen Quelle wechselt	STARK
D04	RICHTUNG	OT+AL	OT+AR	AL↔AR	otal|qotal	otar|otoar	3	3	f83r	f67r2|f69v|f81v	E230:qotal:B3	E149:otar:B1	danach zum Ziel	danach von der Quelle	OT ordnet nur; AL und AR tragen die Richtung	STARK
D05	RICHTUNG	YK+AL	YK+AR	AL↔AR	ykaly|ykeeal	ykar	2	3	f67r2|f69v	f67r2|f69v	A1:G020:ykaly:A1_RIGHT_SECTOR_SLOT_09	A1:G019:ykar:A1_RIGHT_SECTOR_SLOT_09	Ziel der Klasse	Quelle der Klasse	dieselbe Tabellenklasse kann Quelle oder Ziel adressieren	STARK
D06	RICHTUNG	CHD+AL	CHD+AR	AL↔AR	chdal	cheedar|dchdar	1	2	f83r	f67r2|f83r	E368:chdal:B5	E285:cheedar:B3	zum Ziel umsetzen	von der Quelle umsetzen	CHD ist die Bewegung, AL oder AR ihre Adresse	STARK
D07	RICHTUNG	L+CHD+AL	L+CHD+AR	AL↔AR	lchedal	lchedar	1	1	f81v	f82r	E147:lchedal:B1	E215:lchedar:B2	zum nachgeordneten Ziel führen	aus der nachgeordneten Quelle abführen	L+CHD bleibt; die letzte Adresse kehrt den Blick	MITTEL
O01	REIHENFOLGE	OL	OT	OL↔OT	cheol|chol|cphol|dolchsody|oeoldan|ol|ols|oly|qol|qolky|rol|sol|tol	ot|otaza|otchl|otchy|oty|otydy|otys	29	10	f10r|f67r2|f68r1|f69v|f81v|f83r	f67r2|f68r1|f69v	E013:chol:H1	A1:G041:otchey:A1_LEFT_LOCAL_FIELD_17	fortsetzen	danach oder nächster	OL hält denselben Gang, OT eröffnet den Folgeposten	STARK
O02	REIHENFOLGE	OL+OR	OT+OR	OL↔OT	cholor|olor	otchor|otor|qotchor	3	4	f10r|f68r1|f81v	f10r|f56r|f68r1	E028:cholor:H2	E024:qotchor:H2	Fortsetzungsansatz	Folgeansatz	OR bleibt derselbe Ansatzkörper; Ordnung wechselt	STARK
O03	REIHENFOLGE	OL+AR	OT+AR	OL↔OT	olar	otar|otoar	1	3	f67r2	f67r2|f69v|f81v	A1:G177:olar:A1_RIGHT_OUTER_RING_TEXT	E149:otar:B1	von der Quelle weiter	danach von der Quelle	AR bleibt Quelle; OL setzt fort, OT schaltet weiter	MITTEL
O04	REIHENFOLGE	OL+Y	OT+Y	OL↔OT	qolchey	otchey|qotchy	1	3	f83r	f11r|f56r|f83r	E316:qolchey:B4	E052:qotchy:H3	diesen Posten weiterführen	nächsten Posten nehmen	Y bleibt der Postenträger; Ordnung entscheidet derselbe oder nächster	STARK
O05	REIHENFOLGE	OL+CHD+CLOSE	OT+CHD+CLOSE	OL↔OT	olchedy|qolchedy	otchdy|otchedy|qotchedy	3	3	f81v|f82r|f83r	f83r	E126:qolchedy:B1	E281:qotchedy:B3	weiter umsetzen und schließen	folgenden Posten umsetzen und schließen	Operation und Schluss bleiben; nur Kontinuität gegen Folge wechselt	STARK
G01	GRAD	OK+E+Y	OK+EE+Y	E↔EE	okey|qokey	okeey|qokeey	2	7	f81v|f82r	f81v|f82r|f83r	E142:qokey:B1	E153:okeey:B1	kurz ansetzen	länger ansetzen	ein E-Schritt verlängert denselben offenen OK-Gang	STARK
G02	GRAD	OK+E+CLOSE	OK+EE+CLOSE	E↔EE	qokedy	qokeedy	8	10	f81v|f83r	f82r|f83r	E101:qokedy:B1	E171:qokeedy:B2	kurz ansetzen und schließen	länger ansetzen und schließen	derselbe geschlossene OK-Gang bekommt längere Dauer	STARK
G03	GRAD	OK+EE+CLOSE	OK+EEE+CLOSE	EE↔EEE	qokeedy	qokeeedy	10	1	f82r|f83r	f82r	E171:qokeedy:B2	E209:qokeeedy:B2	länger ansetzen und schließen	vollständig ansetzen und schließen	das dritte E steigert länger zu vollständig	DÜNN_ABER_SAUBER
G04	GRAD	OT+E+CLOSE	OT+EE+CLOSE	E↔EE	otedy	qoteedy	2	2	f83r	f82r|f83r	E249:otedy:B3	E226:qoteedy:B2	kurze Folge und Schluss	lange Folge und Schluss	OT und Schluss bleiben, nur der Grad wächst	STARK
G05	GRAD	SOLK+E+Y	SOLK+EE+Y	E↔EE	solkey	solkeey	1	1	f83r	f83r	E356:solkey:B4	E373:solkeey:B6	kurz sammeln	länger sammeln	dieselbe Sammelstelle hält den Posten länger	MITTEL
G06	GRAD	SHED+E+CLOSE	SHED+EE+CLOSE	E↔EE	cheedy|dshedy|shedy|tedy	sheedy	13	1	f81v|f82r|f83r	f83r	E125:shedy:B1	E261:sheedy:B3	kurz absetzen und schließen	länger absetzen und schließen	derselbe Absetzgang wird verlängert	STARK
G07	GRAD	CHK+E+Y	CHK+EE+Y	E↔EE	cheky	cheeky|chkeey	3	3	f81v|f83r	f55v|f82r|f83r	E134:cheky:B1	E066:cheeky:H4	kurz wärmen	länger warm halten	der Wärmekern bleibt, die Haltestufe wächst	STARK
G08	GRAD	YK+E+OD+Y	YK+EE+OD+Y	E↔EE	ykeody	ykeeody	2	1	f67r2|f69v	f69v	A1:G012:ykeody:A1_RIGHT_SECTOR_SLOT_05	A3:G071:ykeeody:A3_MIDDLE_WHEEL_RING_TEXT	Klassenposten kurz markieren	Klassenposten länger markieren	Grad wirkt auch in der lokalen Tabelle gleich	MITTEL
G09	GRAD	OK+E+OD+AL	OK+EE+OD+AL	E↔EE	okeodal	okeeodal	1	1	f69v	f68r1	A3:G099:okeodal:A3_RIGHT_WHEEL_RING_TEXT	A2:G056:okeeodal:A2_STAR_STATION_24	markiertes Ziel kurz aktivieren	markiertes Ziel länger aktivieren	Ziel und Markierung bleiben; Aktivierungsgrad wächst	MITTEL
X01	ENDPUNKT	CHD+Y	CHD+CLOSE	Y↔CLOSE	chdy|chedchy|chedy	dchdy|dchedy|schedy|tchedy	12	5	f55v|f81v|f83r	f81v|f82r|f83r	E062:chedy:H4	E120:schedy:B1	laufenden Posten umsetzen	umsetzen und den Schritt schließen	gleicher Prozesskörper, offener Referent gegen Abschluss	STARK
X02	ENDPUNKT	OK+E+Y	OK+E+CLOSE	Y↔CLOSE	okey|qokey	qokedy	2	8	f81v|f82r	f81v|f83r	E142:qokey:B1	E101:qokedy:B1	kurz ansetzen und offen lassen	kurz ansetzen und schließen	gleicher kurzer OK-Gang, nur Fortsetzbarkeit wechselt	STARK
X03	ENDPUNKT	OK+EE+Y	OK+EE+CLOSE	Y↔CLOSE	okeey|qokeey	qokeedy	7	10	f81v|f82r|f83r	f82r|f83r	E153:okeey:B1	E171:qokeedy:B2	länger ansetzen und offen lassen	länger ansetzen und schließen	gleicher langer OK-Gang, nur Fortsetzbarkeit wechselt	STARK
X04	ENDPUNKT	SOLK+EE+Y	SOLK+EE+CLOSE	Y↔CLOSE	solkeey	olkeedy|solkeedy	1	3	f83r	f81v|f83r	E373:solkeey:B6	E162:olkeedy:B1	länger sammeln und offen lassen	länger sammeln und schließen	Sammelkern und Grad bleiben, nur der Endpunkt wechselt	MITTEL
X05	ENDPUNKT	OL	OL+CLOSE	+CLOSE	cheol|chol|cphol|dolchsody|oeoldan|ol|ols|oly|qol|qolky|rol|sol|tol	oldy	29	2	f10r|f67r2|f68r1|f69v|f81v|f83r	f55v|f83r	E013:chol:H1	E067:oldy:H4	fortsetzen	Fortsetzung abschließen	OL allein hält offen; die lizenzierte Schlusskarte beendet	STARK
X06	ENDPUNKT	L+Y	L+CLOSE	Y↔CLOSE	lchy|ly	ldy	2	2	f81v|f82r	f82r|f83r	E159:ly:B1	E184:ldy:B2	aktuellen Posten abführen	abführen und beenden	L bleibt Abgang; offener Posten gegen Abschluss	MITTEL
P01	ARGUMENT	CTH+Y	CTH+AIIN	Y↔AIIN	checthy|cthy|shcthy	cthaiin	7	1	f10r|f11r|f83r	f10r	E014:cthy:H1	E018:cthaiin:H2	diesen Posten bereit halten	Bereitsollwert	CTH nimmt entweder den Gegenstand oder seine Vorgabe	MITTEL
P02	ARGUMENT	KCH+Y	KCH+AL	Y↔AL	kchy	kchal|okchoal	1	2	f11r	f56r|f68r1	E049:kchy:H3	E093:kchal:H5	diesen Posten bearbeiten	am Ziel bearbeiten	KCH bleibt Handlung; Argument wechselt Gegenstand gegen Ort	STARK
P03	ARGUMENT	HO+Y	HO+AL	Y↔AL	choy	chokal|schoal	1	2	f56r	f11r|f68r1	E084:choy:H5	E040:schoal:H3	diese Zutat oder Eingabe	Eingabe zum Ziel	HO benennt den Eingangsposten, AL gibt ihm ein Ziel	MITTEL
P04	ARGUMENT	Y+CHEEY	OT+CHEEY	Y↔OT	ychey|yshey	otshey	2	1	f67r2|f69v	f68r1	A1:G178:yshey:A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	A2:G038:otshey:A2_STAR_STATION_06	aktuelles sichtbares Ergebnis	nächstes sichtbares Ergebnis	CHEEY bleibt Ablese- oder Sichtresultat; Bezug wechselt	MITTEL
