symbol	atomic_value_de	status	minimal_pair_count	pair_ids	caution_de
AIIN	SOLLWERT	PORTABEL	6	P01|Q01|Q02|Q03|Q04|Q05	nicht mit AIN oder IIN verschmelzen
AIN	PORTION	PORTABEL	5	Q01|Q03|Q04|Q05|Q06	abgeteilte Menge, kein Sollwert
IIN	STUFE	PORTABEL	2	Q02|Q06	Prozess- oder Tabellenstufe
AL	ZIEL	PORTABEL	10	D01|D03|D04|D05|D06|D07|G09|P02|P03|Q05	hin zur bezeichneten Adresse
AR	QUELLE	PORTABEL	8	D01|D02|D03|D04|D05|D06|D07|O03	her von der bezeichneten Adresse
AIR	LAUF_BAHN	BESITZER_EXPANDIERT	1	D02	nasser Besitzer: Flüssigkeitslauf; Rad: Bahn
OL	FORTSETZEN	PORTABEL	6	O01|O02|O03|O04|O05|X05	derselbe aktive Gang
OT	FOLGEND	PORTABEL	8	D04|G04|O01|O02|O03|O04|O05|P04	nächster Gang oder Posten
E	KURZ	GEBUNDEN	9	G01|G02|G04|G05|G06|G07|G08|G09|X02	nur in lizenzierten Gradfamilien
EE	LAENGER	GEBUNDEN	11	G01|G02|G03|G04|G05|G06|G07|G08|G09|X03|X04	nur in lizenzierten Gradfamilien
EEE	VOLL	DÜNN_GEBUNDEN	1	G03	sauber, aber nur zwei Gruppen
Y	DIESER_POSTEN	PORTABEL_GEBUNDEN	15	G01|G05|G07|G08|O04|P01|P02|P03|P04|Q04|X01|X02|X03|X04|X06	Referent, nicht automatisch offen
CLOSE	SCHLUSS	KARTENGEBUNDEN	11	G02|G03|G04|G06|O05|X01|X02|X03|X04|X05|X06	kein freies sichtbares dy-Morphem
OK	ANSETZEN	PORTABEL	8	D03|G01|G02|G03|G09|Q03|X02|X03	Argument und Grad folgen
CHEEY	SICHTBARES_ERGEBNIS	BESITZER_EXPANDIERT	1	P04	Klarauszug oder Tabellenablesung
HO	EINGANGSPOSTEN	BESITZER_EXPANDIERT	1	P03	Zutat oder Tabelleneingabe
