record	at	word	family	lemma	F_case	R_case	number	L_lemma	governors	row_status
f17r	f17r.4:2	shol	SH	Frucht	OBJECT	BASE	SG	Saft		recorded
f17r	f17r.5:2	cthy	CTH	Kraut	BASE	OBJECT	SG	Kraut		recorded
f17r	f17r.5:3	chor	CH	Blüte	BASE	OBJECT	SG	Blüte		recorded
f17r	f17r.5:4	shor	SH	Frucht	BASE	OBJECT	SG	Frucht		recorded
f21r	f21r.9:8	cthy	CTH	Kraut	BASE	OBJECT	SG	Kraut	f21r.9:2	recorded
f21r	f21r.10:2	keor	KE	Öl	BASE	OBJECT	SG	Harz		recorded
f21r	f21r.11:1	shol	SH	Frucht	OBJECT	BASE	SG	Saft		recorded
f21r	f21r.11:2	chol	CH	Blüte	OBJECT	BASE	SG	Samen		recorded
f21r	f21r.11:3	shol	SH	Frucht	OBJECT	BASE	SG	Saft		recorded
f21r	f21r.12:2	chor	CH	Blüte	BASE	OBJECT	SG	Blüte		recorded
f21r	f21r.12:5	chor	CH	Blüte	BASE	OBJECT	SG	Blüte		recorded
f21r	f21r.12:6	chol	CH	Blüte	OBJECT	BASE	SG	Samen	f21r.12:7	recorded
f32v	f32v.8:4	ctho	CTH	Kraut	OBJECT	BASE	SG	Pulver	f32v.8:5	recorded
f32v	f32v.9:6	cthaiin	CTH	Kraut	OBJECT	BASE	PL	Portion	f32v.9:7	recorded
f32v	f32v.10:2	keol	KE	Öl	OBJECT	BASE	SG	Öl	f32v.10:1	recorded
f32v	f32v.10:3	chor	CH	Blüte	BASE	OBJECT	SG	Blüte		recorded
f32v	f32v.10:4	chol	CH	Blüte	OBJECT	BASE	SG	Samen	f32v.10:5	recorded
f29v	f29v.1:2	shor	SH	Frucht	BASE	OBJECT	SG	Frucht		recorded
f29v	f29v.1:7	cthy	CTH	Kraut	BASE	OBJECT	SG	Kraut	f29v.1:11	recorded
f29v	f29v.2:3	chol	CH	Blüte	OBJECT	BASE	SG	Samen		recorded
f29v	f29v.2:4	chol	CH	Blüte	OBJECT	BASE	SG	Samen		recorded
f29v	f29v.2:5	cthy	CTH	Kraut	BASE	OBJECT	SG	Kraut		recorded
f29v	f29v.3:1	chol	CH	Blüte	OBJECT	BASE	SG	Samen		recorded
f29v	f29v.3:2	chol	CH	Blüte	OBJECT	BASE	SG	Samen		recorded
f29v	f29v.4:4	cthy	CTH	Kraut	BASE	OBJECT	SG	Kraut	f29v.3:6	recorded
