record	at	word	action	direction	target	target_word	family	F	R	L	row_status
f21r	f21r.9:2	sho	vermische	1	f21r.9:8	cthy	CTH	FORM_CONFLICT	MATCH	BOUND	recorded
f21r	f21r.12:7	daiin	bereite	-1	f21r.12:6	chol	CH	MATCH	FORM_CONFLICT	BOUND	recorded
f32v	f32v.8:2	daiin	bereite	-1				MISSING	MISSING	MISSING	recorded
f32v	f32v.8:3	daiin	bereite	-1				MISSING	MISSING	MISSING	recorded
f32v	f32v.8:5	daiin	bereite	-1	f32v.8:4	ctho	CTH	MATCH	FORM_CONFLICT	BOUND	recorded
f32v	f32v.9:1	qotchy	zerkleinere	1				MISSING	MISSING	MISSING	recorded
f32v	f32v.9:5	daiin	bereite	-1				MISSING	MISSING	MISSING	recorded
f32v	f32v.9:7	daiin	bereite	-1	f32v.9:6	cthaiin	CTH	MATCH	FORM_CONFLICT	BOUND	recorded
f32v	f32v.10:1	sho	vermische	1	f32v.10:2	keol	KE	MATCH	FORM_CONFLICT	BOUND	recorded
f32v	f32v.10:5	daiin	bereite	-1	f32v.10:4	chol	CH	MATCH	FORM_CONFLICT	BOUND	recorded
f32v	f32v.11:2	sho	vermische	1				MISSING	MISSING	MISSING	recorded
f29v	f29v.1:11	daiin	bereite	-1	f29v.1:7	cthy	CTH	FORM_CONFLICT	MATCH	BOUND	recorded
f29v	f29v.3:6	qotchy	zerkleinere	1	f29v.4:4	cthy	CTH	FORM_CONFLICT	MATCH	BOUND	recorded
f29v	f29v.4:8	sho	vermische	1				MISSING	MISSING	MISSING	recorded
