bundle_case_id	action_case_id	expected_item_surfaces	decision	practical_reading_de	decisive_reason_de	portable_default
B001	A002	chockhy|otaiin|ydaiin	STOP	Den vollständig gekühlten und abgezogenen Auszug als trockene Zubereitung am Gradanfang, kalten Ansatz III und drei Maße lesen.	Kälte passt teilweise, aber Präparat zu Ansatz und Grad III zu drei Maßen brechen Material und Zustand; Abziehen fehlt.	NO
B002	A003	otarar|alched|otair	STOP	Den kalten Unteranteil I erhitzen; danach stehen mittelgetrocknete Rohdroge I und kalter Anteil II.	Kalter Anteil, mittelgetrocknete Rohdroge und wieder kalter Anteil schreiben kein Erhitzungsergebnis und wechseln das Material.	NO
B003	A004	ches|or|cheey	STOP	Trockenes Drogenmaterial der Mittelstufe als Drogenportion am Gradende abmessen.	Portion passt, doch Ansatz zu Drogenmaterial und Mittelstufe zu Gradende brechen den Pfad.	NO
B004	A006	cpheesy|okal|lkedy	STOP	Das Arzneikompositum ist vollständig bereitet und geschlossen; anschließend folgen heißer Rohstoff I und bis zur Mitte erhitztes Holz.	Das erste Item ist schon ein plausibles abgeschlossenes Ergebnis; Rohstoff und Holz eröffnen danach neue Register.	NO
B005	A009	olpchedy|olord|aiiin	STOP	Den heißen Drogenanteil III nehmen; rechts folgen fertiges Holzextraktpulver, eine abgezogene Holzauszugportion und Menge IV.	Heißer Drogenanteil wechselt zu Holzextrakt und Holzauszug; Nehmen produziert weder Holzpulver noch Menge IV.	NO
B006	A012	dair|al|qokedy	HOLD	Den abgemessenen Anteil II aus Rohstoff I als aufbereiteten Stoff auf heißer Mittelstufe lesen.	Mittelstufe ist konkret, doch Kompositum zu Anteil und Rohstoff sowie nicht geschriebene Hitze bleiben offen.	NO
B007	A014	aiin|shedy|oteed	HOLD	Menge III der gekühlten Charge ist auf mittlerer Feuchtstufe vollständig abgekühlt und abgezogen.	Menge, mittlere Stufe und vollständige Kühlung können einen Objektblock bilden; Feuchte und Abziehen folgen aber nicht aus Nehmen.	NO
B008	A015	aiin|cheockhy|olkeey	STOP	Die genommene Drogenportion steht als Menge III vor einem trocken angesetzten Kompositum und einem vollständig erhitzten Holzansatz.	Drogenportion zu Kompositum zu Holzansatz ist ein harter Materialwechsel; vollständiges Erhitzen folgt nicht aus Nehmen.	NO
B009	A017	cthoor|char|chty	STOP	Die Krautansatzportion wird zum trockenen Drogenanteil I, endet jedoch trocken-kalt am Gradanfang.	Portion und Trockenheit passen, aber trocken-kalter Gradanfang widerspricht ausdrücklich der Mittelstufe.	NO
B010	A019	olkaiir|qokaiin|chodaiin	STOP	Drei Dosen des zweiten Trockenansatzes abmessen; rechts stehen heißer Holzanteil III, Hitzegrad III und Trockenansatz-Dosis III.	Trockenansatz II und drei Dosen wechseln zu heißem Holzanteil III; nur das letzte Dosismotiv kehrt zurück.	NO
