cohort_id	ordinal	target_mask_id	predicate_only_close	provenance
G770-L001	4	TM-V4C9	0	NO_TARGET_INDEPENDENT_PREDICATE_ONLY_CLOSE_SLOT_IN_FIXED_COHORT
G770-L002	3	TM-V4C9	0	NO_TARGET_INDEPENDENT_PREDICATE_ONLY_CLOSE_SLOT_IN_FIXED_COHORT
G770-L003	7	TM-H8R1	0	NO_TARGET_INDEPENDENT_PREDICATE_ONLY_CLOSE_SLOT_IN_FIXED_COHORT
G770-L004	11	TM-H8R1	0	NO_TARGET_INDEPENDENT_PREDICATE_ONLY_CLOSE_SLOT_IN_FIXED_COHORT
G770-L005	10	TM-N5K6	0	NO_TARGET_INDEPENDENT_PREDICATE_ONLY_CLOSE_SLOT_IN_FIXED_COHORT
G770-L006	6	TM-N5K6	0	NO_TARGET_INDEPENDENT_PREDICATE_ONLY_CLOSE_SLOT_IN_FIXED_COHORT
G770-L007	4	TM-N5K6	0	NO_TARGET_INDEPENDENT_PREDICATE_ONLY_CLOSE_SLOT_IN_FIXED_COHORT
G770-L008	9	TM-Q7M2	0	NO_TARGET_INDEPENDENT_PREDICATE_ONLY_CLOSE_SLOT_IN_FIXED_COHORT
G770-L009	2	TM-Q7M2	0	NO_TARGET_INDEPENDENT_PREDICATE_ONLY_CLOSE_SLOT_IN_FIXED_COHORT
G770-L010	6	TM-V4C9	0	NO_TARGET_INDEPENDENT_PREDICATE_ONLY_CLOSE_SLOT_IN_FIXED_COHORT
G770-L011	5	TM-V4C9	0	NO_TARGET_INDEPENDENT_PREDICATE_ONLY_CLOSE_SLOT_IN_FIXED_COHORT
G770-L012	2	TM-Q7M2	0	NO_TARGET_INDEPENDENT_PREDICATE_ONLY_CLOSE_SLOT_IN_FIXED_COHORT
G770-L012	8	TM-N5K6	0	NO_TARGET_INDEPENDENT_PREDICATE_ONLY_CLOSE_SLOT_IN_FIXED_COHORT
G770-L012	12	TM-Q7M2	0	NO_TARGET_INDEPENDENT_PREDICATE_ONLY_CLOSE_SLOT_IN_FIXED_COHORT
G770-L013	2	TM-Q7M2	0	NO_TARGET_INDEPENDENT_PREDICATE_ONLY_CLOSE_SLOT_IN_FIXED_COHORT
G770-L014	8	TM-H8R1	0	NO_TARGET_INDEPENDENT_PREDICATE_ONLY_CLOSE_SLOT_IN_FIXED_COHORT
G770-L015	7	TM-N5K6	0	NO_TARGET_INDEPENDENT_PREDICATE_ONLY_CLOSE_SLOT_IN_FIXED_COHORT
