record_id	page	title_de	statement_count	group_count	statement_ids	image_owner_chain	literal_card_chain_de	continuous_workshop_translation_de	continuous_technical_rival_de
H1	f10r	Wurzel-Wasserauszug	2	14	H1-S001|H1-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Wurzel als aktueller Posten; Ansatz bereit; aus dem Ansatz; Teil abtrennen; Mischgefäß; Wasserzulauf; naechsten Teilposten weiterfuehren; aktuellen Posten ansetzen; Sollmaß; kleiner Restteil || Posten zur Weiterbearbeitung ansetzen; danach weiterfuehren; fortsetzen; bereit	Nimm von der abgebildeten Pflanze den Wurzelteil, säubere und zerschneide ihn, gib ihn in ein Gefäß und gieße Wasser darüber. Fange den ersten Auszug auf, gebrauche ein kleines örtliches Maß und verwahre den Rest. Nimm später noch einmal vom frischen Auszug, erwärme ihn gelinde und gebrauche ihn, sobald er bereit ist.	Wurzelmaterial säubern, mazerieren, Prüfportion buchen und Rest lagern; kein Heilanlass nötig.
H2	f10r	Zwei Erntefraktionen zu Salbe	3	24	H2-S001|H2-S002|H2-S003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Auszugsansatz; bereit; Ansatz; Fertigmaß; bereiten Posten weiterfuehren; dieser Posten; dieser Posten; Sollmaß; dieser Posten || Folgeansatz; Ansatz; danach fortsetzen; fortsetzen; Fortsetzungsansatz; fortsetzen; Sollmaß; aus dem Ansatz || aktuellen Ansatz bearbeiten; Ansatz; Ansatz; dieser Posten; Weichstufe; dieser Posten; Zutatenmaß	Sammle junge Spitzen, Blütenstände und Blätter beim Öffnen, zerstoße und presse sie durch Tuch. Fange die erste Fraktion auf, gib Öl im Sollmaß hinzu und erwärme gelinde. Nimm vor voller Blüte eine zweite Portion, vereinige beide Fraktionen im gleichen Maß, gib sie ins glasierte Gefäß, rühre bei kleinem Feuer bis zur weichen Salbe, bewahre sie bedeckt und lege sie äußerlich auf eine harte Schwellung.	Zwei zeitlich getrennte Pflanzenfraktionen werden verglichen, vereinigt und als Materialprobe konserviert.
H3	f11r	Blütenauszug und zweite Ölbereitung	4	17	H3-S001|H3-S002|H3-S003|H3-S004	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	Zutat entnehmen; Zutat an die Arbeitsstelle geben; aktuellen Posten auswringen; Standmaß; aktuellen Posten nachseihen; klarer Auszug; Eingangsposten beiseitestellen; Schluss || Zutatenteil || vorigen Posten fortsetzen; dieser Posten; diesen Posten bearbeiten; dieser Posten; Sollmaß || anschließender Arbeitsposten; weiterlaufenden Posten aufnehmen; bereit; dieser Posten	Nimm im frühen Frühjahr Blüten und junge Blätter, koche sie in Wein, wringe durch feines Tuch, lass stehen und seihe nochmals bis zum klaren Zustand. Kühle den ersten Auszug ab und behalte frische Blüten zurück. Gib vom Auszug ein kleines Maß als Trank; die zurückbehaltenen Blüten erwärme in Öl und streiche die fertige Bereitung äußerlich um die Lider.	Blüten- und Blattfraktionen extrahieren, klären und als zwei Referenzproben lagern; Trank und Augenanwendung entfallen.
H4	f55v	Blatt-Wein-Auszug und warmer Umschlag	4	18	H4-S001|H4-S002|H4-S003|H4-S004	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	auf Sollmaß einstellen; Sollmaß; Postenportion; dieser Anteil; kühlen || Sollmaß; laufenden Posten umsetzen; am Ziel verwahren || Postenmaß; Auszug entnehmen; länger erwärmen und offen halten; Fortsetzung abschließen || Sollmaß; dort ansetzen; bereiten Posten weiterführen; Ansatz; dieser Posten; Ansatzportion	Zerstoße breite Blätter, gib Weißwein hinzu, verschließe das Gefäß und lass es kühl stehen. Miss eine Portion ab, wringe sie durch Leinwand, lass den Auszug klar absetzen und verwahre ihn. Wasche damit eine äußere Wunde. Aus zurückbehaltenen Blättern, Honig und gelinder Wärme bereite einen frischen Umschlag für die bezeichnete Stelle.	Blätter in zwei Konservierungs- und Prüfchargen teilen: filtrierter Auszug und warmer Materialumschlag ohne Heilangabe.
H5	f56r	Feuchtstandort-Pflanze: kurze Hautauflage und milder Trank	6	27	H5-S001|H5-S002|H5-S003|H5-S004|H5-S005|H5-S006	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	Zutatenansatz; Eingangsposten oder Zutat; diese Zutat zur Stelle bringen; Sollmaß; Zutat; weiter bearbeiten; Folgeansatz; aktuellen Posten ansetzen; dorthin || vorigen Posten fortsetzen; diese Zutat; aktuellen Posten ansetzen; länger auftragen; Schluss || halten; Eingangsposten oder Zutat; diesen Posten kurz bearbeiten; erneut ansetzen || Posten zur Weiterbearbeitung ansetzen; Auszug zugeben; an der Zielstelle bearbeiten || Zutat; Posten zur Weiterbearbeitung ansetzen; Auszug daraus; danach anwenden || nächster Teilposten; kurz weiterbearbeiten; Sollmaß	Sammle das oberirdische Kraut zu Beginn der Blüte am feuchten Standort. Zerstoße wenige frische klebrige Blätter und lege sie nur kurz auf eine Warze oder ein Hühnerauge; nimm sie ab, wasche die Stelle und wiederhole nur bei guter Verträglichkeit. Trockne die übrigen Blütenstiele im Schatten, bereite mit mildem Wein einen schwachen Auszug, seihe, gib Honig hinzu und gebrauche ein kleines Maß als Brusttrank.	Eine klebrige Feuchtstandortpflanze liefert eine kurze Materialprobe und einen gesonderten Wein-Honig-Auszug; Krankheit und Wirkung bleiben austauschbar.
B1	f81v	Gemeinsames zweireihiges Becken	21	66	B1-S001|B1-S002|B1-S003|B1-S004|B1-S005|B1-S006|B1-S007|B1-S008|B1-S009|B1-S010|B1-S011|B1-S012|B1-S013|B1-S014|B1-S015|B1-S016|B1-S017|B1-S018|B1-S019|B1-S020|B1-S021	B1_SHARED_TWO_ROW_POOL	kurz ansetzen; Schluss || auf Sollmaß einstellen; Beckenwasser; dort ansetzen; aus dem Ansatz; fortsetzen; eine Portion; weitere Portion; dorthin; fortsetzen; vom vorigen Gang weiterführen; Zusatz; Fortsetzungsansatz; fortsetzen; kurz zur Zielstelle durchleiten; Sollmaß; dort länger halten; Sollmaß; durchleiten; Posten überführen; Schluss || fortsetzen; im Arbeitsgang schwenken; Schluss || laufenden Posten umsetzen; fortsetzen; kurz absetzen lassen; Schluss || weiterüberführen; Schluss || eine Portion zugeben; durchleiten; Zusatz; zur Zielstelle || Umsetzung ansetzen; Schluss || dieser Posten; fortsetzen; kurz wärmen; fortsetzen; kurz absetzen lassen; Schluss || kurz ansetzen; Schluss || kurz ansetzen; Schluss || durchleiten; aktuellen Posten ansetzen || Waschgang beginnen; kurz ansetzen; waschen; Schluss || waschen; Schluss || laufenden Posten umsetzen; auf dem Arbeitsweg weiterleiten; zur Ablaufstelle führen; fortsetzen; danach von dort || kurzen Teil des aktuellen Postens nehmen; angesetzten Inhalt überführen; Schluss || dort ansetzen; länger ansetzen; fortsetzen; kurz absetzen lassen; Schluss || dorthin; kurz weiterleiten; weitergeführten Posten überführen; Schluss || aktuellen Posten abführen; kurz weiter ruhen lassen; Sollstufe; länger sammeln; Schluss || kurz absetzen lassen; Schluss || kurz wärmen; seihen; Schluss || dorthin	Richte am gemeinsamen Figurenbecken eine abgemessene Waschcharge ein. Führe sie durch die örtlichen Läufe, halte und temperiere sie, mische bis gleichmäßig, lass sie stehen und sammle die klare Fraktion. Spüle Becken und Leitung, wasche den bezeichneten Bereich, benutze den unteren Ablauf und führe die Restflüssigkeit ab. Einzelne kurze, lange und warme Durchgänge sind Varianten derselben lokalen Station.	Badehausbetrieb: Waschflotte ansetzen, temperieren, durch lokale Läufe führen, Becken reinigen und ablassen; keine Therapie nötig.
B2	f82r	Paarbecken, Mittelknoten und unteres Mehrfigurenfeld	22	62	B2-S001|B2-S002|B2-S003|B2-S004|B2-S005|B2-S006|B2-S007|B2-S008|B2-S009|B2-S010|B2-S011|B2-S012|B2-S013|B2-S014|B2-S015|B2-S016|B2-S017|B2-S018|B2-S019|B2-S020|B2-S021|B2-S022	B2_UPPER_PAIRED_BASINS_AND_CYLINDER -> B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE -> B2_MIDDLE_RIGHT_AMBIGUOUS_STATION -> B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_GREEN_MULTI_FIGURE_POOL -> B2_LOWER_GREEN_MULTI_FIGURE_POOL -> B2_LOWER_POOL_EDGE_STATIONS	Posten überführen; Schluss || weiterüberführen; Schluss || eine Portion zugeben; dieser Posten; länger ansetzen; Schluss || dort ansetzen; Ausgangsdurchlass; abführen; länger ansetzen; abseihen; Schluss || dies dort ansetzen; bis Sollmass sammeln; durchleiten; auf Sollmaß einstellen; auf Sollmaß einstellen; bereitgestellten Gang fortsetzen; diesen Posten länger warm halten; abziehen; Ende || langer Folgeposten; dort ansetzen; kurz durchleiten; aktuellen Posten ansetzen || kurz absetzen; Schluss || Folgemaß; daraus ansetzen; kurz absetzen lassen; Schluss || weiter absetzen; Schluss || länger ansetzen; aktuellen Posten ansetzen; Durchlassöffnung; klarer Auszug || eine Portion zugeben; aus dem Ansatz; eine Portion zugeben; länger ansetzen; Schluss || abziehen; klarer Auszug; kurz bereithalten; länger ansetzen; Klarlauf abfuehren; Sollmaß; dieser Posten; vollständig ansetzen; Schluss || abführen; Schluss || von dort abfuehren || Klarlauf zugeben; länger ansetzen; Schluss || dorthin; von dort abführen; teilen; Sollmaß; langer Folgeposten; auf Sollmaß einstellen; kurz ansetzen; einführen; Schluss || kurz am Ziel ruhen; Nebenoeffnung; Schluss || länger ansetzen; Schluss || Waschgang abschließen || lange Folge; Schluss || länger ansetzen; Schluss || Rest abfuehren; Schluss	Spüle zuerst die obere Paarbeckenstation, stelle die Mischung bereit und bemesse die Portion für das temperierte Teilbad. Führe sie durch Öffnungen und Tuch, temperiere und ziehe ab. Am mittleren Knoten gib sauberes Wasser zu, halte warm und prüfe den Zustand. Nach dem sichtbaren Stationswechsel beginne im unteren Feld eine neue Charge: abführen, unteren Ablauf schließen, mit kühlem und warmem Wasser ausgleichen, spülen, waschen und einen warmen Tuchgang ausführen.	Mehrstationiger Badehaus-/Wasserwerkszettel mit Reinigung, Temperierung und Abfluss; die Figuren markieren Arbeitsplätze statt Patienten.
B3	f83r	Randstationen bis zum Hauptpaar	34	86	B3-S001|B3-S002|B3-S003|B3-S004|B3-S005|B3-S006|B3-S007|B3-S008|B3-S009|B3-S010|B3-S011|B3-S012|B3-S013|B3-S014|B3-S015|B3-S016|B3-S017|B3-S018|B3-S019|B3-S020|B3-S021|B3-S022|B3-S023|B3-S024|B3-S025|B3-S026|B3-S027|B3-S028|B3-S029|B3-S030|B3-S031|B3-S032|B3-S033|B3-S034	B3_UPPER_MARGIN_OPEN_FAN_STATION -> B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION -> B3_LOWER_MARGIN_BASKET_VESSEL_STATION -> B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED -> B3_MARGIN_TO_MAIN_GAP_UNRESOLVED -> B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR -> B3_MAIN_ARCH_LINKED_PAIR	länger sammeln; Schluss || danach dorthin; länger wärmen; Schluss || dieser Posten; Sollmaß; dieser Posten; abführen; Schluss || auf Sollmaß einstellen; danach dorthin; aus dem Ansatz || Posten überführen; Schluss || diesen Posten überführen; dort ansetzen; weiterüberführen; Schluss || auf Sollmaß einstellen; laufenden Posten umsetzen; länger ansetzen; Schluss || abführen; Schluss || aktuellen Posten ansetzen || Einlass; kurze Folge; Schluss || bereiten Posten umsetzen; aktuellen Posten ansetzen; laufenden Posten umsetzen; aus diesem Posten || Ansatz; kurz absetzen lassen; Schluss || auf Sollmaß einstellen; eine Portion; kurz bereithalten; kurz ansetzen; Schluss || Wasser einlassen; länger absetzen; Schluss || abführen; Schluss || abfuehren; angesetzten Inhalt überführen; Schluss || länger ansetzen; Schluss || kurz absetzen lassen; Schluss || Absetzgang ansetzen; Schluss || dorthin; abführen; Schluss || auf Sollmaß einstellen; bereit; dorthin; dieser Posten; Sollmaß; dort absetzen; kurz bereit halten; dieser Posten; dorthin; bereit; dorthin umsetzen; Schluss || nächsten Posten überführen; Schluss || abführen; Schluss || Posten überführen; Schluss || Umsetzung ansetzen; Schluss || von dort umsetzen; Absetzmaß; laufenden Posten umsetzen; eine Portion zugeben; bereit; Ansatz von dort zur Zielstelle; länger sammeln; Schluss || lange Folge; Schluss || länger ansetzen; kurz ansetzen; Schluss || fortsetzen; ganzen Teilposten; kurz ansetzen; Schluss || aktuellen Posten ansetzen; Sollmaß; Wasser weiterleiten; nächsten Posten überführen; Schluss || länger ansetzen; Schluss || Portion umsetzen; laufenden Posten umsetzen; kurzes Folgemass; Folgemaß; kurze Folge; Schluss || abziehen; Ende || Sollstufe; bereit; Teil abtrennen; Folgemaß; untere Zielstelle; kurz absetzen lassen; Schluss	Arbeite nacheinander an der oberen Fächerstation, dem runden Gefäß, dem korbartigen Empfänger und den Zwischenposten: bemessen, mischen, temperieren, absetzen, klarziehen, waschen und verbrauchte Flüssigkeit abführen. Bei jedem sichtbaren Stationswechsel beginnt der Stoffbezug neu. Am Hauptpaar lege einen warmen Tuchgang an, spüle, ziehe den klaren Anteil ab, mische zu gleichen Teilen und beende mit Absetzen, Prüfung und unterem Becken.	Stationsbuch für mehrere Gefäß- und Waschposten; kein einziger gerichteter Kreislauf verbindet alle Teilbilder.
B4	f83r	Tuchanwendung und Unterlauf	16	47	B4-S001|B4-S002|B4-S003|B4-S004|B4-S005|B4-S006|B4-S007|B4-S008|B4-S009|B4-S010|B4-S011|B4-S012|B4-S013|B4-S014|B4-S015|B4-S016	B4_MAIN_ARCH_LINKED_PAIR -> B4_MAIN_LEFT_OPEN_FRINGE_STATION -> B4_MAIN_LEFT_OPEN_FRINGE_STATION|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION -> B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	länger ansetzen; Schluss || diesen Posten weiterfuehren; länger ansetzen; kurz ansetzen; Schluss || laufenden Posten umsetzen; danach dorthin; nächster Teilposten; länger ansetzen; aktuellen Posten ansetzen; fortsetzen; kurz absetzen lassen; Schluss || aktuellen Posten befestigen; Schluss || Tuch; laufenden Posten umsetzen; länger ansetzen; Schluss || seihen; Schluss || seihen; Schluss || Sollmaß; länger erwärmen und offen halten; laenger ruhen; kurz ansetzen; Schluss || kurz absetzen lassen; Schluss || Fortsetzung abschließen || Sollmaß; kurz wärmen; länger fortführen; eine Portion zugeben; laufenden Posten umsetzen; fortsetzen; kurz abführen; Schluss || abführen; Schluss || Fortsetzung ansetzen; kurz absetzen lassen; Schluss || Ansatz; dieser Posten; kurzen Durchlauf ansetzen; Wasserlauf schliessen; Schluss || eine Portion zugeben; klarer Auszug; eine Portion; zur Zielstelle durchleiten; kurz sammeln; abführen; Schluss || weitere Portion; dorthin; vom Ausgang ausgießen; kurz absetzen lassen; Schluss	Tauche Tuch oder Auflage in die temperierte Flüssigkeit, führe die Charge zum bezeichneten Haut- oder Wundplatz, lege das warme Tuch auf und seihe die nächste Portion. Arbeite weiter, solange sie warm ist. Wechsle dann zur linken Unterlaufstation: bemessen, sanft wärmen, mischen, zweimal waschen und abführen. Nach dem sichtbaren Wechsel zur rechten S-Laufstation öffne den oberen Lauf, gieße warmes Wasser ins untere Becken und lass es bereit stehen.	Wäsche-/Filtereinsatz mit anschließendem Spül- und Unterlaufbetrieb; die Körperlesung kann entfallen.
B5	f83r	Kurzer Fransen-Endposten	3	11	B5-S001|B5-S002|B5-S003	B5_LEFT_OPEN_FRINGE_STATION	Folgegang vollziehen; Schluss || Umsetzung ansetzen; Schluss || dort absetzen; dorthin; fortsetzen; von dort weiterfuehren; dort umsetzen; Sollmaß; fortsetzen; Öffnungsstufe; laufenden Posten umsetzen	Ziehe die vorige Charge am linken Fransen-Endposten ab, erwärme einmal und führe sie für den angegebenen Zeitabschnitt zur örtlichen Station. Setze die vorige Mischung fort, bemesse sie, benutze die zweite Öffnung und rühre bis gleichmäßig.	Kurzer Nebenposten eines Wasser- oder Waschbetriebs.
