page	block_id	kind	boundary_status	first_locus	last_locus	loci	target_loci	context_parent	selection
f1r	f1r.1--f1r.6	P	SOURCE_PARAGRAPH_BOTH_MARKED	f1r.1	f1r.6	6	f1r.4		ANY_READER_EXACT_OKAIIN
f4r	f4r.1--f4r.4	P	SOURCE_PARAGRAPH_BOTH_MARKED	f4r.1	f4r.4	4	f4r.4		ANY_READER_EXACT_OKAIIN
f17r	f17r.1--f17r.3	P	SOURCE_PARAGRAPH_BOTH_MARKED	f17r.1	f17r.3	3			FULL_F17R
f17r	f17r.4--f17r.6	P	SOURCE_PARAGRAPH_BOTH_MARKED	f17r.4	f17r.6	3			FULL_F17R
f17r	f17r.7--f17r.12	P	SOURCE_PARAGRAPH_BOTH_MARKED	f17r.7	f17r.12	6	f17r.11		FULL_F17R
f17r	f17r.13--f17r.13	L	NON_P_RECORD	f17r.13	f17r.13	1			FULL_F17R
f21r	f21r.8--f21r.12	P	SOURCE_PARAGRAPH_BOTH_MARKED	f21r.8	f21r.12	5	f21r.9		ANY_READER_EXACT_OKAIIN
f24v	f24v.1--f24v.5	P	SOURCE_PARAGRAPH_BOTH_MARKED	f24v.1	f24v.5	5	f24v.4		ANY_READER_EXACT_OKAIIN
f31r	f31r.10--f31r.16	P	SOURCE_PARAGRAPH_BOTH_MARKED	f31r.10	f31r.16	7	f31r.11		ANY_READER_EXACT_OKAIIN
f55v	f55v.7--f55v.12	P	SOURCE_PARAGRAPH_BOTH_MARKED	f55v.7	f55v.12	6	f55v.9,f55v.10		ANY_READER_EXACT_OKAIIN
f56r	f56r.9--f56r.19	P	SOURCE_PARAGRAPH_BOTH_MARKED	f56r.9	f56r.19	11	f56r.10		ANY_READER_EXACT_OKAIIN
f66r	f66r.50--f66r.56	P	SOURCE_PARAGRAPH_BOTH_MARKED	f66r.50	f66r.56	7	f66r.56		ANY_READER_EXACT_OKAIIN
f68r1	f68r1.1--f68r1.4	P	SOURCE_PARAGRAPH_BOTH_MARKED	f68r1.1	f68r1.4	4	f68r1.4		ANY_READER_EXACT_OKAIIN
f71v	f71v.18--f71v.18	C	NON_P_RECORD	f71v.18	f71v.18	1	f71v.18		ANY_READER_EXACT_OKAIIN
f72r1	f72r1.1--f72r1.1	C	NON_P_RECORD	f72r1.1	f72r1.1	1	f72r1.1		ANY_READER_EXACT_OKAIIN
f72r1	f72r1.12--f72r1.12	C	NON_P_RECORD	f72r1.12	f72r1.12	1	f72r1.12		ANY_READER_EXACT_OKAIIN
f72r2	f72r2.32--f72r2.32	C	NON_P_RECORD	f72r2.32	f72r2.32	1	f72r2.32		ANY_READER_EXACT_OKAIIN
f72r3	f72r3.12--f72r3.12	L	NON_P_RECORD	f72r3.12	f72r3.12	1	f72r3.12		ANY_READER_EXACT_OKAIIN
f75r	f75r.32--f75r.46	P	SOURCE_PARAGRAPH_BOTH_MARKED	f75r.32	f75r.46	15	f75r.45		ANY_READER_EXACT_OKAIIN
f76r	f76r.1--f76r.38	P	SOURCE_PARAGRAPH_BOTH_MARKED	f76r.1	f76r.38	29	f76r.13,f76r.32		ANY_READER_EXACT_OKAIIN
f76r	f76r.4--f76r.4	L	NON_P_RECORD	f76r.4	f76r.4	1		f76r.1--f76r.38	INTERLEAVED_L_CONTEXT
f76r	f76r.7--f76r.7	L	NON_P_RECORD	f76r.7	f76r.7	1		f76r.1--f76r.38	INTERLEAVED_L_CONTEXT
