page	target_locus	kind	source_loci	reader	model	source_lines_json	literal_hypotheses_json	confidence
f1r	f1r.4	P	f1r.4	zl3b_clean	N	"[""soiin oteey oteos roloty cthiar daiin okaiin or okan""]"	"[""[soiin]"", ""[oteey]"", ""[oteos]"", ""[roloty]"", ""[cthiar]"", ""viel?"", ""Pulver?"", ""[or]"", ""[okan]""]"	C0_UNCONFIRMED
f1r	f1r.4	P	f1r.4	zl3b_clean	G	"[""soiin oteey oteos roloty cthiar daiin okaiin or okan""]"	"[""[soiin]"", ""[oteey]"", ""[oteos]"", ""[roloty]"", ""[cthiar]"", ""viel?"", ""ist?"", ""[or]"", ""[okan]""]"	C0_UNCONFIRMED
f1r	f1r.4	P	f1r.4	zl3b_clean	Q	"[""soiin oteey oteos roloty cthiar daiin okaiin or okan""]"	"[""[soiin]"", ""[oteey]"", ""[oteos]"", ""[roloty]"", ""[cthiar]"", ""viel?"", ""warm?"", ""[or]"", ""[okan]""]"	C0_UNCONFIRMED
f1r	f1r.4	P	f1r.4	zl3b_clean	R	"[""soiin oteey oteos roloty cthiar daiin okaiin or okan""]"	"[""[soiin]"", ""[oteey]"", ""[oteos]"", ""[roloty]"", ""[cthiar]"", ""viel?"", ""dessen?"", ""[or]"", ""[okan]""]"	C0_UNCONFIRMED
f1r	f1r.4	P	f1r.4	it2a_clean	N	"[""ooiin oteey oteos roloty cthar daiin otaiin or okan""]"	"[""[ooiin]"", ""[oteey]"", ""[oteos]"", ""[roloty]"", ""Wurzel?"", ""viel?"", ""[otaiin]"", ""[or]"", ""[okan]""]"	C0_UNCONFIRMED
f1r	f1r.4	P	f1r.4	it2a_clean	G	"[""ooiin oteey oteos roloty cthar daiin otaiin or okan""]"	"[""[ooiin]"", ""[oteey]"", ""[oteos]"", ""[roloty]"", ""Wurzel?"", ""viel?"", ""[otaiin]"", ""[or]"", ""[okan]""]"	C0_UNCONFIRMED
f1r	f1r.4	P	f1r.4	it2a_clean	Q	"[""ooiin oteey oteos roloty cthar daiin otaiin or okan""]"	"[""[ooiin]"", ""[oteey]"", ""[oteos]"", ""[roloty]"", ""Wurzel?"", ""viel?"", ""[otaiin]"", ""[or]"", ""[okan]""]"	C0_UNCONFIRMED
f1r	f1r.4	P	f1r.4	it2a_clean	R	"[""ooiin oteey oteos roloty cthar daiin otaiin or okan""]"	"[""[ooiin]"", ""[oteey]"", ""[oteos]"", ""[roloty]"", ""Wurzel?"", ""viel?"", ""[otaiin]"", ""[or]"", ""[okan]""]"	C0_UNCONFIRMED
f1r	f1r.4	P	f1r.4	rf1b_clean	N	"[""soiin oteey oteor roloty ar daiin okaiin or okan""]"	"[""[soiin]"", ""[oteey]"", ""[oteor]"", ""[roloty]"", ""[ar]"", ""viel?"", ""Pulver?"", ""[or]"", ""[okan]""]"	C0_UNCONFIRMED
f1r	f1r.4	P	f1r.4	rf1b_clean	G	"[""soiin oteey oteor roloty ar daiin okaiin or okan""]"	"[""[soiin]"", ""[oteey]"", ""[oteor]"", ""[roloty]"", ""[ar]"", ""viel?"", ""ist?"", ""[or]"", ""[okan]""]"	C0_UNCONFIRMED
f1r	f1r.4	P	f1r.4	rf1b_clean	Q	"[""soiin oteey oteor roloty ar daiin okaiin or okan""]"	"[""[soiin]"", ""[oteey]"", ""[oteor]"", ""[roloty]"", ""[ar]"", ""viel?"", ""warm?"", ""[or]"", ""[okan]""]"	C0_UNCONFIRMED
f1r	f1r.4	P	f1r.4	rf1b_clean	R	"[""soiin oteey oteor roloty ar daiin okaiin or okan""]"	"[""[soiin]"", ""[oteey]"", ""[oteor]"", ""[roloty]"", ""[ar]"", ""viel?"", ""dessen?"", ""[or]"", ""[okan]""]"	C0_UNCONFIRMED
f4r	f4r.4	P	f4r.4	zl3b_clean	N	"[""qotchol chy yty daiin okaiin cthy""]"	"[""[qotchol]"", ""[chy]"", ""[yty]"", ""viel?"", ""Pulver?"", ""[cthy]""]"	C0_UNCONFIRMED
f4r	f4r.4	P	f4r.4	zl3b_clean	G	"[""qotchol chy yty daiin okaiin cthy""]"	"[""[qotchol]"", ""[chy]"", ""[yty]"", ""viel?"", ""ist?"", ""[cthy]""]"	C0_UNCONFIRMED
