page	locus	line_number	kind	paragraph_start	paragraph_end	eva_clean	zl3b_clean	it2a_clean	rf1b_clean	block_id	context_parent	boundary_status
f1r	f1r.1	1	P	1	0	fachys ykal ar ataiin shol shory cthres y kor sholdy	fachys ykal ar ataiin shol shory cthres y kor sholdy	fachys ykal ar ataiin shol shory cthres y kor sholdy	fachys ykal ar taiin shol shory ses y kor sholdy	f1r.1--f1r.6		SOURCE_PARAGRAPH_BOTH_MARKED
f1r	f1r.2	2	P	0	0	sory ckhar or y kair chtaiin shar ase cthar cthar dan	sory ckhar or y kair chtaiin shar ase cthar cthar dan	sory ckhar or y kair chtaiin shar are cthar cthar dan	sory ckhar ory kair chtaiin shar is cthar cthar dan	f1r.1--f1r.6		SOURCE_PARAGRAPH_BOTH_MARKED
f1r	f1r.3	3	P	0	0	syaiir sheky or ykaiin shod cthoary cthes daraiin sy	syaiir sheky or ykaiin shod cthoary cthes daraiin sy	syaiir sheky or ykaiin shod cthoary cthes daraiin sa	syaiir sheky or ykaiin shod cthoary cthes daraiin sy	f1r.1--f1r.6		SOURCE_PARAGRAPH_BOTH_MARKED
f1r	f1r.4	4	P	0	0	soiin oteey oteos roloty cthiar daiin okaiin or okan	soiin oteey oteos roloty cthiar daiin okaiin or okan	ooiin oteey oteos roloty cthar daiin otaiin or okan	soiin oteey oteor roloty ar daiin okaiin or okan	f1r.1--f1r.6		SOURCE_PARAGRAPH_BOTH_MARKED
f1r	f1r.5	5	P	0	0	sair y chear cthaiin cphar cfhaiin	sair y chear cthaiin cphar cfhaiin	dair y chear cthaiin cphar cfhaiin	sairy chear cthaiin cphar cfhaiin	f1r.1--f1r.6		SOURCE_PARAGRAPH_BOTH_MARKED
f1r	f1r.6	6	P	0	1	ydaraishy	ydaraishy	ydaraishy	ydaraishy	f1r.1--f1r.6		SOURCE_PARAGRAPH_BOTH_MARKED
f4r	f4r.1	1	P	1	0	kodalchy chpady sheol ol sheey qotey doiin chor ytoy	kodalchy chpady sheol ol sheey qotey doiin chor ytoy	kodalchy chpady sheol ol sheey qotey doiin chor ytoy	kodalchy chpody eol ol sheey qotey doiin chor yto	f4r.1--f4r.4		SOURCE_PARAGRAPH_BOTH_MARKED
f4r	f4r.2	2	P	0	0	dchor shol shol cthol shtchy chaiin s choraiin chom	dchor shol shol cthol shtchy chaiin s choraiin chom	dchor chol shol cthol shtchy chaiin s choraiin chom	dchor shol shol cthol shtchy chaiin s choraiin chom	f4r.1--f4r.4		SOURCE_PARAGRAPH_BOTH_MARKED
f4r	f4r.3	3	P	0	0	otchol chol chy chaiin qotaiin daiin shain	otchol chol chy chaiin qotaiin daiin shain	otchol chol chy chaiin qotaiin daiin shain	otchol chol chy chaiin qotaiin daiin shain	f4r.1--f4r.4		SOURCE_PARAGRAPH_BOTH_MARKED
f4r	f4r.4	4	P	0	1	qotchol chy yty daiin okaiin cthy	qotchol chy yty daiin okaiin cthy	qotchol chy yty daiin okaiin cthy	qotchol chy yty daiin okaiin cthy	f4r.1--f4r.4		SOURCE_PARAGRAPH_BOTH_MARKED
f17r	f17r.1	1	P	1	0	fshody daram ydar chog opydy ypod chop otchy dody oldckhy	fshody daram ydar chog opydy ypod chop otchy dody oldckhy	fshody daram ydarchom opydy ypod chop otchy dody oldckhy	fshody daram ydar chom opydy ypod chop otchy dody oldckhy	f17r.1--f17r.3		SOURCE_PARAGRAPH_BOTH_MARKED
f17r	f17r.2	2	P	0	0	ydair choky okshy qodar ckhody dor otchol qodcthy ods	ydair choky okshy qodar ckhody dor otchol qodcthy ods	ydair shoky okshy qodar ckhody dor otchol qodcthy ods	ydair ch ky okshy qodar ckhody dor otchol qodcthy ods	f17r.1--f17r.3		SOURCE_PARAGRAPH_BOTH_MARKED
f17r	f17r.3	3	P	0	1	chol or chy qodam okor chor okchom	chol or chy qodam okor chor okchom	chol or chy qodam okor chor okchom	chol or chy qod am okor chor okchom	f17r.1--f17r.3		SOURCE_PARAGRAPH_BOTH_MARKED
f17r	f17r.4	4	P	1	0	tcho shol qokol qor olaiin opydg som ypchy ypaim	tcho shol qokol qor olaiin opydg som ypchy ypaim	tcho shol qokol qor olaiin opydg som ypchy ypaim	tchor shol qokol qor olaiin opydg rom ypchy ypaim	f17r.4--f17r.6		SOURCE_PARAGRAPH_BOTH_MARKED
f17r	f17r.5	5	P	0	0	ychekchy cthy chor shor cphor cphaldy dair cthey qody	ychekchy cthy chor shor cphor cphaldy dair cthey qody	ychekchy cthy chor shor cphor cphaldy dair cthey qody	ychekchy cthy chor shor cphor cphaldy dair cthey qody	f17r.4--f17r.6		SOURCE_PARAGRAPH_BOTH_MARKED
f17r	f17r.6	6	P	0	1	tsho qof cho qokcheor cheteg	tsho qof cho qokcheor cheteg	tsho qofcho qokcheor chekeg	tsho qof cho qokcheor cheteg	f17r.4--f17r.6		SOURCE_PARAGRAPH_BOTH_MARKED
f17r	f17r.7	7	P	1	0	ksheo qokchy choldshy zepchy d opchordy	ksheo qokchy choldshy zepchy d opchordy	ksheo qokchy choldshy zepchy dsa opchordy	ksheo qokchy choldshy zepchy opchordy	f17r.7--f17r.12		SOURCE_PARAGRAPH_BOTH_MARKED
f17r	f17r.8	8	P	0	0	dchchy dychear schar ykchy	dchchy dychear schar ykchy	dchchy dychear schar ykchy	dchchy dychear schar kchy	f17r.7--f17r.12		SOURCE_PARAGRAPH_BOTH_MARKED
f17r	f17r.9	9	P	0	0	soy chckho o das chypcham	soy chckho o das chypcham	soy chckhy o dar chypcham	soy chckho o das chypcham	f17r.7--f17r.12		SOURCE_PARAGRAPH_BOTH_MARKED
