rank	surface	full_panel_positions	newly_exposed_lines	first_locus	status
1	shear	22	1	f50r.6	NEXT_V45_ONE_HOLE_FRONTIER
2	sh	14	1	f77r.41	NEXT_V45_ONE_HOLE_FRONTIER
3	shedaiin	10	1	f82r.32	NEXT_V45_ONE_HOLE_FRONTIER
4	shek	10	1	f116r.34	NEXT_V45_ONE_HOLE_FRONTIER
5	dcheey	9	1	f113r.36	NEXT_V45_ONE_HOLE_FRONTIER
6	dals	8	1	f89v1.10	NEXT_V45_ONE_HOLE_FRONTIER
7	cthal	7	1	f24r.14	NEXT_V45_ONE_HOLE_FRONTIER
8	ro	7	1	f115r.5	NEXT_V45_ONE_HOLE_FRONTIER
9	sary	7	1	f85r2.18	NEXT_V45_ONE_HOLE_FRONTIER
10	dsho	6	1	f49r.3	NEXT_V45_ONE_HOLE_FRONTIER
11	oeees	6	1	f9v.3	NEXT_V45_ONE_HOLE_FRONTIER
12	dalar	5	1	f58v.36	NEXT_V45_ONE_HOLE_FRONTIER
13	lkeol	5	1	f94v.6	NEXT_V45_ONE_HOLE_FRONTIER
14	ckhody	4	1	f93r.10	NEXT_V45_ONE_HOLE_FRONTIER
15	okeedal	4	1	f108v.47	NEXT_V45_ONE_HOLE_FRONTIER
16	olkair	4	1	f82v.28	NEXT_V45_ONE_HOLE_FRONTIER
17	tchar	4	1	f80v.40	NEXT_V45_ONE_HOLE_FRONTIER
18	ykeor	4	1	f17v.13	NEXT_V45_ONE_HOLE_FRONTIER
19	ytair	4	1	f46v.2	NEXT_V45_ONE_HOLE_FRONTIER
20	odl	3	1	f11r.6	NEXT_V45_ONE_HOLE_FRONTIER
21	alchdy	2	1	f76r.20	NEXT_V45_ONE_HOLE_FRONTIER
22	chordy	2	1	f19r.10	NEXT_V45_ONE_HOLE_FRONTIER
23	loeees	2	1	f2v.2	NEXT_V45_ONE_HOLE_FRONTIER
24	orshy	2	1	f18v.3	NEXT_V45_ONE_HOLE_FRONTIER
25	shokol	2	1	f99v.38	NEXT_V45_ONE_HOLE_FRONTIER
26	chodys	1	1	f38r.2	NEXT_V45_ONE_HOLE_FRONTIER
27	daiinol	1	1	f19r.12	NEXT_V45_ONE_HOLE_FRONTIER
28	eeckhy	1	1	f51r.7	NEXT_V45_ONE_HOLE_FRONTIER
29	kchokchy	1	1	f56v.7	NEXT_V45_ONE_HOLE_FRONTIER
30	lkchdal	1	1	f105v.13	NEXT_V45_ONE_HOLE_FRONTIER
31	okytaiin	1	1	f16v.11	NEXT_V45_ONE_HOLE_FRONTIER
32	oytor	1	1	f17v.10	NEXT_V45_ONE_HOLE_FRONTIER
33	pched	1	1	f112v.35	NEXT_V45_ONE_HOLE_FRONTIER
34	psheedy	1	1	f79r.9	NEXT_V45_ONE_HOLE_FRONTIER
35	tcheodal	1	1	f20r.3	NEXT_V45_ONE_HOLE_FRONTIER
36	ytchas	1	1	f9r.10	NEXT_V45_ONE_HOLE_FRONTIER
37	yteain	1	1	f23r.10	NEXT_V45_ONE_HOLE_FRONTIER
