rank	locus	zl3b_line	manual_workshop_translation_de	notes	automatic_v45_translation_de	v45_unknown_tokens	comparison_scope
1	f18r.4	chor cthor okeor ykchol okain	Pflanzenteil; Portion Blatt-/Krautdroge. Erhitze eine Portion Ansatz bis zur Mittelstufe; erhitze und trockne hiervon den Drogenstoff; heißer Ansatz im Zubereitungsrahmen auf Stufe II.	okeor trägt die konkrete Heizhandlung; okain ist Zubereitungsform II und keine Fraktion I.	Pflanzenteil; Drogenteil/-portion; Portion Blatt-/Krautdroge; eine Portion Ansatz bis zur Mittelstufe erhitzen; erhitze und trockne hiervon den Drogenstoff; heiß im Zubereitungsrahmen, Grad II	0	manual workshop prose versus deterministic V45 renderer; neither is confirmed plaintext
2	f52v.4	tchor ctheor ctheol cheeor cheol chckheey sody	Kalt-trockene Drogenportion; Portion Krautdroge; Krautdrogenstoff der Mittelstufe; eine Portion vollständig getrockneter Droge; trockener Drogenstoff; Arzneikompositum trocken auf Endstufe; fertig bereitete Saatgutzubereitung.	Reine Zutaten- und Zustandsfolge; kein Verb ergänzt.	kalt-trockene Drogenportion; eine Portion Krautdroge; Krautdrogenstoff der Mittelstufe; eine Portion vollständig getrocknete Droge; trockener Drogenstoff; Arzneikompositum: trocken, Gradende; Samen/Saatgut, fertig aufbereitet	0	manual workshop prose versus deterministic V45 renderer; neither is confirmed plaintext
3	f108v.32	dain shedain qokedar olkeedy qokeedy shedy chedar chedy oteedy qokam	Zwei Maße; zwei Dosen bis zur Mittelstufe eingeweichter Droge. Erhitze bis zur Mittelstufe und miss die erste Fraktion ab; Holzdrogenansatz vollständig erhitzt und abgeschlossen; Heizendstufe; Einweichmittelstufe abgeschlossen; abgemessene Trockenfraktion I auf Mittelstufe; Trockenmittelstufe abgeschlossen; Ansatz auf Kühlendstufe abgeschlossen. Nimm ein Maß und erhitze es.	Beide dain-Mengen bleiben getrennt sichtbar; keine zusätzliche Flüssigkeit.	zwei Maße; zwei Dosen bis zur Mittelstufe eingeweichter Droge; erhitze bis zur Mittelstufe und miss die erste Fraktion ab; Holzdrogenansatz vollständig erhitzt und abgeschlossen; bis zur Heizendstufe gebracht; bis zur mittleren Einweichstufe gebracht; abgemessene Trockenfraktion I, Mittelstufe; bis zur mittleren Trockenstufe gebracht; Ansatz auf Kühlendstufe abgeschlossen; nimm ein Maß und erhitze es	0	manual workshop prose versus deterministic V45 renderer; neither is confirmed plaintext
4	f93v.10	ychol chs ckhy s cheeol	Trockne hiervon den Drogenstoff. Trockengut in Grundform; Arzneikompositum am Gradanfang; Saatgutposten; vollständig getrockneter Drogenstoff.	cheeol nominal, der einzige explizite Trocknungsbefehl ist ychol.	trockne hiervon den Drogenstoff; Trockengut, Grundform; Arzneikompositum am Gradanfang; Samen-/Saatgutposten; vollständig getrockneter Drogenstoff	0	manual workshop prose versus deterministic V45 renderer; neither is confirmed plaintext
5	f76r.6	solchedy qokeedy qopchedy qokeeo rol shedy qokedy sheey okees al al chedain dar	Getrockneter Saatgutstoff/-ansatz; heiß am Gradende und abgeschlossen. Nimm das bis zur Mittelstufe getrocknete und fertiggestellte Pulverpräparat; heißer Ansatz auf Bindungsstufe II; Wurzelstoff; feucht auf der Mittelstufe und abgeschlossen; heiß auf der Mittelstufe und abgeschlossen; vollständig eingeweicht; Charge vollständig erhitzten Ansatzes; zweimal Rohstoff I; zwei Dosen bis zur Mittelstufe getrockneter Droge; abgemessene Fraktion I.	solchedy bleibt getrockneter Saatgutansatz; okees bleibt Chargenbezeichnung, nicht zusätzlicher Heizbefehl.	getrockneter Samen/Saatgutstoff/-ansatz; bis zur Heizendstufe gebracht; nimm das bis zur Mittelstufe getrocknete und fertiggestellte Pulverpräparat; heißer Ansatz, Bindungsstufe II; Wurzelstoff; bis zur mittleren Einweichstufe gebracht; bis zur mittleren Heizstufe gebracht; vollständig eingeweicht; Charge vollständig erhitzten Ansatzes; Rohstoff I; Rohstoff I; zwei Dosen bis zur Mittelstufe getrockneter Droge; abgemessene Fraktion I	0	manual workshop prose versus deterministic V45 renderer; neither is confirmed plaintext
6	f76r.40	qolchey shckhy qokey lchy opchey dain shdy qokedar olchdy sor oty dy lchedy	Gib die bis zur Mittelstufe getrocknete Droge hinzu und schließe die Zugabe ab. Arzneikompositum feucht am Gradanfang; Heizmittelstufe; Drogenholz in trockener Grundform; Trockenpulveransatz Form I; zwei Maße; leicht angefeuchtet und abgeschlossen. Erhitze bis zur Mittelstufe und miss die erste Fraktion ab; trockne den Drogenstoff und stelle ihn fertig; Samenportion; kalter Ansatz am Gradanfang; getrocknetes Drogenholz.	Die zwei Befehlsgruppen stammen allein aus qolchey und qokedar/olchdy; freies dy erhält keine erfundene eigene Ausgabe.	gib bis zur Mittelstufe getrockneten Drogenstoff hinzu und schließe ab; Arzneikompositum: feucht, Gradanfang; bis zur mittleren Heizstufe; Drogenholz, trockene Grundform; Trockenpulver-Ansatz, Form I; zwei Maße; leicht angefeuchtet, abgeschlossen; erhitze bis zur Mittelstufe und miss die erste Fraktion ab; Drogenstoff trocknen und fertigstellen; Samenportion; kalter Ansatz am Anfang des Grades; getrocknetes Drogenholz	0	manual workshop prose versus deterministic V45 renderer; neither is confirmed plaintext
7	f29v.7	qotcho kchor daiin ykaiin dy shdy chocthy sheky	Kühle, trockne und setze an. Heiß-trockene Drogenportion; Menge/Portion III. Erhitze hiervon auf Stufe III; leicht angefeuchtet und abgeschlossen; trockene Krautzubereitung beziehungsweise trockene Blatt-/Krautzubereitung. Weiche bis zur Mittelstufe ein, erhitze und schließe ab.	qotcho trägt Kühlen, Trocknen und Ansetzen; freies dy erzeugt keine zusätzliche Handlung.	kühle, trockne und setze an; Drogenportion, heiß-trocken; Menge/Portion III; erhitze hiervon auf Stufe III; leicht angefeuchtet, abgeschlossen; trockene CTH-Drogenzubereitung; trockene Blatt-/Krautzubereitung; bis zur Mittelstufe einweichen, erhitzen und abschließen	0	manual workshop prose versus deterministic V45 renderer; neither is confirmed plaintext
8	f43v.3	tody teedy qot chocthy chky oky chdy okedy ykaiin chey ody dary	Stelle den kalten Ansatz fertig. Kühlendstufe; kühle Folgendes ab: trockene Krautzubereitung beziehungsweise trockene Blatt-/Krautzubereitung. Erhitze getrocknete Droge leicht; leicht erhitzter Ansatz; trocken am Gradanfang und abgeschlossen; Ansatz auf mittlerer Heizstufe abgeschlossen. Erhitze hiervon auf Stufe III; Trockenmittelstufe; fertiggestellter Ansatz; abgemessene Fraktion I, abgeschlossen.	tody bezeichnet Fertigstellen eines kalten Ansatzes; alle übrigen sichtbaren Operationen bleiben getrennt.	kalten Ansatz fertigstellen; bis zur Kühlendstufe gebracht; kühle Folgendes ab; trockene CTH-Drogenzubereitung; trockene Blatt-/Krautzubereitung; getrocknete Droge leicht erhitzen; leicht erhitzter Ansatz; angetrocknet; Ansatz bis zur mittleren Heizstufe, abgeschlossen; erhitze hiervon auf Stufe III; bis zur mittleren Trockenstufe; fertiggestellter Ansatz; abgemessene Fraktion I, abgeschlossen	0	manual workshop prose versus deterministic V45 renderer; neither is confirmed plaintext
9	f18v.7	ychol dor chod qokol daiin qokol dar dy	Trockne hiervon den Drogenstoff; miss eine Portion Droge ab; schließe den Trockenansatz ab. Erhitze auf Stufe III; drei Maße; erhitze die abgemessene Fraktion I.	chod schließt den Trockenansatz; freies dy wird nicht als zusätzliche Handlung ausgegeben.	trockne hiervon den Drogenstoff; miss eine Portion Droge ab; Trockenansatz abschließen; erhitze bis Grad III; erhitze Folgendes: abgemessene Fraktion I.	0	manual workshop prose versus deterministic V45 renderer; neither is confirmed plaintext
10	f50v.8	ykar okair otor qokedy ykchol kar chckhy olkaiin okain qod	Nimm hiervon die erste erhitzte Drogenfraktion. Heiße zweite Drogenfraktion im Ansatz; kalte Drogenportion im Ansatz; bis zur mittleren Heizstufe gebracht. Erhitze und trockne hiervon den Drogenstoff; heiße Drogenfraktion I; trockenes Arzneikompositum am Gradanfang; Holzdrogenansatz auf Heizstufe III; heißer Ansatz im Zubereitungsrahmen auf Stufe II. Schließe die Zubereitung ab.	okain ist Zubereitungsform II; qod trägt den abschließenden Schließbefehl.	nimm hiervon die erste erhitzte Drogenfraktion; heiße Drogenfraktion II im Ansatz; kalte Drogenportion im Ansatz; bis zur mittleren Heizstufe gebracht; erhitze und trockne hiervon den Drogenstoff; heiße Drogenfraktion I; Arzneikompositum: trocken, Gradanfang; Holzdrogenansatz auf Heizstufe III; heiß im Zubereitungsrahmen, Grad II; die Zubereitung abschließen	0	manual workshop prose versus deterministic V45 renderer; neither is confirmed plaintext
