stem	structural_role	practical_default_de	scope	examples	exclusions	strength
o	O_PREP	Ansatzrahmen; frei versuchsweise Ansatzwasser	gebunden produktiv; freies Token occurrence-sensitiv	octhol|opchedy|oshol	Leser-Merge gewinnt; nicht global Wasser oder Öl	MEDIUM
l	L_WOOD	Holzdroge	gebunden produktiv	lkain|lkol|lchar	freies l bleibt Pfund-Siglum	HIGH
l	FREE_LIBRA_SIGLUM	ein Pfund	freies reader-exaktes Token	l	niemals in l-Komposita exportieren	MEDIUM
ol	LEARNED_OL_BASE	Grundansatz	exaktes nacktes Ganzwort	ol	ol*-Materialformen standardmäßig als O_PREP+L_WOOD; oly/olyly eigene Aktionen	MEDIUM
-ol	OL_MATERIAL	Drogenstoff; mit Stoffkopf auch Auszug	gebundener Stoff- oder Ergebnisträger	chol|sheol|keol|tchol|pchol	nicht mit nacktem ol oder initialem O_PREP+L_WOOD gleichsetzen	HIGH
oly	OLY_STRAIN_ACTION	abseihen	exaktes nacktes Wort oder exakter terminaler Aktionsblock nach einem vollständigen Stoff-/Ergebniskopf	oly|loly|chololy	kein Export in choly|doly|qoly|ykoly; olyly und qolkeeoly bleiben gelernte Erweiterungen	HIGH
s-	S_SEED	Saatgut	initial oder intern unmittelbar vor eigenem Grad-, Chargen- oder DY-Schlussmarker	saiin|ssheey|sokol|sain|chsey|leeesain|chsdy	absolut finales -s ist Charge oder Species; sqokeodaiin benutzt den reader-getrennten SQOKEO-Block	HIGH
-s	S_TERM_SPECIES	Charge; Arzneispecies	absolut terminal nach Stoff-, Prozess- oder Mengenlinker	ols|los|tees|chos|qokees|as	nicht auf internes s vor Grad-, Chargen- oder dy-Schlussmarker anwenden	HIGH
sol	SOL_SEED_PREP	Saatgutansatz	gelernter Stoffkopf	sol|sols|solaiin|solor|solkeedy	nicht Salz ohne bessere Karte	MEDIUM
sal	SAL_SEED_RAW	Saatrohstoff	produktiver Stoffkopf	salchey|salshey|saltar	Salz bleibt nur verworfener Rivale	MEDIUM
ch	CH_DRY	trocknen; getrocknet	produktiver Prozesskopf; frei Imperativ	ch|chedy|chcthdy	vor sichtbarem Leser-Merge nicht separat rendern	HIGH
sh	SH_MOIST	einweichen; angefeuchtet	produktiver Prozesskopf	shy|sheey|shcthey	kein unabhängiger Stoffwert	HIGH
k	K_HOT	erhitzen; heiß	produktiver Prozesskopf	kain|keey|qok	kein unabhängiges Stoffwort	HIGH
t	T_COLD	abkühlen; kalt	produktiver Prozesskopf	tain|teey|teody	kein Zeitwort ohne eigene Ganzkarte	HIGH
r	R_ROOT	Wurzel	gebundener Stoffkopf	rory|rolchey|rolkeedy	freies r bleibt occurrence-sensitiv	MEDIUM
cth	CTH_HERB	Kraut- oder Blattdroge	produktiver Stoffkopf	cthol|cthey|ctheor	keine bestimmte Pflanzenart	HIGH
chor	CHOR_PLANT_PART	Pflanzenteil; Blüten- oder Fruchtteil	gelernter Familienkopf; ganz oder vor gebundenem Mengen- oder Schlussmarker	chor|chorar|choror|chory	nicht als CH_DRY+OR_PORTION zerlegen; keine bestimmte Pflanzenart	MEDIUM
ckh	CKH_COMPOSITE	Arzneikompositum	produktiver gelernter Familienkopf	ckhy|ckhey|ckhedy|chckhey	nicht in beliebige c-k-h-Teilstrings zerlegen	HIGH
f/cfh	F_FLOWER	Blütenfraktion	wenige namentlich lizenzierte Blütenkarten	fshor|cfhar|chcfhy|qopchcfhy|folaiin|olfar	kein allgemeiner f- oder cfh-Substringexport außerhalb dieser Familie	LOW
p	P_POWDER	Pulver	produktiver gebundener Stoffkopf	opchey|opchedy|qopchdy	kein freies p-Wort	HIGH
q/qo	QO_COMMAND	Nimm; gib hinzu; führe den folgenden Prozess aus	präfigierter Handlungsrahmen	qor|qok|qoly|qotam	exaktes Ganzwort entscheidet konkrete Handlung	MEDIUM
qol	QOL_ADD	Drogenstoff zugeben	gelernter Handlungspräfix; ausschließlich als linker Kopf vor Stoff- oder Prozessrest	qol|qolkary|qolsheol|qolkeey|qolkeedy	nicht zugleich als q plus O_PREP+L_WOOD doppelt zählen	HIGH
qokol	QOKOL_HEAT	erhitzen	gelernter exakter Handlungsblock; allein oder als lokal reader-getrennte linke Komponente	qokol|qokololal	nicht als QOL_ADD und nicht zugleich als QO_COMMAND+K_HOT+O_PREP+L_WOOD zerlegen	HIGH
y-	Y_REFERENCE	hiervon; hierzu; vor Prozesskopf anaphorischer Imperativ	präfigierter Rahmen; intern nur am Anfang eines lokal reader-getrennten Teilkompositums	ydain|ykeedar|yshey|chkalykedy	keine interne Verwendung ohne benannten Split; kein Stoffname	HIGH
-y	Y_START_OR_CLOSE	leicht; Grundstufe; abgeschlossen	Suffix; intern nur am Ende eines lokal reader-getrennten Teilkompositums	shy|ky|dary|oteeyoram|sheyteedy	nicht intern ohne benannte Lesergrenze; otchyd/rokyd benutzen den terminalen YD-Block	MEDIUM
d-	D_MEASURE	abmessen; eine Dosis	initial oder vor Mengen-, Stoff- oder Formkopf	dain|daram|dshy|otaldiin	terminales -d ist Abschluss; in dy nicht separat dispatchen	HIGH
-d	D_TERM_CLOSE	abschließen; abziehen	absolut terminal nach Prozess- oder Bezugsform	ched|keed|shed|yd	nicht als Dosis lesen; terminales dy bleibt eigene Karte	HIGH
dy	DY_FINISHED	fertigstellen; danach	Suffix oder Sequenzkopf	chedy|oldy|dykshy	Richtung hängt von Position ab	HIGH
e	E_MIDDLE	mittlere Prozessstufe	gebundener Gradmarker	chey|key|tey	kein freies Wort	MEDIUM
ee	EE_END	vollständige Prozessstufe	gebundener Gradmarker	cheey|keey|teey	kein freies Wort	MEDIUM
eee	EEE_LONG_OR_FINAL	lange oder letzte Prozessstufe	gebunden; nur familienweise	oeeeody|teeedy|qoeeeety	keine globale Zahl III	LOW
a	A_PART_OR_LINK	ein Teil; gleicher Anteil	gebundener Mengenlinker	dara|sa|aiin	kein freies Stoffwort	MEDIUM
al	AL_RAW_I	Rohdroge I	produktiver Stoffwert	dalam|chkaly|salchey	keine bestimmte Droge	MEDIUM
an	AN_I	ein Teil oder Stufe I	gebunden familienabhängig	dan|kan|tan|chckhan	Menge versus Prozessstufe folgt dem Kopf	HIGH
ar	AR_FRACTION_I	erste Fraktion	produktiver Mengenwert	char|dar|keear	in gelernten Ganzwörtern nicht erzwingen	HIGH
air	AIR_FRACTION_II	zweite Fraktion	exakte Familie	air|dair|okair	kein allgemeiner Qualitätsgrad II	HIGH
aiir	AIIR_FRACTION_III	dritte Fraktion oder Sortierklasse III	exakte gebundene Familie	daiir|raiir|saiir|loraiir	nicht mit aiin Stufe oder Menge III zusammenlegen	HIGH
or	OR_PORTION	eine Portion	produktiver Mengenwert	qor|orain|ctheor	kein Pflanzenname	HIGH
am	AM_UNIT_I	ein Maß	gelernte gebundene Einheit	dalam|qotam|okam	nicht aus freiem m ableiten	HIGH
m	MANIPULUS_SIGLUM	eine Handvoll	freies Ganzwort	m	nicht als allgemeines Maß und nicht als Substring exportieren	LOW
g	G_GRAIN_SIGLUM	ein Gran	nur terminal in vier namentlich lizenzierten Karten	chkag|kcharg|chokolg|cheg	kein Export in freies g, sg|lg|odg, agairom oder beliebige g-Endungen	LOW
ain	AIN_II	zwei Teile oder Stufe II	gebunden familienabhängig	dain|kain|tain	Dosis versus Prozessstufe folgt dem Kopf	HIGH
aiin	AIIN_III	drei Teile oder Stufe III	gebunden familienabhängig	daiin|kaiin|chaiin	Dosis versus Prozessstufe folgt dem Kopf	HIGH
in	IN_FORM_II	Zubereitungsform II	gebunden nach O_PREP oder Stoffkopf	soin	freies oin bleibt gelerntes Ganzwort; nicht mit ain verwechseln	MEDIUM
iin	IIN_FORM_III	Zubereitungsform III	gebunden nach O_PREP, Stoff- oder Messkopf	oiin|poiin|roiin|soiin|otaldiin	nicht mit aiin Menge oder Stufe III verwechseln	HIGH
iiin	IIIN_FORM_IV	Zubereitungsform IV	gebunden nach O_PREP oder Stoffkopf	oiiin|loiiin|roiiin|soiiin	nicht als vier Teile ohne Stoffkopf lesen	HIGH
j	J_BUNDLE	ein Bündel	gelernte exakte Formen	ajy|cthoj	kein allgemeiner j-Substringexport	LOW
b	B_UNKNOWN	kein produktiver Wert	nur in gelerntem oleeeb	oleeeb	Bad bleibt Rivale, nicht Stammwert	LOW
i	I_FORM_I	Zubereitungsform I	gebunden nach O_PREP und vor einem Prozess-, Grad- oder Chargenblock	oiees	kein freies Wort und nicht mit in|iin|iiin oder Mengen-i verwechseln	LOW
so	SO_SEED_PREP	Saatgutzubereitung	produktiver Saatgut-Stoffkopf	soaiin|sodaiin|sody|soin|soiin|soiiin|sotchdaiin|shsodaiin	nicht mit sol=Saatgutansatz oder terminalem -s gleichsetzen	HIGH
om	OM_HANDFUL_PREP	eine Handvoll Ansatz	exaktes nacktes Wort oder terminaler Mengenblock nach vollständigem Stoff-, Prozess- oder Befehlskopf	om|cthom|dom|olom|cholchom|qokom	kein freies m exportieren; der Block lizenziert keinen unvollständigen g-Präfix in agairom	HIGH
cph	CPH_COMPOSITE	Arzneikompositum; zusammengesetztes Präparat	produktiver Stoffkopf vor Prozess-, Form-, Mengen- oder Ergebnisträger	cphol|chcphedy|cphedy|cpheol	nicht mit cfh=Blütenfraktion oder p=Pulver gleichsetzen	HIGH
yd	YD_POST_CLOSE	vorstehenden Rezeptposten abschließen	exaktes nacktes Wort oder absolut terminaler Schlussblock nach vollständigem Stoff-, Ansatz- oder Prozesskopf	yd|dsholyd|otchyd|rokyd	kein internes Y plus D und kein Export in andere yd-haltige Formen ohne terminalen vollständigen Kopf	HIGH
sqokeo	SQOKEO_SEED_HEAT_PREP	erhitzte Saatgutzubereitung der Mittelstufe	nur die in IT2a und RF1b sichtbare linke Karte sqokeo vor daiin in sqokeodaiin	sqokeo|sqokeodaiin	kein freies sqo und keine Erweiterung von S_SEED vor beliebige Befehle	MEDIUM
