card_id	rendering_class	surface	reader_merge_surface	occurrences	working_render_de	selection_rule	semantic_effect
G668-C001	CHKCHY_ACTION	chkchy	NONE	6	trocknen, erhitzen, erneut trocknen und abschließen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G668-C002	CHOD_ACTION	chod	NONE	8	Trockenansatz abschließen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G668-C003	CHOLD_ACTION	chold	NONE	1	getrockneten Drogenstoff abschließen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G668-C004	CHOTEY_ACTION	chotey	NONE	3	Trockenansatz bis zur Mittelstufe abkühlen und abschließen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G668-C005	KEEAL_ACTION	keeal	NONE	1	Rohdroge I vollständig erhitzen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G668-C006	KOSHET_ACTION	koshet	NONE	1	erhitzten Ansatz bis zur Mittelstufe einweichen und abkühlen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G668-C007	KSHEODY_ACTION	ksheody	NONE	4	Ansatz erhitzen, bis zur Mittelstufe einweichen und fertigstellen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G668-C008	OLKALY_ACTION	olkaly	NONE	1	Drogenstoff mit Rohdroge I leicht erhitzen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G668-C009	OLKEEOLDY_ACTION	olkeeoldy	NONE	1	Drogenstoff vollständig erhitzen und als Auszug fertigstellen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G668-C010	OTCHYD_ACTION	otchyd	NONE	2	kalten Ansatz trocknen und den Posten abschließen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G668-C011	OTECHD_ACTION	otechd	NONE	1	Ansatz abkühlen, bis zur Mittelstufe trocknen und abschließen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G668-C012	QCTHDYS_ACTION	qcthdys	NONE	1	stelle eine Charge Krautdroge fertig	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G668-C013	QOD_ACTION	qod	NONE	8	die Zubereitung abschließen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G668-C014	QOKCHAIIN_ACTION	qokchaiin	NONE	2	erhitze drei Teile getrocknete Droge	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G668-C015	QOKOIN_ACTION	qokoin	NONE	1	erhitze einen Ansatz in Zubereitungsform II	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G668-C016	QOLCHEY_ACTION	qolchey	NONE	9	gib bis zur Mittelstufe getrockneten Drogenstoff hinzu und schließe ab	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G668-C017	QOTCHO_ACTION	qotcho	NONE	9	kühle, trockne und setze an	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G668-C018	TEOLSHY_ACTION	teolshy	NONE	1	Drogenstoff bis zur Mittelstufe abkühlen, einweichen und abschließen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G668-C019	TODY_ACTION	tody	NONE	9	kalten Ansatz fertigstellen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G668-C020	YCHEEDY_ACTION	ycheedy	NONE	7	trockne hiervon vollständig und stelle es fertig	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G668-C021	YCHOS_ACTION	ychos	NONE	3	trockne hiervon eine Ansatzcharge	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G668-C022	YKEY_ACTION	ykey	NONE	5	erhitze hiervon bis zur Mittelstufe und schließe ab	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
