rank	page	locus	surface	working_default_de	practical_render_de	card_type	composition	strongest_rival_de	strength	reader_merge_surface	zl3b_line	v44_translation_de	v45_translation_de	status
1	f102v1	f102v1.14	aeky	einen Teil bis zur Mittelstufe erhitzen und abschließen	einen Teil bis zur Mittelstufe erhitzen und abschließen	PRODUCTIVE_COMPOUND	A_PART_OR_LINK+E_MIDDLE+K_HOT+Y_START_OR_CLOSE	leicht erhitzter gleicher Anteil	LOW_EXPLORATORY	NONE	chor cheor ckhey oteol aeky	Pflanzenteil; trockener Drogenteil; Arzneikompositum in der Gradmitte; Drogenstoff im Ansatz bis zur Mittelstufe abkühlen; [aeky:?]	Pflanzenteil; trockener Drogenteil; Arzneikompositum in der Gradmitte; Drogenstoff im Ansatz bis zur Mittelstufe abkühlen; einen Teil bis zur Mittelstufe erhitzen und abschließen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
2	f103r	f103r.10	teolshy	Drogenstoff bis zur Mittelstufe abkühlen, einweichen und abschließen	Drogenstoff bis zur Mittelstufe abkühlen, einweichen und abschließen	PRODUCTIVE_COMPOUND	T_COLD+E_MIDDLE+OL_MATERIAL+SH_MOIST+Y_START_OR_CLOSE	leicht angefeuchteter kalter Drogenstoff	LOW_EXPLORATORY	NONE	daiin ol oain okeol chol okam chety shedy otaiin shedy teolshy oteedy sor ain	drei Maße; Grundansatz; zwei Teile Ansatz; Grundansatz bis zur mittleren Heizstufe erwärmt; Trockengut; ein Maß heißen Ansatzes; trocken-kalte gebundene Form; bis zur mittleren Einweichstufe gebracht; kalt im Zubereitungsrahmen, Grad III; bis zur mittleren Einweichstufe gebracht; [teolshy:?]; Ansatz auf Kühlendstufe abgeschlossen; Samenportion; zwei Teile	drei Maße; Grundansatz; zwei Teile Ansatz; Grundansatz bis zur mittleren Heizstufe erwärmt; Trockengut; ein Maß heißen Ansatzes; trocken-kalte gebundene Form; bis zur mittleren Einweichstufe gebracht; kalt im Zubereitungsrahmen, Grad III; bis zur mittleren Einweichstufe gebracht; Drogenstoff bis zur Mittelstufe abkühlen, einweichen und abschließen; Ansatz auf Kühlendstufe abgeschlossen; Samenportion; zwei Teile	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
3	f104v	f104v.31	cheoraiin	drei Portionen bis zur Mittelstufe getrockneter Droge	drei Portionen bis zur Mittelstufe getrockneter Droge	PRODUCTIVE_COMPOUND	CH_DRY+E_MIDDLE+OR_PORTION+AIIN_III	Trockenportion der dritten Stufe	MEDIUM_EXACT_WHOLE	NONE	y cheoraiin cthey chol sheody qokair qoeey cheey lkeedy	Eintrag: [cheoraiin:?]; Krautdroge, Form I; Blatt-/Krautdroge, Form I; Trockengut; angefeuchteter Ansatz, abgeschlossen; erhitze die zweite Fraktion; nimm die Endportion hinzu; vollständig getrocknet; Drogenholz, heiß am Gradende, abgeschlossen	Eintrag: drei Portionen bis zur Mittelstufe getrockneter Droge; Krautdroge, Form I; Blatt-/Krautdroge, Form I; Trockengut; angefeuchteter Ansatz, abgeschlossen; erhitze die zweite Fraktion; nimm die Endportion hinzu; vollständig getrocknet; Drogenholz, heiß am Gradende, abgeschlossen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
4	f105v	f105v.9	okairy	zweite Fraktion des erhitzten Ansatzes abschließen	zweite Fraktion des erhitzten Ansatzes abschließen	PRODUCTIVE_COMPOUND	O_PREP+K_HOT+AIR_FRACTION_II+Y_START_OR_CLOSE	leicht erhitzte Ansatzfraktion II	LOW_EXPLORATORY	NONE	lcheey qoeees y daiin okairy otchedy ockhedy otchey daiin or r ail l okam	Drogenholz, trocken gebunden, Form II; nimm eine Charge der letzten Stufe; hierzu: drei Maße; [okairy:?]; kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen; Ansatz eines Arzneikompositums in der Gradmitte, abgeschlossen; kalt-trockener Ansatz in der Mitte des Grades; drei Maße; Drogenportion; Wurzel; Rohstoff II; ein Pfund; ein Maß heißen Ansatzes	Drogenholz, trocken gebunden, Form II; nimm eine Charge der letzten Stufe; hierzu: drei Maße; zweite Fraktion des erhitzten Ansatzes abschließen; kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen; Ansatz eines Arzneikompositums in der Gradmitte, abgeschlossen; kalt-trockener Ansatz in der Mitte des Grades; drei Maße; Drogenportion; Wurzel; Rohstoff II; ein Pfund; ein Maß heißen Ansatzes	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
5	f107r	f107r.3	ycheedy	trockne hiervon vollständig und stelle es fertig	trockne hiervon vollständig und stelle es fertig	PRODUCTIVE_COMPOUND	Y_REFERENCE+CH_DRY+EE_END+DY_FINISHED	vollständig getrocknete Droge dieser Zubereitung	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	olcheey cheos qokeeey ycheedy qotain ykain okeey raiin	Holzdrogenansatz vollständig trocknen; Charge eines mitteltrockenen Ansatzes; erhitze bis Endstufe III; [ycheedy:?]; kalt im qo-Rahmen, Grad II; erhitze hiervon auf Stufe II; Ansatz auf Heizendstufe; Wurzel, Typ/Charge III	Holzdrogenansatz vollständig trocknen; Charge eines mitteltrockenen Ansatzes; erhitze bis Endstufe III; trockne hiervon vollständig und stelle es fertig; kalt im qo-Rahmen, Grad II; erhitze hiervon auf Stufe II; Ansatz auf Heizendstufe; Wurzel, Typ/Charge III	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
6	f107v	f107v.39	cheary	erste Fraktion bis zur Mittelstufe trocknen und abschließen	erste Fraktion bis zur Mittelstufe trocknen und abschließen	PRODUCTIVE_COMPOUND	CH_DRY+E_MIDDLE+AR_FRACTION_I+Y_START_OR_CLOSE	mäßig getrocknete Fraktion I	LOW_EXPLORATORY	NONE	okain cheor olkaiin oain cheary raiin okoiin odaiin okaiin y	heiß im Zubereitungsrahmen, Grad II; trockener Drogenteil; Holzdrogenansatz auf Heizstufe III; zwei Teile Ansatz; [cheary:?]; Wurzel, Typ/Charge III; erhitzter Ansatz in Zubereitungsform III; Zubereitungsdosis III; Ansatz auf Heizstufe III.	heiß im Zubereitungsrahmen, Grad II; trockener Drogenteil; Holzdrogenansatz auf Heizstufe III; zwei Teile Ansatz; erste Fraktion bis zur Mittelstufe trocknen und abschließen; Wurzel, Typ/Charge III; erhitzter Ansatz in Zubereitungsform III; Zubereitungsdosis III; Ansatz auf Heizstufe III.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
7	f108v	f108v.32	shedain	zwei Dosen bis zur Mittelstufe eingeweichter Droge	zwei Dosen bis zur Mittelstufe eingeweichter Droge	PRODUCTIVE_COMPOUND	SH_MOIST+E_MIDDLE+D_MEASURE+AIN_II	eingeweichte Droge auf Dosisstufe II	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	dain shedain qokedar olkeedy qokeedy shedy chedar chedy oteedy qokam	zwei Maße; [shedain:?]; erhitze bis zur Mittelstufe und miss die erste Fraktion ab; Holzdrogenansatz vollständig erhitzt und abgeschlossen; bis zur Heizendstufe gebracht; bis zur mittleren Einweichstufe gebracht; abgemessene Trockenfraktion I, Mittelstufe; bis zur mittleren Trockenstufe gebracht; Ansatz auf Kühlendstufe abgeschlossen; nimm ein Maß und erhitze es	zwei Maße; zwei Dosen bis zur Mittelstufe eingeweichter Droge; erhitze bis zur Mittelstufe und miss die erste Fraktion ab; Holzdrogenansatz vollständig erhitzt und abgeschlossen; bis zur Heizendstufe gebracht; bis zur mittleren Einweichstufe gebracht; abgemessene Trockenfraktion I, Mittelstufe; bis zur mittleren Trockenstufe gebracht; Ansatz auf Kühlendstufe abgeschlossen; nimm ein Maß und erhitze es	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
8	f10v	f10v.2	chcthor	eine Portion getrocknete Krautdroge	eine Portion getrocknete Krautdroge	PRODUCTIVE_COMPOUND	CH_DRY+CTH_HERB+OR_PORTION	eine Portion Krautdroge trocknen	LOW_EXPLORATORY	NONE	dain daiin ckhy chcthor choiin qot chodaiin cthy daiin	zwei Maße; drei Maße; Arzneikompositum am Gradanfang; [chcthor:?]; trockene Zubereitungsform III; kühle Folgendes ab; Trockenansatz, Dosis III; Krautdroge; Menge/Portion III	zwei Maße; drei Maße; Arzneikompositum am Gradanfang; eine Portion getrocknete Krautdroge; trockene Zubereitungsform III; kühle Folgendes ab; Trockenansatz, Dosis III; Krautdroge; Menge/Portion III	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
9	f111r	f111r.8	lkeeol	Holzdrogenstoff vollständig erhitzen	Holzdrogenstoff vollständig erhitzen	PRODUCTIVE_COMPOUND	L_WOOD+K_HOT+EE_END+OL_MATERIAL	vollständig erhitzter Holzdrogenauszug	MEDIUM_EXACT_WHOLE	NONE	daiin o chedain daiin cheedy qokeey qokedy chy otshedy lkeeol lkeey qotchdy	drei Maße; Ansatzwasser; zwei Dosen bis zur Mittelstufe getrockneter Droge; drei Maße; vollständig getrocknet; bis zur Heizendstufe; bis zur mittleren Heizstufe gebracht; angetrocknet; kalt-feuchter Ansatz in der Mitte des Grades, abgeschlossen; [lkeeol:?]; Drogenholz, heiß am Gradende; kalt und angetrocknet	drei Maße; Ansatzwasser; zwei Dosen bis zur Mittelstufe getrockneter Droge; drei Maße; vollständig getrocknet; bis zur Heizendstufe; bis zur mittleren Heizstufe gebracht; angetrocknet; kalt-feuchter Ansatz in der Mitte des Grades, abgeschlossen; Holzdrogenstoff vollständig erhitzen; Drogenholz, heiß am Gradende; kalt und angetrocknet	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
10	f112r	f112r.19	polchdy	Pulverstoff trocknen und fertigstellen	Pulverstoff trocknen und fertigstellen	PRODUCTIVE_COMPOUND	P_POWDER+OL_MATERIAL+CH_DRY+DY_FINISHED	fertig getrocknetes Pulverpräparat	MEDIUM_EXACT_WHOLE	NONE	polchdy o l otal y raiin sheky qeey qokey qokeey qoky am	[polchdy:?]; Grundansatz; Rohstoff I, leicht gekühlt im Ansatz; Wurzel, Typ/Charge III; bis zur Mittelstufe einweichen, erhitzen und abschließen; nimm die Endportion hinzu; bis zur mittleren Heizstufe; bis zur Heizendstufe; leicht erhitzt; Maßeinheit I	Pulverstoff trocknen und fertigstellen; Grundansatz; Rohstoff I, leicht gekühlt im Ansatz; Wurzel, Typ/Charge III; bis zur Mittelstufe einweichen, erhitzen und abschließen; nimm die Endportion hinzu; bis zur mittleren Heizstufe; bis zur Heizendstufe; leicht erhitzt; Maßeinheit I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
