occurrence_id	page	locus	ordinal	surface	position	reader_exact	split_normalized	reader_merge_direction	reader_merge_surface	reader_merge_readers	reader_merge_known_surface	raw_line_set_candidates	reader_merge_decision	all_present_exact	zl3b_line	it2a_line	rf1b_line	claim_boundary
G668-T0001	f100v	f100v.16	9	okeor	MEDIAL	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	ykeeol chol chey eeoseeo s sheeo okeol ches okeor okeol dy	ykeeol chol chey eeoseeos sheeo okeol ches okeor okeol dy	ykeeol chol che eeoseeos sheeo okeol ches okeor okeol dy	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G668-T0002	f100v	f100v.18	5	cheeor	MEDIAL	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	tachso s ol cheo cheeor odaidy ckhod sh chod qokeol sal	tocheo sol cheo cheeor odaidy ckhod sh chod qokeol sal	tochso s ol cheo cheeor odaidy ckho sh chod qokeol sal	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G668-T0003	f100v	f100v.18	9	chod	MEDIAL	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	tachso s ol cheo cheeor odaidy ckhod sh chod qokeol sal	tocheo sol cheo cheeor odaidy ckhod sh chod qokeol sal	tochso s ol cheo cheeor odaidy ckho sh chod qokeol sal	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G668-T0004	f102v1	f102v1.14	5	aeky	EOS	0	0	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	chor cheor ckhey oteol aeky	chor cheor ckhey oteol aikheky	chor cheor ckhey oteol aeky	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G668-T0005	f102v1	f102v1.23	1	ksheody	BOS	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	ksheody sho qokey sheody qockhey olcheor odain okchody	ksheody sho qokey sheody qockhey olcheor odain okchoda	ksheody sho qokey sheody qockhey ol cheor odain okchody	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G668-T0006	f102v2	f102v2.20	11	tody	MEDIAL	0	0	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	qokeor cho keeol okeeey qokeody chockhey qokeey dol ol sheeoy tody cheoc	qekeor cho keeol okeeey qokeody chockhey qokeey dol ol sheeoy tody cheoe	qokeor cho keeol okeeey qokeo y chockhey qokeey dol ol sheeoy to y cheoc	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G668-T0007	f102v2	f102v2.22	14	okeor	MEDIAL	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	dain or aiin cheol s oiir chol sheey qockhy ol keo r okeody okeor cho	doin or oiin cheol soiir chol sheey qockhy ol keor okeody okeor chos	d in or aiin cheol s oiir chol sheey qockhy ol keor okeody okeor cho	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G668-T0008	f102v2	f102v2.32	9	cheeor	MEDIAL	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	dar cheor shoar okeol shoy s ar oky cheeor ol daiin sy	dar cheor sheor okeol shoy s ar oky cheeor ol daiin sy	dor cheos sho r okeol shoy s ar oky cheeor ol daiin sy	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G668-T0009	f103r	f103r.10	11	teolshy	MEDIAL	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	daiin ol oain okeol chol okam chety shedy otaiin shedy teolshy oteedy sor ain	daiin ol oain okeol chal okam chety shedy otaiin shedy teolshy oteedy sarain	daiin al oain okeol chal okam chety shedy otaiin shedy teolshy oteedy s ar ain	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G668-T0010	f103r	f103r.35	7	shedain	MEDIAL	0	0	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	qoker chain olain chey kain sheol shedain qokeedy ykeedy lcheg	qokeear chain olain chey kain sheol shedain qokeedy ykeedy lcheg	qokeear chain olain chey kain eol edain qokeedy ykee y lcheg	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G668-T0011	f103r	f103r.6	12	san	MEDIAL	0	0	NONE	NONE	NONE	0	NONE	NO_EXACT_LOCAL_READER_JOIN	0	ocheey dain shek okeedy okey shedy qokealdy shcthy qotedy qoto ota san am	ocheey dain shek okeedy okey shedy qokealdy shcthy qotedy qot san am	ocheey dain shek okeedy okey shedy qokealdy shcthy qotedy qoto ota sein am	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G668-T0012	f103v	f103v.9	4	okeor	MEDIAL	0	0	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	pchal shal shorchdy okeor okaiin shedy pchedy qotchedy qotar ol lkar	pchal shal shorchdy okeor okain shedy pchedy qotchedy qotar ol lkar	pchalshal shorch y okear okaiin shedy pchedy qotchedy qotar ol lkar	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G668-T0013	f104r	f104r.34	2	ksheody	MEDIAL	0	0	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	pchol ksheody qokeshedy qokal chedy qokaiin otaiin cheody qokal taiin cholxy	pchol ksheody qokeshedy qokal chedy qokaiin otaiin cheody qokal taiin cholxy	pchol ksheod qokeshe y qotal chedy qokaiin otaiin cheody qokal taiin cholxy	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G668-T0014	f104r	f104r.5	12	qod	EOS	1	1	NONE	NONE	NONE	0	NONE	NO_EXACT_LOCAL_READER_JOIN	0	kchdal qotaiin qoshedy ol chl ol cheday al lod pchdair opchdy qod	kchdal qotaiin qoshedy ol chl ol chedacphy al lod pchdair opchdy qod	chdal qotaiin qoshe y ol chl ol chedacphy al lod pchdair opch y qod	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G668-T0015	f104v	f104v.11	1	ycheedy	BOS	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	ycheedy qoy ykchedor cheeky qokchd qotol qokol qokol daiin	ycheedy qocthey ykchedor cheeky qokchd qotol qokol qokol daiin	ycheedy qoy ykchedor cheeky qokchd qotol qokol qokol daiin	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
