master_card_id	master_form	registered_surfaces	value_de	drawer	learning_mode	visible_components	formal_recipe	example_event	example_statement	event_count
MC001	chdal	chdal	Zieltransfer	WEG_QUELLE_ZIEL	KOMPONENTEN_LESEN	AL+CHD	CHD_TRANSFER+AL_TO	E368	B5-S003	1
MC002	okeey	okeey|qokeey	lange einwirken	ZUSTAND_DAUER	KOMPONENTEN_LESEN	OK+EE+Y	OK_SET+GRADE_2+Y_CURRENT_ITEM	E153	B1-S016	7
MC003	sheedy	sheedy	Langabsetzen; Schluss	ABSCHLUSS	KOMPONENTEN_LESEN	EE+DY+SHED	SHED_SETTLE+GRADE_2+DY_CLOSE	E261	B3-S014	1
MC004	ldy	ldy	abziehen; Schluss	ABSCHLUSS	KOMPONENTEN_LESEN	L+DY	L_OUT+CLOSE_EXACT	E184	B2-S005	2
MC005	okchedy	okchedy|qokchedy	einführen; Schluss	ABSCHLUSS	KOMPONENTEN_LESEN	CHED	OK+CHED_TRANSFER+CLOSE	E151	B1-S015	2
MC006	chokcheo	chokcheo	Auszug einsetzen	STOFF_POSTEN	KOMPONENTEN_LESEN	OK+CHEO	CH_RENDERER+OK_ADD+CHEO_EXTRACT	E092	H5-S004	1
MC007	okey	okey|qokey	kurz einwirken	ZUSTAND_DAUER	KOMPONENTEN_LESEN	OK+E+Y	OK_SET+GRADE_1+Y_CURRENT_ITEM	E142	B1-S012	2
MC008	lchy	lchy	Abführgut	HANDLUNG_VERWEIS	KOMPONENTEN_LESEN	L+Y	LCH_WITHDRAW+Y_ITEM	E202	B2-S012	1
MC009	chary	chary	Quellposten	WEG_QUELLE_ZIEL	KOMPONENTEN_LESEN	AR+Y	AR_FROM+Y_CURRENT	E253	B3-S011	1
MC010	chodaly	chodaly	Zielzugabe	WEG_QUELLE_ZIEL	KOMPONENTEN_LESEN	AL+Y+HO	HO_INGREDIENT+AL_TO+Y_ITEM	E076	H5-S001	1
MC011	lchedar	lchedar	Quellabführung	WEG_QUELLE_ZIEL	KOMPONENTEN_LESEN	AR+L+CHED	L_OUT+CHED_TRANSFER+AR_FROM	E215	B2-S016	1
MC012	dl	dl	Zusatz	GANZKARTE	GANZKARTE_LERNEN	LOKALER_KARTENKERN	DL_BATH_ADDITIVE_WHOLE_CARD	E112	B1-S002	2
MC013	otchor	otchor|qotchor	Folgeansatz	REIHENFOLGE	KOMPONENTEN_LESEN	OT+OR	OT_FOLLOW+OR_BATCH	E024	H2-S002	2
MC014	chair	chair	Zuguss	WEG_QUELLE_ZIEL	KOMPONENTEN_LESEN	AIR	CH_INLET+AIR_WATER	E006	H1-S001	1
MC015	qokokchy	qokokchy	erneut einsetzen	HANDLUNG_VERWEIS	KOMPONENTEN_LESEN	OK+Y	OK_SET+OK_REPEAT+Y_CURRENT	E090	H5-S003	1
MC016	rol	rol	Anschluss	REIHENFOLGE	KOMPONENTEN_LESEN	OL	R_FRAME+OL_CONTINUE	E111	B1-S002	1
MC017	okain	okain|qokain	Anteil zugeben	MENGE_STUFE	KOMPONENTEN_LESEN	AIN	OK+AIN_PORTION	E127	B1-S006	7
MC018	qotedaiin	qotedaiin	Kurzsoll	MENGE_STUFE	KOMPONENTEN_LESEN	OT+AIIN+E	OT_FOLLOW+E_SHORT+AIIN_MEASURE	E305	B3-S032	1
MC019	oldy	oldy	fertig	REIHENFOLGE	KOMPONENTEN_LESEN	OL+DY	OL_CONTINUE+DY_CLOSE	E067	H4-S003	2
MC020	solkeey	solkeey	Langsammlung	ZUSTAND_DAUER	KOMPONENTEN_LESEN	EE+Y+SOLK	SOLK_COLLECT+EE_LONG+Y_ITEM	E373	B6-S001	1
MC021	oltchy	oltchy	Folgebereitung	REIHENFOLGE	KOMPONENTEN_LESEN	OL+Y+CTH	OL_CONTINUE+CTH_READY+Y_CURRENT	E070	H4-S004	1
MC022	chckhal	chckhal	Zielpassage	WEG_QUELLE_ZIEL	KOMPONENTEN_LESEN	AL+CKH	CKH_THROUGH+AL_TO	E355	B4-S015	1
MC023	kair	kair	Beckenlauf	WEG_QUELLE_ZIEL	KOMPONENTEN_LESEN	AIR	K_BASIN+AIR_WATER	E103	B1-S002	1
MC024	qokol	qokol	Weiter einsetzen	REIHENFOLGE	KOMPONENTEN_LESEN	OK+OL	OK_SET+OL_CONTINUE	E346	B4-S013	1
MC025	dchedy	dchedy|schedy|tchedy	überführen; Schluss	ABSCHLUSS	KOMPONENTEN_LESEN	CHED	CHED_TRANSFER+TERMINAL	E120	B1-S002	4
MC026	choky	choky|oky|qoky	einsetzen	HANDLUNG_VERWEIS	KOMPONENTEN_LESEN	OK+Y	OK_SET+Y_CURRENT_ITEM	E008	H1-S001	10
MC027	oykchor	oykchor	Zubereitungsgefäß	GANZKARTE	GANZKARTE_LERNEN	LOKALER_KARTENKERN	MEMORIZED_VESSEL_CARD	E032	H2-S003	1
