teaching_order	master_card_id	master_form	registered_surfaces	learned_value_de	occurrences	records	example_event	example_statement	copying_rule_de
1	MC012	dl	dl	Zusatz	2	B1	E112	B1-S002	als unteilbare Ganzkarte aus dem Exemplar lernen
2	MC027	oykchor	oykchor	Zubereitungsgefäß	1	H2	E032	H2-S003	als unteilbare Ganzkarte aus dem Exemplar lernen
3	MC037	tchody	tchody	kalt stellen; Schluss	1	H3	E045	H3-S001	als unteilbare Ganzkarte aus dem Exemplar lernen
4	MC052	qekey	qekey	kurz bearbeiten	1	B6	E374	B6-S001	als unteilbare Ganzkarte aus dem Exemplar lernen
5	MC059	dain	dain	Einlage	2	B4|B6	E327	B4-S005	als unteilbare Ganzkarte aus dem Exemplar lernen
6	MC061	sshkchdy	sshkchdy	Haltetransfer; Schluss	1	B1	E122	B1-S003	als unteilbare Ganzkarte aus dem Exemplar lernen
7	MC071	dchey	dchey	Wurzel	1	H1	E001	H1-S001	als unteilbare Ganzkarte aus dem Exemplar lernen
8	MC084	rshedy	rshedy	Vollwaschung; Schluss	1	B2	E225	B2-S019	als unteilbare Ganzkarte aus dem Exemplar lernen
9	MC099	cheeckhody	cheeckhody	auftragen; Schluss	1	H5	E086	H5-S002	als unteilbare Ganzkarte aus dem Exemplar lernen
10	MC100	ody	ody	abkühlen; Schluss	1	H4	E060	H4-S001	als unteilbare Ganzkarte aus dem Exemplar lernen
11	MC109	ytey	ytey	Kurzteil	1	B1	E150	B1-S015	als unteilbare Ganzkarte aus dem Exemplar lernen
12	MC114	sh	sh	Stängel	1	H5	E087	H5-S003	als unteilbare Ganzkarte aus dem Exemplar lernen
13	MC118	ly	ly	Auffanggefäß	1	B1	E159	B1-S018	als unteilbare Ganzkarte aus dem Exemplar lernen
14	MC119	cheey	cheey|shey	Klarlauf	4	B2|B4|H3	E044	H3-S001	als unteilbare Ganzkarte aus dem Exemplar lernen
15	MC124	lkedy	lkedy	Kurzabzug; Schluss	1	B4	E344	B4-S011	als unteilbare Ganzkarte aus dem Exemplar lernen
16	MC129	cfhy	cfhy	auswringen	1	H3	E041	H3-S001	als unteilbare Ganzkarte aus dem Exemplar lernen
17	MC138	dshedy	dshedy	Frischwasser zugeben; Schluss	1	B2	E189	B2-S007	als unteilbare Ganzkarte aus dem Exemplar lernen
18	MC142	dchol	dchol|schol	vom vorigen	2	H3|H5	E047	H3-S003	als unteilbare Ganzkarte aus dem Exemplar lernen
19	MC152	ches	ches	teilen	1	B2	E216	B2-S016	als unteilbare Ganzkarte aus dem Exemplar lernen
20	MC156	cphy	cphy	nachseihen	1	H3	E043	H3-S001	als unteilbare Ganzkarte aus dem Exemplar lernen
21	MC159	os	os	Aufnahmegefäß	1	H1	E005	H1-S001	als unteilbare Ganzkarte aus dem Exemplar lernen
22	MC164	qokylddy	qokylddy	befestigen; Schluss	1	B4	E326	B4-S004	als unteilbare Ganzkarte aus dem Exemplar lernen
