teaching_order	component	atomic_value_de	write_read_rule_de	card_types	visible_events	example_card_id	example_surface	example_value_de	example_statement
1	OK	EINSETZEN	den folgenden Posten in den laufenden Arbeitsgang setzen	20	67	MC026	oky	einsetzen	H1-S001
2	OL	WEITER	den bestehenden Gang fortsetzen	23	46	MC153	chol	weiter	H1-S002
3	OT	FOLGE	zum folgenden Posten oder Schritt wechseln	16	26	MC060	sotaiin	Folgemaß	B2-S008
4	AR	QUELLE	etwas von der angegebenen Quelle nehmen	10	14	MC055	char	davon	H1-S001
5	AL	ZIEL	etwas an die angegebene Stelle bringen	23	40	MC154	dal	dorthin	H5-S001
6	L	AB	aus dem aktiven Posten heraus- oder abführen	15	23	MC155	lchedy	abführen; Schluss	B2-S013
7	P	ZU	in einen lokalen Empfänger zuführen	2	2	MC070	pchedy	Zuführung; Schluss	B2-S016
8	AIN	PORTION	eine abgegrenzte Teilmenge	7	16	MC017	qokain	Anteil zugeben	B1-S006
9	AIIN	SOLLMASS	das im Exemplar vorgeschriebene Maß	10	39	MC039	daiin	Sollmaß	H1-S001
10	IIN	STUFE	eine benannte Arbeits- oder Bearbeitungsstufe	3	4	MC033	oiiin	Arbeitsstufe	B1-S018
11	E	KURZ	kurz oder unmittelbar ausführen	18	41	MC128	shedy	kurz absetzen; Schluss	B1-S004
12	EE	LANG	länger halten oder fortsetzen	13	33	MC082	qokeedy	lange einwirken; Schluss	B2-S003
13	EEE	VOLL	bis zur vollen Stufe ausführen	2	2	MC094	cheeety	Vollteil	B3-S029
14	Y	DIES	den aktuell gemeinten Arbeitsposten bezeichnen	44	104	MC123	dy	dies	H2-S001
15	DY	SCHLUSS	nur in einer lizenzierten Endkarte die Zelle schließen	20	53	MC128	shedy	kurz absetzen; Schluss	B1-S004
16	OR	ANSATZ	den aktuell bereiteten Arbeitsansatz bezeichnen	8	16	MC080	chor	Ansatz	H2-S001
17	HO	ZUTAT	eine weitere Zutat oder einen Materialteil einsetzen	8	11	MC034	cho	weitere Zutat	H5-S001
18	CHEO	AUSZUG	einen gewonnenen Auszug bezeichnen	4	4	MC006	chokcheo	Auszug einsetzen	H5-S004
19	AIR	LAUFFLÜSSIGKEIT	Flüssigkeit im sichtbaren oder gedachten Lauf	5	5	MC014	chair	Zuguss	H1-S001
20	CHED	ÜBERFÜHREN	Material von einer Station in die nächste bringen	16	40	MC074	chedy	überführen	H4-S002
21	CHD	ÜBERFÜHREN	kurze Allomorphie derselben Transferhandlung	6	18	MC074	chedy	überführen	H4-S002
22	CTH	BEREIT	einen Posten als vorbereitet oder bereit setzen	9	16	MC161	cthy	bereit	H1-S002
23	SHED	ABSETZEN	ruhen und sich absetzen lassen	5	17	MC128	shedy	kurz absetzen; Schluss	B1-S004
24	CHK	WÄRMEN	den Posten erwärmen oder warm halten	4	7	MC147	cheky	kurz wärmen	B1-S008
25	CKH	DURCHLASS	durch einen Gang oder eine Passage führen	6	9	MC035	chckhy	durchleiten	B1-S002
26	CKHE	SEIHEN	durch einen trennenden Durchlass führen	2	4	MC143	shckhedy	durchlassen; Schluss	B1-S020
27	SOLK	SAMMELN	an einer lokalen Sammel- oder Auffangstelle halten	4	6	MC045	olkeedy	lange sammeln; Schluss	B1-S018
28	LSH	WASCHEN	einen Wasch- oder Spülgang ausführen	2	3	MC038	lshedy	Waschgang; Schluss	B1-S012
29	TY	TEIL	einen Materialteil oder Rest bezeichnen	5	6	MC086	chty	Teil	H1-S001
