page	statement_id	transition	incoming_registers	outgoing_registers	picture_owner	surface_sequence	latin_like_source_statement	fluent_reading_de	cards	semantic_atoms
f10r	H1-S001	INITIALIZE_MAIN_PREPARATION	PICTURE_OWNER	MAIN_PREPARATION+CURRENT_ITEM	die breite gezahnte Bluetenpflanze		De herba picta: partem cito sume. Preparationem in opere fac; ex fonte sume et opera. Adde aquam. Deinde rem opera, sume et continua; ad mensuram pone et cito opera.	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten, aus der Quelle nehmen und bearbeiten; dazu Wasser entnehmen, danach den Posten bearbeiten, entnehmen und weiterfuehren, nach Sollmass ansetzen und kurz bearbeiten.	10	23
f10r	H1-S002	CONTINUE_MAIN_PREPARATION	MAIN_PREPARATION+CURRENT_ITEM	MAIN_PREPARATION+CURRENT_ITEM	die breite gezahnte Bluetenpflanze		Eandem rem pone; deinde sume et continua; age porro et rem praeparatam tene.	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.	4	8
f10r	H2-S001	DERIVE_BRANCH_PORTION	MAIN_PREPARATION+CURRENT_ITEM	BRANCH_PREPARATION+CURRENT_ITEM	die breite gezahnte Bluetenpflanze		De praeparatione currente cito sume; rem para, praeparationem ad mensuram in opere para et rem currentem relinque.	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Sollmass im Arbeitsgang weiter bereiten und als aktuellen Posten verfuegbar lassen.	9	17
f10r	H2-S002	CONTINUE_BRANCH	BRANCH_PREPARATION+CURRENT_ITEM	BRANCH_PREPARATION+CURRENT_ITEM	die breite gezahnte Bluetenpflanze		Deinde de praeparatione sume; eandem praeparationem pluribus operibus ad mensuram ex fonte continua.	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren weiteren Arbeitsschritten nach Sollmass aus der Quelle weiterfuehren.	8	12
f10r	H2-S003	MODIFY_AND_DRAW_BRANCH	BRANCH_PREPARATION+CURRENT_ITEM	BRANCH_PREPARATION+CURRENT_ITEM	die breite gezahnte Bluetenpflanze		In opere rem praeparationi adde; eandem praeparationem ut rem currentem tene, ad gradum adde et in opere ad mensuram sume.	Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Stufe weiter zugeben und anschliessend im Arbeitsgang nach Sollmass entnehmen.	7	13
f11r	H3-S001	PROCESS_RECEIVE_AND_CLOSE_FIRST_EXTRACT	PICTURE_OWNER+RAW_MATERIAL	CLOSED_FIRST_EXTRACT	die dicht bluehende Kronenpflanze	tshol schoal cfhy shfydaiin cphy shey tchody	Rem opera et continua tenere; in opere ad locum tene, exprime, ad mensuram tene, in receptaculum mitte, diu tene, in opere tracta et sume; fini.	Bei der dicht bluehenden Kronenpflanze: Den Posten bearbeiten und weiter halten, dann im Arbeitsgang an der Zielstelle halten; auspressen, bis zum Sollmass halten, in den lokalen Empfaenger einbringen, laenger halten, bearbeiten, im Arbeitsgang entnehmen und den Schritt schliessen.	7	20
f11r	H3-S002	WORK_ON_CLOSED_PRODUCT	CLOSED_FIRST_EXTRACT	WORKED_FIRST_EXTRACT	die dicht bluehende Kronenpflanze	shoyty	In opere rem tene et opera.	Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Arbeitsgang halten und bearbeiten.	1	5
f11r	H3-S003	RESUME_WITH_DAVON_AND_ADD	WORKED_FIRST_EXTRACT	RESUMED_PORTION	die dicht bluehende Kronenpflanze	dchol chy kchy dy daiin	Ex eo rem currentem tene, adde et ad mensuram continua.	Bei der dicht bluehenden Kronenpflanze: Davon, den aktuellen Posten beibehalten, ihm zugeben und ihn bis zum Sollmass weiterfuehren.	5	6
f11r	H3-S004	CONTINUE_RESUMED_PORTION	RESUMED_PORTION	OPEN_PREPARED_PORTION	die dicht bluehende Kronenpflanze	qotchy okchol cthy dy	Deinde rem pone et continua; paratam tene.	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereitet halten; dann ihn beibehalten.	4	7
f55v	H4-S001	MEASURE_PORTION_SUPPLEMENT_AND_CLOSE	PICTURE_OWNER+RAW_MATERIAL	CLOSED_MEASURED_BATCH_A	die breitblaettrige rispige Pflanze	qokaiin chaiin ykain ykan ody	Ad mensuram pone; rei portionem et supplementum adde; opus fini.	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen.	5	11
f55v	H4-S002	TRANSFER_MEASURED_PORTION_AND_SET_ASIDE	CLOSED_MEASURED_BATCH_A	SET_ASIDE_PORTION	die breitblaettrige rispige Pflanze	daiin chedy talam	Ad mensuram rem transfer et seponere.	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass den laufenden Posten umsetzen und anschliessend beiseitestellen.	3	4
f55v	H4-S003	ADD_SOURCE_HEAT_AND_CLOSE	SET_ASIDE_PORTION+SOURCE	CLOSED_HEATED_BATCH_B	die breitblaettrige rispige Pflanze	ykaiin cheoar cheeky oldy	Rem ad mensuram adde; ex fonte in opere cito sume; rem diu calefac; continua et fini.	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Sollmass zugeben; dann kurz im Arbeitsgang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann weiterarbeiten; den Schritt schliessen.	4	12
