event_id	page	record	statement_id	surface	exact_card_id	component_recipe	card_meaning_de	semantic_atom_count	source_phrase	quantity	water	press	passage	heat	ingredient	target	close
E001	f10r	H1	H1-S001	dchey	PROC001	CH+E+Y	ENTNEHMEN · KURZ · POSTEN	3	partem cito sume	NO	NO	NO	NO	NO	NO	NO	NO
E002	f10r	H1	H1-S001	cthoor	PROC002	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ	3	preparationem in opere fac	NO	NO	NO	NO	NO	NO	NO	NO
E003	f10r	H1	H1-S001	char	PROC003	AR	QUELLE	1	ex fonte	NO	NO	NO	NO	NO	NO	NO	NO
E004	f10r	H1	H1-S001	chty	PROC004	T+Y	BEARBEITEN · POSTEN	2	rem opera	NO	NO	NO	NO	NO	NO	NO	NO
E005	f10r	H1	H1-S001	os	PROC005	OS	DAZU	1	adde	NO	NO	NO	NO	NO	NO	NO	NO
E006	f10r	H1	H1-S001	chair	PROC006	CH+AIR	ENTNEHMEN · WASSER	2	aquam sume	NO	YES	NO	NO	NO	NO	NO	NO
E007	f10r	H1	H1-S001	otytchol	PROC007	OT+Y+T+CH+OL	DANACH · POSTEN · BEARBEITEN · ENTNEHMEN · WEITER	5	deinde rem opera, sume et continua	NO	NO	NO	NO	NO	NO	NO	NO
E008	f10r	H1	H1-S001	oky	PROC008	OK+Y	ANSETZEN · POSTEN	2	rem pone	NO	NO	NO	NO	NO	NO	NO	NO
E009	f10r	H1	H1-S001	daiin	PROC009	AIIN	SOLLMASS	1	ad mensuram	YES	NO	NO	NO	NO	NO	NO	NO
E010	f10r	H1	H1-S001	etyd	PROC010	E+T+Y	KURZ · BEARBEITEN · POSTEN	3	cito rem opera	NO	NO	NO	NO	NO	NO	NO	NO
E011	f10r	H1	H1-S002	qokchy	PROC011	OK+Y	ANSETZEN · POSTEN	2	eandem rem pone	NO	NO	NO	NO	NO	NO	NO	NO
E012	f10r	H1	H1-S002	qotchol	PROC012	OT+CH+OL	DANACH · ENTNEHMEN · WEITER	3	deinde sume et continua	NO	NO	NO	NO	NO	NO	NO	NO
E013	f10r	H1	H1-S002	chol	PROC013	OL	WEITER	1	continua	NO	NO	NO	NO	NO	NO	NO	NO
E014	f10r	H1	H1-S002	cthy	PROC014	CTH+Y	BEREITEN · POSTEN	2	rem praeparatam tene	NO	NO	NO	NO	NO	NO	NO	NO
E015	f10r	H2	H2-S001	ycheor	PROC015	Y+CH+E+OR	POSTEN · ENTNEHMEN · KURZ · ANSATZ	4	de praeparatione currente cito sume	NO	NO	NO	NO	NO	NO	NO	NO
E016	f10r	H2	H2-S001	cthy	PROC014	CTH+Y	BEREITEN · POSTEN	2	rem para	NO	NO	NO	NO	NO	NO	NO	NO
E017	f10r	H2	H2-S001	chor	PROC016	OR	ANSATZ	1	preparatio	NO	NO	NO	NO	NO	NO	NO	NO
E018	f10r	H2	H2-S001	cthaiin	PROC017	CTH+AIIN	BEREITEN · SOLLMASS	2	ad mensuram para	YES	NO	NO	NO	NO	NO	NO	NO
