visible_surface	astro_groups	atom_sequence	spoken_value_de	registered_shell_de	apprentice_rule_de
airchy	1	AIR	Himmels-, Ring- oder Zeigerlauf	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
chda	1	CHD	Wert oder Platzbezug uebertragen	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
cheody	1	CHEO	Ablesewert fest	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
cheor	2	CHEO	Bedingungs-, Tabellen- oder Wahlansatz	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
chocfhy	2	HO	Himmelsobjekt oder Eingangsbedingung	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
choer	1	HO	Himmelsobjekt oder Eingangsbedingung	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
choly	1	HO	im selben Ring, Band oder Satz fortsetzen	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
chykchs	1	KCH	Diagrammplatz berechnen oder bearbeiten	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
cphocthy	1	CTH	Himmelsobjekt oder Eingangsbedingung	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
dchor	2	HO	Bedingungs-, Tabellen- oder Wahlansatz	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
doair	1	AIR	Himmels-, Ring- oder Zeigerlauf	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
