event_id	page	record	statement_id	locus	owner_de	card_no	component_recipe	surface	entry_frame	has_chd_joint_e	renderer_rules	surface_selection_layer	statement_events	statement_reading_de
E120	f81v	B1	B1-S002	f81v.7	gemeinsame zweireihige Figuren-/Beckenstation	PROC076	CHD+DY	schedy	s	YES	ENTRY_FRAME>CHD_JOINT	GLOBAL_CARD_FORM	19	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und die laufende Fluessigkeit zudosieren. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zudosieren, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Mass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
E131	f81v	B1	B1-S007	f81v.18	gemeinsame zweireihige Figuren-/Beckenstation	PROC082	OK+CHD+DY	qokchdy	q	NO	ENTRY_FRAME	GLOBAL_CARD_FORM	1	Am gemeinsamen zweireihigen Becken: Ansetzen und umsetzen; den Schritt schliessen.
E151	f81v	B1	B1-S015	f81v.24	gemeinsame zweireihige Figuren-/Beckenstation	PROC091	OK+CHD+DY	okchedy	BARE	YES	CHD_JOINT	GLOBAL_CARD_FORM	2	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten eintragen; dann ansetzen und umsetzen; den Schritt schliessen.
E158	f81v	B1	B1-S017	f81v.24	gemeinsame zweireihige Figuren-/Beckenstation	PROC094	CHD+DY	dchdy	d	NO	ENTRY_FRAME	GLOBAL_CARD_FORM	3	Am gemeinsamen zweireihigen Becken: Am Ziel kurz fortsetzen, umsetzen und den Schritt schliessen.
E167	f82r	B2	B2-S001	f82r.2	oberes Beckenpaar mit Zylinder	PROC076	CHD+DY	dchedy	d	YES	ENTRY_FRAME>CHD_JOINT	OWNER_CARD_DEFAULT	1	An den oberen Paarbecken mit Zylinder: Umsetzen und den Schritt schliessen.
E239	f83r	B3	B3-S005	f83r.6	mittlere Randfigur im runden Gefäß	PROC076	CHD+DY	schedy	s	YES	ENTRY_FRAME>CHD_JOINT	GLOBAL_CARD_FORM	1	Am runden Mittelgefaess: Umsetzen; den Schritt schliessen.
E264	f83r	B3	B3-S016	f83r.14	unverbundener Zwischenbereich	PROC091	OK+CHD+DY	qokchedy	q	YES	ENTRY_FRAME>CHD_JOINT	OWNER_CARD_DEFAULT	2	Am unteren Korbgefaess und im bildlich unverbundenen Zwischenabschnitt: Im Gang weiterleiten; dann ansetzen und umsetzen; den Schritt schliessen.
E281	f83r	B3	B3-S022	f83r.15	unverbundener Zwischenbereich	PROC145	OT+CHD+DY	qotchedy	q	YES	ENTRY_FRAME>CHD_JOINT	OWNER_CARD_DEFAULT	1	Im bildlich unverbundenen Zwischenabschnitt: Danach umsetzen; den Schritt schliessen.
E283	f83r	B3	B3-S024	f83r.16	unverbundener Zwischenbereich	PROC076	CHD+DY	tchedy	t	YES	ENTRY_FRAME>CHD_JOINT	OWNER_CARD_DEFAULT	1	Im bildlich unverbundenen Zwischenabschnitt: Umsetzen; den Schritt schliessen.
E284	f83r	B3	B3-S025	f83r.16	unverbundener Zwischenbereich	PROC082	OK+CHD+DY	qokchdy	q	NO	ENTRY_FRAME	GLOBAL_CARD_FORM	1	Im bildlich unverbundenen Zwischenabschnitt: Ansetzen und umsetzen; den Schritt schliessen.
E301	f83r	B3	B3-S030	f83r.22	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	PROC145	OT+CHD+DY	otchedy	BARE	YES	CHD_JOINT	GLOBAL_CARD_FORM	4	Am durch den Bogen verbundenen Hauptpaar: Den Posten nach Mass ansetzen, die laufende Fluessigkeit umsetzen; danach nochmals umsetzen und schliessen.
E362	f83r	B5	B5-S001	f83r.47	linke Fransenstation im B5-Nachtrag	PROC166	OT+CHD+DY	otchdy	BARE	NO	DIRECT	GLOBAL_CARD_FORM	1	An der linken offenen Nebenstation: Danach umsetzen und den Schritt schliessen.
E363	f83r	B5	B5-S002	f83r.47	linke Fransenstation im B5-Nachtrag	PROC082	OK+CHD+DY	qokchdy	q	NO	ENTRY_FRAME	GLOBAL_CARD_FORM	1	An der linken offenen Nebenstation: Ansetzen und umsetzen; den Schritt schliessen.
