array_index	array_id	physical_folio	page	unit	slot_count	transcribed_slots	absent_slots	unreadable_or_other_slots	neutral_unit_description	canvas_ids	formal_access_state
1	SCARR001|f67r1|D1	f67	f67r1	D1	12	12	0	0	Radial labels in circle sectors.	1006194	SEALED
2	SCARR002|f67r2|M1	f67	f67r2	M1	7	7	0	0	Circle of seven labels above some of the moons.	1006194	SEALED
3	SCARR003|f67r2|M2	f67	f67r2	M2	12	12	0	0	Circle of 12 labels under the moons.	1006194	SEALED
4	SCARR004|f67r2|M3	f67	f67r2	M3	7	7	0	0	Circle of 8 labels around central star/flower.	1006194	SEALED
5	SCARR005|f67v2|M1	f67	f67v2	M1	4	3	0	1	Labels inside the circles at the four corners.	1006195	SEALED
6	SCARR006|f67v2|E1	f67	f67v2	E1	4	4	0	0	Radial titles inside large circle, reading inwards.	1006195	SEALED
7	SCARR007|f67v1|X1	f67	f67v1	X1	12	12	0	0	Band of framed labels around the diagram.	1006195	SEALED
8	SCARR008|f68r1|S1	f68	f68r1	S1	29	29	0	0	Labels on 29 stars.	1006196	SEALED
9	SCARR009|f68r2|S1	f68	f68r2	S1	24	24	0	0	Labels on 25 stars inside diagram.	1006196	SEALED
10	SCARR010|f68r3|S1	f68	f68r3	S1	11	11	0	0	Labels on stars in sectors.	1006196	SEALED
11	SCARR011|f68v2|E1	f68	f68v2	E1	8	8	0	0	Radial titles, outwards from points of big central star.	1006197	SEALED
12	SCARR012|f68v2|S1	f68	f68v2	S1	4	4	0	0	Star labels in sectors between points of big central star.	1006197	SEALED
13	SCARR013|f69r|E1	f69	f69r	E1	22	22	0	0	"""Radial lines between """"flower stalks"""""""	1006198	SEALED
14	SCARR014|f69r|K1	f69	f69r	K1	6	6	0	0	Letter labels on central disk sectors, between star arms.	1006198	SEALED
15	SCARR015|f69v|X1	f69	f69v	X1	28	28	0	0	"""Radial labels extending outwards from """"logs"""" around star."""	1006199	SEALED
16	SCARR016|f70r1|Y1	f70	f70r1	Y1	9	9	0	0	"""Radial labels between """"mushrooms""""."""	1006199	SEALED
17	SCARR017|f70r1|X1	f70	f70r1	X1	6	6	0	0	Radial labels inside central circle, between star arms.	1006199	SEALED
18	SCARR018|f70v2|S2	f70	f70v2	S2	19	19	0	0	Labels in star/nymph band 1 (outer).	1006200;1006201	SEALED
19	SCARR019|f70v2|S1	f70	f70v2	S1	10	10	0	0	Labels in star/nymph band 2 (inner).	1006200;1006201	SEALED
20	SCARR020|f70v1|S2	f70	f70v1	S2	10	10	0	0	Labels in star/nymph band 1 (outer).	1006200;1006201	SEALED
21	SCARR021|f70v1|S1	f70	f70v1	S1	5	5	0	0	Labels in star/nymph band 2 (inner).	1006200;1006201	SEALED
22	SCARR022|f71r|S1	f71	f71r	S1	10	10	0	0	Labels in star/nymph band 1 (outer).	1006202	SEALED
23	SCARR023|f71r|S2	f71	f71r	S2	5	5	0	0	Labels in star/nymph band 2 (inner).	1006202	SEALED
24	SCARR024|f71v|S1	f71	f71v	S1	10	10	0	0	Labels in star/nymph band 1 (outer).	1006203	SEALED
25	SCARR025|f71v|S2	f71	f71v	S2	5	5	0	0	Labels in star/nymph band 2 (inner).	1006203	SEALED
26	SCARR026|f72r1|S1	f72	f72r1	S1	10	10	0	0	Labels in star/nymph band 1 (outer).	1006203	SEALED
27	SCARR027|f72r1|S2	f72	f72r1	S2	5	5	0	0	Labels on star/nymph band 2 (inner).	1006203	SEALED
28	SCARR028|f72r2|S0	f72	f72r2	S0	5	5	0	0	Labels on stars/nymphs outside diagram.	1006203	SEALED
29	SCARR029|f72r2|S1	f72	f72r2	S1	16	15	1	0	Labels in star/nymph band 1 (outermost band inside diagram).	1006203	SEALED
30	SCARR030|f72r2|S2	f72	f72r2	S2	9	9	0	0	Labels in star/nymph band 1 (inner).	1006203	SEALED
31	SCARR031|f72r3|S1	f72	f72r3	S1	12	12	0	0	Labels in star/nymph band 1 (outermost)	1006203	SEALED
32	SCARR032|f72r3|S2	f72	f72r3	S2	11	11	0	0	Labels in star/nymph band 2 (middle).	1006203	SEALED
33	SCARR033|f72r3|S3	f72	f72r3	S3	7	7	0	0	Labels in star/nymph band 4 (inner)	1006203	SEALED
34	SCARR034|f72v3|S1	f72	f72v3	S1	18	18	0	0	Labels in star/nymph band 1 (outermost)	1006204;1006205	SEALED
35	SCARR035|f72v3|S2	f72	f72v3	S2	12	12	0	0	Labels in star/nymph band 2 (inner).	1006204;1006205	SEALED
