event_id	case_id	page	record	statement_id	surface	card_no	semantic_component_parse	standard_command_de	semantic_burden_class	surface_writer_layer	compact_exception_entry	predicted_surface	exact_roundtrip
E001	C1	f10r	H1	H1-S001	dchey	PROC001	CH+E+Y	ABNEHMEN · KURZ · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	SEMANTIC_CARD_OR_DESK_RULE	NONE	dchey	YES
E002	C1	f10r	H1	H1-S001	cthoor	PROC002	CTH+O+OR	BEREIT · ARBEITSGANG · ANSATZ	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	SEMANTIC_CARD_OR_DESK_RULE	NONE	cthoor	YES
E003	C1	f10r	H1	H1-S001	char	PROC003	AR	VORRAT	FULLY_COMPOSITIONAL_CARD	TWO_STAGE_BODY_WRAPPER_RULE	NONE	char	YES
E004	C1	f10r	H1	H1-S001	chty	PROC004	T+Y	EINTRAGEN · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	TWO_STAGE_BODY_WRAPPER_RULE	NONE	chty	YES
E005	C1	f10r	H1	H1-S001	os	PROC005	OS	ARBEITSFACH	TRUE_LEARNED_WHOLE_CARD	SEMANTIC_CARD_OR_DESK_RULE	NONE	os	YES
E006	C1	f10r	H1	H1-S001	chair	PROC006	CH+AIR	ABNEHMEN · FLUESSIGKEITSLAUF	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	SEMANTIC_CARD_OR_DESK_RULE	NONE	chair	YES
E007	C1	f10r	H1	H1-S001	otytchol	PROC007	OT+Y+T+CH+OL	DANACH [ARBEITSPOSTEN EINTRAGEN · ABNEHMEN] FORTSETZEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	SEMANTIC_CARD_OR_DESK_RULE	NONE	otytchol	YES
E008	C1	f10r	H1	H1-S001	oky	PROC008	OK+Y	ANSETZEN · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	TWO_STAGE_BODY_WRAPPER_RULE	NONE	oky	YES
E009	C1	f10r	H1	H1-S001	daiin	PROC009	AIIN	SOLLMASS	FULLY_COMPOSITIONAL_CARD	TWO_STAGE_BODY_WRAPPER_RULE	NONE	daiin	YES
E010	C1	f10r	H1	H1-S001	etyd	PROC010	E+T+Y	KURZ · EINTRAGEN · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	SEMANTIC_CARD_OR_DESK_RULE	NONE	etyd	YES
E011	C1	f10r	H1	H1-S002	qokchy	PROC011	OK+Y	ANSETZEN · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	SIXTEEN_ENTRY_LOCAL_EXCEPTION_DECK	X_E011	qokchy	YES
E012	C1	f10r	H1	H1-S002	qotchol	PROC012	OT+CH+OL	DANACH · ABNEHMEN · FORTSETZEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	SEMANTIC_CARD_OR_DESK_RULE	NONE	qotchol	YES
E013	C1	f10r	H1	H1-S002	chol	PROC013	OL	FORTSETZEN	FULLY_COMPOSITIONAL_CARD	SEMANTIC_CARD_OR_DESK_RULE	NONE	chol	YES
E014	C1	f10r	H1	H1-S002	cthy	PROC014	CTH+Y	BEREIT · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	TWO_STAGE_BODY_WRAPPER_RULE	NONE	cthy	YES
E015	C2	f10r	H2	H2-S001	ycheor	PROC015	Y+CH+E+OR	ARBEITSPOSTEN · ABNEHMEN · KURZ · ANSATZ	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	SEMANTIC_CARD_OR_DESK_RULE	NONE	ycheor	YES
E016	C2	f10r	H2	H2-S001	cthy	PROC014	CTH+Y	BEREIT · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	TWO_STAGE_BODY_WRAPPER_RULE	NONE	cthy	YES
E017	C2	f10r	H2	H2-S001	chor	PROC016	OR	ANSATZ	FULLY_COMPOSITIONAL_CARD	TWO_STAGE_BODY_WRAPPER_RULE	NONE	chor	YES
E018	C2	f10r	H2	H2-S001	cthaiin	PROC017	CTH+AIIN	BEREIT · SOLLMASS	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	SEMANTIC_CARD_OR_DESK_RULE	NONE	cthaiin	YES
E019	C2	f10r	H2	H2-S001	qoctholy	PROC018	O+CTH+OL+Y	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	SEMANTIC_CARD_OR_DESK_RULE	NONE	qoctholy	YES
E020	C2	f10r	H2	H2-S001	dy	PROC019	Y	ARBEITSPOSTEN	FULLY_COMPOSITIONAL_CARD	TWO_STAGE_BODY_WRAPPER_RULE	NONE	dy	YES
E021	C2	f10r	H2	H2-S001	chy	PROC019	Y	ARBEITSPOSTEN	FULLY_COMPOSITIONAL_CARD	TWO_STAGE_BODY_WRAPPER_RULE	NONE	chy	YES
E022	C2	f10r	H2	H2-S001	taiin	PROC009	AIIN	SOLLMASS	FULLY_COMPOSITIONAL_CARD	ADDITIONAL_COMPACT_RULE	NONE	taiin	YES
E023	C2	f10r	H2	H2-S001	shy	PROC019	Y	ARBEITSPOSTEN	FULLY_COMPOSITIONAL_CARD	TWO_STAGE_BODY_WRAPPER_RULE	NONE	shy	YES
E024	C2	f10r	H2	H2-S002	qotchor	PROC020	OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	TWO_STAGE_BODY_WRAPPER_RULE	NONE	qotchor	YES
E025	C2	f10r	H2	H2-S002	chor	PROC016	OR	ANSATZ	FULLY_COMPOSITIONAL_CARD	TWO_STAGE_BODY_WRAPPER_RULE	NONE	chor	YES
E026	C2	f10r	H2	H2-S002	otol	PROC021	OT+OL	DANACH · FORTSETZEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	SEMANTIC_CARD_OR_DESK_RULE	NONE	otol	YES
E027	C2	f10r	H2	H2-S002	chol	PROC013	OL	FORTSETZEN	FULLY_COMPOSITIONAL_CARD	SEMANTIC_CARD_OR_DESK_RULE	NONE	chol	YES
E028	C2	f10r	H2	H2-S002	cholor	PROC022	OL+OR	FORTSETZEN · ANSATZ	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	TWO_STAGE_BODY_WRAPPER_RULE	NONE	cholor	YES
E029	C2	f10r	H2	H2-S002	chol	PROC013	OL	FORTSETZEN	FULLY_COMPOSITIONAL_CARD	SEMANTIC_CARD_OR_DESK_RULE	NONE	chol	YES
E030	C2	f10r	H2	H2-S002	daiin	PROC009	AIIN	SOLLMASS	FULLY_COMPOSITIONAL_CARD	TWO_STAGE_BODY_WRAPPER_RULE	NONE	daiin	YES
E031	C2	f10r	H2	H2-S002	dar	PROC003	AR	VORRAT	FULLY_COMPOSITIONAL_CARD	TWO_STAGE_BODY_WRAPPER_RULE	NONE	dar	YES
E032	C2	f10r	H2	H2-S003	oykchor	PROC023	O+Y+K+OR	ARBEITSGANG · ARBEITSPOSTEN · ZUDOSIEREN · ANSATZ	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	SEMANTIC_CARD_OR_DESK_RULE	NONE	oykchor	YES
E033	C2	f10r	H2	H2-S003	shor	PROC016	OR	ANSATZ	FULLY_COMPOSITIONAL_CARD	SIXTEEN_ENTRY_LOCAL_EXCEPTION_DECK	X_E033	shor	YES
E034	C2	f10r	H2	H2-S003	chor	PROC016	OR	ANSATZ	FULLY_COMPOSITIONAL_CARD	TWO_STAGE_BODY_WRAPPER_RULE	NONE	chor	YES
E035	C2	f10r	H2	H2-S003	chy	PROC019	Y	ARBEITSPOSTEN	FULLY_COMPOSITIONAL_CARD	TWO_STAGE_BODY_WRAPPER_RULE	NONE	chy	YES
E036	C2	f10r	H2	H2-S003	kaiiin	PROC024	K+IIN	ZUDOSIEREN · ARBEITSSTUFE	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	SEMANTIC_CARD_OR_DESK_RULE	NONE	kaiiin	YES
