gdt752_okeey_review_id	gdt752_contact_id	page	locus	okeey_ordinal	qokeey_ordinal	gdt751_card_id	gdt751_working_render_de	q_outer_tags	okeey_outer_tags	q_outer_channel	okeey_outer_channel	independent_exact_role_split_support	review_decision	current_safe_render_de	scope	literal_identity	confirmed_lexeme	component_export_credit
G752-O01	G752-Q024	f3r	f3r.14	3	4	G751-A08	heiße Zubereitung an der End-/Vollstufe	NONE	NONE	OPEN	OPEN	0	HOLD_MODEL_INTERNAL_NO_OUTER_SUPPORT	heiß an der End-/Vollstufe; Trägerrolle offen	THIS_OCCURRENCE_ONLY	OPEN	0	0
G752-O02	G752-Q025	f76r	f76r.16	5	4	G751-A09	heiße Zubereitung an der End-/Vollstufe	NONE	COLD|MIDDLE_STAGE	OPEN	DESCRIPTIVE_QUALITY	0	HOLD_MODEL_INTERNAL_NO_OUTER_SUPPORT	heiß an der End-/Vollstufe; Trägerrolle offen	THIS_OCCURRENCE_ONLY	OPEN	0	0
G752-O03	G752-Q026	f81v	f81v.11	3	2	G751-A10	heiße Zubereitung an der End-/Vollstufe	NONE	HOT|PROCESS|BEGIN_STAGE|END_STAGE	OPEN	PRESCRIPTIVE_PROCESS	0	HOLD_MODEL_INTERNAL_NO_OUTER_SUPPORT	heiß an der End-/Vollstufe; Trägerrolle offen	THIS_OCCURRENCE_ONLY	OPEN	0	0
G752-O04	G752-Q027	f99r	f99r.50	2	3	NONE	NONE	HOT|PREPARATION|LEVEL_II	HOT|PREPARATION|LEVEL_II	DESCRIPTIVE_MATERIA	DESCRIPTIVE_MATERIA	0	NO_GDT751_CARD	keine zusätzliche lokale Karte	THIS_OCCURRENCE_ONLY	OPEN	0	0
G752-O05	G752-Q028	f103r	f103r.27	2	3	G751-A01	heiße Zubereitung an der End-/Vollstufe	NONE	NONE	OPEN	OPEN	0	HOLD_MODEL_INTERNAL_NO_OUTER_SUPPORT	heiß an der End-/Vollstufe; Trägerrolle offen	THIS_OCCURRENCE_ONLY	OPEN	0	0
G752-O06	G752-Q029	f103r	f103r.50	8	7	G751-A02	heiße Zubereitung an der End-/Vollstufe	NONE	NONE	OPEN	OPEN	0	HOLD_MODEL_INTERNAL_NO_OUTER_SUPPORT	heiß an der End-/Vollstufe; Trägerrolle offen	THIS_OCCURRENCE_ONLY	OPEN	0	0
G752-O07	G752-Q030	f103v	f103v.4	4	3	G751-A03	heiße Zubereitung an der End-/Vollstufe	NONE	NONE	OPEN	OPEN	0	HOLD_MODEL_INTERNAL_NO_OUTER_SUPPORT	heiß an der End-/Vollstufe; Trägerrolle offen	THIS_OCCURRENCE_ONLY	OPEN	0	0
G752-O08	G752-Q031	f108r	f108r.27	4	5	G751-A04	heiße Zubereitung an der End-/Vollstufe	DRY|AMOUNT|MATERIAL|BEGIN_STAGE	PART	DESCRIPTIVE_MATERIA	QUANTITY_OR_PART	0	HOLD_MODEL_INTERNAL_NO_OUTER_SUPPORT	heiß an der End-/Vollstufe; Trägerrolle offen	THIS_OCCURRENCE_ONLY	OPEN	0	0
G752-O09	G752-Q032	f108r	f108r.42	1	2	G751-A05	heiße Zubereitung an der End-/Vollstufe	NONE	NONE	OPEN	OPEN	0	HOLD_MODEL_INTERNAL_NO_OUTER_SUPPORT	heiß an der End-/Vollstufe; Trägerrolle offen	THIS_OCCURRENCE_ONLY	OPEN	0	0
G752-O10	G752-Q033	f111v	f111v.9	8	9	NONE	NONE	HOT|MIDDLE_STAGE	NONE	DESCRIPTIVE_QUALITY	OPEN	0	NO_GDT751_CARD	keine zusätzliche lokale Karte	THIS_OCCURRENCE_ONLY	OPEN	0	0
G752-O11	G752-Q034	f112r	f112r.9	3	4	G751-A07	heiße Zubereitung an der End-/Vollstufe	NONE	NONE	OPEN	OPEN	0	HOLD_MODEL_INTERNAL_NO_OUTER_SUPPORT	heiß an der End-/Vollstufe; Trägerrolle offen	THIS_OCCURRENCE_ONLY	OPEN	0	0
G752-O12	G752-Q035	f112r	f112r.13	6	5	G751-A06	heiße Zubereitung an der End-/Vollstufe	NONE	COLD|PREPARATION|END_STAGE	OPEN	DESCRIPTIVE_MATERIA	0	HOLD_MODEL_INTERNAL_NO_OUTER_SUPPORT	heiß an der End-/Vollstufe; Trägerrolle offen	THIS_OCCURRENCE_ONLY	OPEN	0	0
G752-O13	G752-Q036	f116r	f116r.17	4	3	NONE	NONE	NONE	NONE	OPEN	OPEN	0	NO_GDT751_CARD	keine zusätzliche lokale Karte	THIS_OCCURRENCE_ONLY	OPEN	0	0
