gdt752_contact_id	comparison_group	pair_id	prefix_character	prefix_surface	base_surface	page	physical_folio	locus	prefix_ordinal	base_ordinal	written_order	written_line_eva	prefix_outer_side	prefix_outer_extent	prefix_outer_boundary_reason	prefix_outer_boundary_complete	prefix_outer_anchor_count	prefix_outer_anchor_surfaces	prefix_outer_anchor_tags	prefix_outer_anchor_evidence	prefix_outer_field_channel	prefix_outer_slot_class	prefix_outer_slot_label_de	prefix_outer_quality_stage_support	prefix_outer_preparation_support	prefix_outer_carrier_support	prefix_outer_unknown_count	base_outer_side	base_outer_extent	base_outer_boundary_reason	base_outer_boundary_complete	base_outer_anchor_count	base_outer_anchor_surfaces	base_outer_anchor_tags	base_outer_anchor_evidence	base_outer_field_channel	base_outer_slot_class	base_outer_slot_label_de	base_outer_quality_stage_support	base_outer_preparation_support	base_outer_carrier_support	base_outer_unknown_count	both_outer_boundaries_complete	raw_exact_role_split_support	raw_exact_role_split_reverse	raw_broad_role_split_support	raw_broad_role_split_reverse	exact_role_split_support	exact_role_split_reverse	broad_role_split_support	broad_role_split_reverse	independent_side_evidence_status	complete_field_decision	working_pair_render_de	literal_identity	confirmed_lexeme	component_export_credit
G752-C001	NONQ_PREFIX_CONTROL	G751-C002	d	daiin	aiin	f55v	f55	f55v.12	8	7	BASE_THEN_PREFIX	daiin ar cheky olkeechy sl ar aiin daiin otam	R	1	LINE_EDGE_AFTER_R1	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	L	1	STRICT_INITIAL_BEFORE_R2	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	1	0	0	0	0	0	0	0	0	NO_INDEPENDENT_SIDE_SIGNAL	NO_INDEPENDENT_SIDE_SIGNAL	daiin: äußeres Feld OPEN; aiin: äußeres Feld OPEN	OPEN	0	0
G752-C002	NONQ_PREFIX_CONTROL	G751-C008	d	dar	ar	f39r	f39	f39r.7	7	8	PREFIX_THEN_BASE	dchdar chedy cholal qokedar chdy chckhdy dar ar al ydy eee s aiiin	L	5	RADIUS5_CENSORED	0	1	qokedar	HOT|PART|PROCESS|MIDDLE_STAGE	L3 qokedar=erhitze bis zur Mittelstufe und miss die erste Fraktion ab [HOT|PART|PROCESS|MIDDLE_STAGE;W3_SOLID_WORKING_THEORY]	PRESCRIPTIVE_RECIPE	INGREDIENT_OR_COMMAND_CONTENT	Zutat-/Anweisungsinhalt offen	1	0	1	1	R	5	RADIUS5_CENSORED	0	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	1	0	0	0	0	0	0	0	0	0	PARTIAL_HYPOTHESIS_SIDE	CENSORED__PARTIAL_HYPOTHESIS_SIDE	dar: äußeres Feld PRESCRIPTIVE_RECIPE; ar: äußeres Feld OPEN	OPEN	0	0
G752-C003	NONQ_PREFIX_CONTROL	G751-C008	d	dar	ar	f39v	f39	f39v.10	1	2	PREFIX_THEN_BASE	dar ar ykar or yky chdy fchor qokain ar sheedy olchef	L	0	LINE_EDGE_AFTER_R0	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	R	5	RADIUS5_CENSORED	0	1	ykar	HOT|PART|MATERIAL	R1 ykar=nimm hiervon die erste erhitzte Drogenfraktion [HOT|PART|MATERIAL;W3_SOLID_WORKING_THEORY]	DESCRIPTIVE_MATERIA	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	1	0	1	1	0	0	0	0	0	0	0	0	0	PARTIAL_REVERSE_SIDE	CENSORED__PARTIAL_REVERSE_SIDE	dar: äußeres Feld OPEN; ar: äußeres Feld DESCRIPTIVE_MATERIA	OPEN	0	0
G752-C004	NONQ_PREFIX_CONTROL	G751-C008	d	dar	ar	f78r	f78	f78r.18	5	6	PREFIX_THEN_BASE	o l chedy qokain dar ar okain	L	4	LINE_EDGE_AFTER_R4	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	R	1	LINE_EDGE_AFTER_R1	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	1	0	0	0	0	0	0	0	0	NO_INDEPENDENT_SIDE_SIGNAL	NO_INDEPENDENT_SIDE_SIGNAL	dar: äußeres Feld OPEN; ar: äußeres Feld OPEN	OPEN	0	0
G752-C005	NONQ_PREFIX_CONTROL	G751-C008	d	dar	ar	f105v	f105	f105v.6	7	8	PREFIX_THEN_BASE	dcheo fcheeody ckheey dar aiin al dar ar daiiidy otedy oteody ykaiin g	L	2	PAIR_SURFACE_BEFORE_R3	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	R	5	RADIUS5_CENSORED	0	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	1	0	0	0	0	0	0	0	0	0	NO_INDEPENDENT_SIDE_SIGNAL	CENSORED__NO_INDEPENDENT_SIDE_SIGNAL	dar: äußeres Feld OPEN; ar: äußeres Feld OPEN	OPEN	0	0
G752-C006	NONQ_PREFIX_CONTROL	G751-C008	d	dar	ar	f115r	f115	f115r.8	10	11	PREFIX_THEN_BASE	kcheor cheol orair ot chedar lor aiin qokain qoteeol dar ar al opchedy darom	L	3	STRICT_INITIAL_BEFORE_R4	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	1	R	3	LINE_EDGE_AFTER_R3	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	1	1	0	0	0	0	0	0	0	0	NO_INDEPENDENT_SIDE_SIGNAL	NO_INDEPENDENT_SIDE_SIGNAL	dar: äußeres Feld OPEN; ar: äußeres Feld OPEN	OPEN	0	0
G752-C007	NONQ_PREFIX_CONTROL	G751-C014	d	dchol	chol	f5v	f5	f5v.2	1	2	PREFIX_THEN_BASE	dchol chol otaiin dain cthor chots ychopordg	L	0	LINE_EDGE_AFTER_R0	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	R	5	RADIUS5_CENSORED	0	1	cthor	AMOUNT|MATERIAL	R3 cthor=eine Portion Pflanzendroge [AMOUNT|MATERIAL;W3_SOLID_WORKING_THEORY]	QUANTITY_OR_PART	QUANTITY_REFERENT_OR_PART_NAME	Mengenbezug-/Teilname offen	0	0	1	2	0	0	0	0	0	0	0	0	0	NO_INDEPENDENT_SIDE_SIGNAL	CENSORED__NO_INDEPENDENT_SIDE_SIGNAL	dchol: äußeres Feld OPEN; chol: äußeres Feld QUANTITY_OR_PART	OPEN	0	0
G752-C008	NONQ_PREFIX_CONTROL	G751-C014	d	dchol	chol	f13r	f13	f13r.2	1	2	PREFIX_THEN_BASE	dchol chol dol shkchy ydal shy ykchy qoty daiin s y	L	0	LINE_EDGE_AFTER_R0	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	R	5	RADIUS5_CENSORED	0	1	ykchy	HOT|DRY|BEGIN_STAGE	R5 ykchy=Eintrag: heiß-trocken am Gradanfang [HOT|DRY|BEGIN_STAGE;W3_SOLID_WORKING_THEORY]	DESCRIPTIVE_QUALITY	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	1	0	0	2	0	0	0	0	0	0	0	0	0	PARTIAL_REVERSE_SIDE	CENSORED__PARTIAL_REVERSE_SIDE	dchol: äußeres Feld OPEN; chol: äußeres Feld DESCRIPTIVE_QUALITY	OPEN	0	0
G752-C009	NONQ_PREFIX_CONTROL	G751-C016	d	dchy	chy	f27r	f27	f27r.4	5	4	BASE_THEN_PREFIX	qokey chor char chy dchy keey chos cthody	R	3	CURRENT_CLOSE_INCLUDED_R3	1	1	cthody	MATERIAL|PREPARATION|CLOSE|END_STAGE	R3 cthody=fertiger Krautansatz [MATERIAL|PREPARATION|CLOSE|END_STAGE;W3_SOLID_WORKING_THEORY]	MATERIA_OR_INGREDIENT	LEMMA_OR_INGREDIENT	Lemma-/Zutatinhalt offen	1	1	1	0	L	3	LINE_EDGE_AFTER_R3	1	1	qokey	HOT|MIDDLE_STAGE	L3 qokey=heiß in der Mitte des Grades [HOT|MIDDLE_STAGE;W3_SOLID_WORKING_THEORY]	DESCRIPTIVE_QUALITY	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	1	0	0	0	1	0	1	0	1	0	1	0	1	REVERSE_PREFIX_PREPARATION_BASE_QUALITY	REVERSE_PREFIX_PREPARATION_BASE_QUALITY	dchy: äußeres Feld MATERIA_OR_INGREDIENT; chy: äußeres Feld DESCRIPTIVE_QUALITY	OPEN	0	0
G752-C010	NONQ_PREFIX_CONTROL	G751-C016	d	dchy	chy	f36r	f36	f36r.4	6	5	BASE_THEN_PREFIX	podaiir cphy qoypchol som chy dchy fchom dar	R	2	LINE_EDGE_AFTER_R2	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	1	L	0	STRICT_INITIAL_BEFORE_R1	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	1	0	0	0	0	0	0	0	0	NO_INDEPENDENT_SIDE_SIGNAL	NO_INDEPENDENT_SIDE_SIGNAL	dchy: äußeres Feld OPEN; chy: äußeres Feld OPEN	OPEN	0	0
