pair_id	q_surface	base_surface	contacts	pages	written_q_then_base	written_base_then_q	raw_exact_support	raw_exact_reverse	exact_support	exact_reverse	broad_support	broad_reverse	independent_side_result	literal_identity	confirmed_lexeme	component_export_credit
G751-Q010	qokaiin	okaiin	3	3	1	2	0	0	0	0	0	0	NO_EXACT_SPLIT	OPEN	0	0
G751-Q011	qokain	okain	5	4	3	2	0	0	0	0	0	0	NO_EXACT_SPLIT	OPEN	0	0
G751-Q013	qokaly	okaly	1	1	1	0	0	0	0	0	0	0	NO_EXACT_SPLIT	OPEN	0	0
G751-Q015	qokar	okar	5	4	5	0	0	0	0	0	0	0	NO_EXACT_SPLIT	OPEN	0	0
G751-Q017	qokchey	okchey	1	1	0	1	0	0	0	0	0	0	NO_EXACT_SPLIT	OPEN	0	0
G751-Q021	qokedy	okedy	4	4	2	2	0	0	0	0	0	0	NO_EXACT_SPLIT	OPEN	0	0
G751-Q022	qokeedy	okeedy	4	4	1	3	0	0	0	0	0	0	NO_EXACT_SPLIT	OPEN	0	0
G751-Q024	qokeey	okeey	13	10	6	7	0	0	0	0	1	1	NO_EXACT_SPLIT	OPEN	0	0
G751-Q025	qokeol	okeol	2	1	1	1	1	0	0	0	0	0	NO_EXACT_SPLIT	OPEN	0	0
G751-Q026	qokey	okey	2	2	1	1	0	0	0	0	0	0	NO_EXACT_SPLIT	OPEN	0	0
G751-Q043	qotedy	otedy	2	2	1	1	0	0	0	0	0	0	NO_EXACT_SPLIT	OPEN	0	0
G751-Q044	qoteey	oteey	2	2	2	0	0	0	0	0	0	0	NO_EXACT_SPLIT	OPEN	0	0
