verb	model	world	target	form	object	status	exact_effect_witnesses	prior_hot_actions	before	row_status
X	E	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
G	E	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
X	P	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
G	P	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
X	R	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
G	R	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.17:6	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
X	E	E|ZL3b|J|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	ASSUMED_EFFECT_APPLIED	0	1	"{""PHYSICAL:thermal"":""hot""}"	recorded
G	E	E|ZL3b|J|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	ASSUMED_EFFECT_APPLIED	0	1	"{""PHYSICAL:thermal"":""hot""}"	recorded
X	P	E|ZL3b|J|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	ASSUMED_EFFECT_APPLIED	0	1	"{""PHYSICAL:thermal"":""hot""}"	recorded
G	P	E|ZL3b|J|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	ASSUMED_EFFECT_APPLIED	0	1	"{""PHYSICAL:thermal"":""hot""}"	recorded
X	R	E|ZL3b|J|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	ASSUMED_EFFECT_APPLIED	0	1	"{""PHYSICAL:thermal"":""hot""}"	recorded
G	R	E|ZL3b|J|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	ASSUMED_EFFECT_APPLIED	0	1	"{""PHYSICAL:thermal"":""hot""}"	recorded
X	E	E|ZL3b|M|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	ASSUMED_EFFECT_APPLIED	0	1	"{""PHYSICAL:thermal"":""hot""}"	recorded
G	E	E|ZL3b|M|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	ASSUMED_EFFECT_APPLIED	0	1	"{""PHYSICAL:thermal"":""hot""}"	recorded
X	P	E|ZL3b|M|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	ASSUMED_EFFECT_APPLIED	0	1	"{""PHYSICAL:thermal"":""hot""}"	recorded
G	P	E|ZL3b|M|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	ASSUMED_EFFECT_APPLIED	0	1	"{""PHYSICAL:thermal"":""hot""}"	recorded
X	R	E|ZL3b|M|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	ASSUMED_EFFECT_APPLIED	0	1	"{""PHYSICAL:thermal"":""hot""}"	recorded
G	R	E|ZL3b|M|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.7:4	ASSUMED_EFFECT_APPLIED	0	1	"{""PHYSICAL:thermal"":""hot""}"	recorded
X	E	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
X	E	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ASSUMED_EFFECT_APPLIED	0	0	"{""CONSTITUTION:thermal"":""cold""}"	recorded
