verb	model	world	events	conflicts	unequal	incomplete_actions	missing_material_references	exact_repeat_targets	row_status
X	E	E|ZL3b|B|f6v|f6v.6-f6v.21	45	0	0	0	0	0	recorded
G	E	E|ZL3b|B|f6v|f6v.6-f6v.21	45	0	0	0	0	0	recorded
X	P	E|ZL3b|B|f6v|f6v.6-f6v.21	45	0	0	0	0	0	recorded
G	P	E|ZL3b|B|f6v|f6v.6-f6v.21	45	0	0	0	0	0	recorded
X	R	E|ZL3b|B|f6v|f6v.6-f6v.21	45	0	0	0	0	0	recorded
G	R	E|ZL3b|B|f6v|f6v.6-f6v.21	45	0	0	0	0	0	recorded
X	E	E|ZL3b|J|f6v|f6v.6-f6v.21	45	0	0	0	0	0	recorded
G	E	E|ZL3b|J|f6v|f6v.6-f6v.21	45	0	0	0	0	0	recorded
X	P	E|ZL3b|J|f6v|f6v.6-f6v.21	45	0	0	0	0	0	recorded
G	P	E|ZL3b|J|f6v|f6v.6-f6v.21	45	0	0	0	0	0	recorded
X	R	E|ZL3b|J|f6v|f6v.6-f6v.21	45	0	0	0	0	0	recorded
G	R	E|ZL3b|J|f6v|f6v.6-f6v.21	45	0	0	0	0	0	recorded
X	E	E|ZL3b|M|f6v|f6v.6-f6v.21	45	0	0	0	0	0	recorded
G	E	E|ZL3b|M|f6v|f6v.6-f6v.21	45	0	0	0	0	0	recorded
X	P	E|ZL3b|M|f6v|f6v.6-f6v.21	45	0	0	0	0	0	recorded
G	P	E|ZL3b|M|f6v|f6v.6-f6v.21	45	0	0	0	0	0	recorded
X	R	E|ZL3b|M|f6v|f6v.6-f6v.21	45	0	0	0	0	0	recorded
G	R	E|ZL3b|M|f6v|f6v.6-f6v.21	45	0	0	0	0	0	recorded
X	E	E|ZL3b|B|f9v|f9v.5-f9v.12	23	0	0	2	0	0	recorded
G	E	E|ZL3b|B|f9v|f9v.5-f9v.12	23	0	0	2	0	0	recorded
X	P	E|ZL3b|B|f9v|f9v.5-f9v.12	23	0	0	2	0	0	recorded
G	P	E|ZL3b|B|f9v|f9v.5-f9v.12	23	0	0	2	0	0	recorded
X	R	E|ZL3b|B|f9v|f9v.5-f9v.12	23	0	0	2	0	0	recorded
