surface	prior_order	role_id	historical_expression	working_candidate_de	source_ids	candidate_evidence	counterevidence
pchor	1	RECIPE_OPENING	Recipe / Accipe / Take	nimm	HF001|HF002	6/7 initial occurrences open a paragraph and 3/7 carry the full recipe-body triad; top triad-rate initial whole.	Paragraph opening can also be an indication or entry heading; three global occurrences are not line-initial.
pchor	2	INDICATION_OPENING	For / Ad / Contra	für / gegen	HF004	Strong paragraph-opening geometry and four Herbal initial occurrences.	Cross-section distribution and high triad rate are less specific to an ailment heading.
pchor	3	ENTRY_HEADING	Preparatio	Zubereitung / Rezept	HF005	Paragraph opening permits a recipe or preparation rubric.	Bodies are varied and do not identify a preparation noun.
ychor	1	ITEM_CONTINUATION	Item	ferner / ebenso	HF002|HF003	13/13 exact occurrences are line-initial, 0/13 paragraph-initial, with 4/13 full recipe triads.	Three paragraph-final cases and mixed descriptive bodies leave a process or Item-take rival.
ychor	2	ITEM_PLUS_COMMAND	Item take	ferner: nimm	HF002|HF003	Period sources directly attest Item plus take and the body often has recipe slots.	Two spoken functions in one target whole are less economical.
ychor	3	RECIPE_OPENING	Recipe / Accipe	nimm	HF001|HF002	Recipe command was the preceding lead and remains practical in prescriptive lines.	Zero of thirteen occurrences opens a coded paragraph.
polaiin	1	ENTRY_HEADING	Preparatio / recipe heading	Zubereitung / Rezept	HF005	7/7 initial occurrences open a paragraph; five are in section S and the bodies mix content, process and quality.	Could instead be a section-specific indication or command; no noun is identified.
polaiin	2	RECIPE_OPENING	Recipe / Accipe	nimm	HF001|HF002	All initial uses open paragraphs and 2/7 have full recipe triads.	No Herbal initial use and strong section-S concentration weaken a universal take command.
polaiin	3	INDICATION_OPENING	For / Ad / Contra	für / gegen	HF004	Absolute paragraph-opening purity fits a topic or purpose header.	Zero Herbal initial uses and no disease slot independently identifies an indication.
pol	1	ENTRY_HEADING	Preparatio / entry	Zubereitung / Eintrag	HF005	7/11 initial occurrences open paragraphs, with six Biology and three Stars lines and 9/11 quality bodies.	Four internal lines and two paragraph-final lines show that the role is not a pure heading.
pol	2	INDICATION_OPENING	For / Ad / Contra	für / gegen	HF004	Paragraph-opening majority permits a purpose or topical header.	Only one initial occurrence is Herbal; no independent disease slot.
pol	3	RECIPE_OPENING	Recipe / Accipe	nimm	HF001|HF002	Three recipe-triad bodies and four process-bearing bodies keep a command live.	Only 7/11 initial uses open paragraphs and the quality-heavy bodies can be descriptive.
ycheol	1	PROCESS_CONTINUATION	deinde	danach	HF006	8/8 occurrences are line-initial, 0/8 paragraph-initial and only 2/8 paragraph-final; bodies often carry quality.	Only 2/8 bodies have an independent process slot; Item remains possible.
ycheol	2	ITEM_CONTINUATION	Item	ferner	HF002|HF003	Perfect line-initial purity and universal paragraph-internal placement fit an additional item.	Two paragraph-final uses and low recipe-triad count weaken a pure Item marker.
ycheol	3	CLOSURE_FORMULA	custodiatur / preservari	zum Schluss	HF007	Two of eight initial uses end a paragraph.	Six of eight do not end a paragraph.
ychol	1	PROCESS_CONTINUATION	deinde	danach / als Nächstes	HF006	8/8 initial uses are internal, 3/8 paragraph-final, and quality/content dominate the following body.	Only 2/8 bodies have a process axis and Item is nearly as plausible.
ychol	2	ITEM_CONTINUATION	Item	ferner	HF002|HF003	Internal line opening and 2/8 recipe triads fit another item.	Three paragraph-final lines suggest a later-stage or closing function.
ychol	3	CLOSURE_FORMULA	custodiatur / preservari	zum Schluss	HF007	Three of eight initial uses close their paragraph.	Five of eight continue beyond the line.
dcheol	1	PROCESS_CONTINUATION	deinde	danach / darauf	HF006	5/5 initial uses are paragraph-internal, only one is final, and all five carry quality/state bodies.	Only one body has an independent process slot.
dcheol	2	ITEM_CONTINUATION	Item	ferner	HF002|HF003	Universal internal-line placement permits another listed item.	The form has only five initial observations and just one triad.
dcheol	3	CLOSURE_FORMULA	custodiatur / preservari	bewahre anschließend auf	HF007	One paragraph-final occurrence and quality-heavy bodies permit a keeping instruction.	Four of five lines are not paragraph-final; no close axis identifies preservation.
paiin	1	QUANTITY_HEADING	ii partes / drachma i	drei Teile / dritte Menge	HF008	The exact whole is highly line-edge biased and its initial bodies are quality-heavy with a weak amount/triad trace.	Only 1/5 initial bodies has an independent amount axis; the value three is a replaceable whole-form guess.
paiin	2	ITEM_CONTINUATION	Item	ferner	HF002|HF003	Three of five initial uses are paragraph-internal and one has a full recipe triad.	Two occurrences open paragraphs and no unique continuation signature exists.
paiin	3	RECIPE_OPENING	Recipe / Accipe	nimm	HF001|HF002	Two paragraph openings and one recipe triad permit a compact command.	The majority of initial uses are internal and process evidence is sparse.
qokchor	1	ADDITION_COMMAND	misce	mische hinein	HF008	5/5 initial uses are internal Herbal lines and all five bodies contain content while four contain quality.	Only one body has an independent process axis; Item or take remains possible.
qokchor	2	ITEM_CONTINUATION	Item	ferner	HF002|HF003	Internal left edge plus ingredient-like bodies fit an additional item.	Initial purity is only 5/7 and the all-Herbal concentration may mark content rather than formula.
