visible_surface	final_y_class	portable_y_licensed	component_parse	short_workshop_value_de	group_count	pages	loci
ykshy	OPERATION_Y	YES	OPERATION_CORE+Y	Operation am aktuell gemeinten Posten	1	f67r2	f67r2.1
eesydy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f67r2	f67r2.2
ey	E_GRADE_Y	CANDIDATE	E_GRADE_KURZ+Y	aktuellen Posten auf kurzer Stufe halten	1	f67r2	f67r2.3
shekchy	OPERATION_Y	YES	OPERATION_CORE+Y	Operation am aktuell gemeinten Posten	1	f67r2	f67r2.4
ykeody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	2	f67r2|f69v	f67r2.5|f69v.22
dchetay	LOCAL_WHOLE_Y	NO	LEARNED_LOCAL_WHOLE_SIGN	gelernter lokaler Wert der sichtbaren Diagrammstelle	1	f67r2	f67r2.6
ykchy	OPERATION_Y	YES	OPERATION_CORE+Y	Operation am aktuell gemeinten Posten	1	f67r2	f67r2.7
ykaly	RELATION_Y	YES	RELATION_OR_ACTION+Y	Relation oder Handlung am aktuell gemeinten Posten	1	f67r2	f67r2.9
lkshy	OPERATION_Y	YES	OPERATION_CORE+Y	Operation am aktuell gemeinten Posten	1	f67r2	f67r2.10
chky	LOCAL_WHOLE_Y	NO	LEARNED_LOCAL_WHOLE_SIGN	gelernter lokaler Wert der sichtbaren Diagrammstelle	1	f67r2	f67r2.11
aldy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f67r2	f67r2.13
soeey	E_GRADE_Y	CANDIDATE	E_GRADE_LANG+Y	aktuellen Posten auf langer Stufe halten	1	f67r2	f67r2.14
dolchsody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f67r2	f67r2.15
qopchy	OPERATION_Y	YES	OPERATION_CORE+Y	Operation am aktuell gemeinten Posten	1	f67r2	f67r2.18
amy	EXPLICIT_CURRENT_Y	YES	LOCAL_CORE+Y	dieser aktuell gemeinte Diagrammposten	1	f67r2	f67r2.19
chocfhy	LOCAL_WHOLE_Y	NO	LEARNED_LOCAL_WHOLE_SIGN	gelernter lokaler Wert der sichtbaren Diagrammstelle	2	f67r2|f68r1	f67r2.20|f68r1.12
oparchy	OPERATION_Y	YES	OPERATION_CORE+Y	Operation am aktuell gemeinten Posten	1	f67r2	f67r2.23
ytody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	2	f67r2|f69v	f67r2.29|f69v.10
opcholdy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f67r2	f67r2.31
ytoeopchey	E_GRADE_Y	CANDIDATE	E_GRADE_KURZ+Y	aktuellen Posten auf kurzer Stufe halten	1	f67r2	f67r2.41
chekody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f67r2	f67r2.41
ockhy	RELATION_Y	YES	RELATION_OR_ACTION+Y	Relation oder Handlung am aktuell gemeinten Posten	3	f67r2|f68r1|f69v	f67r2.42|f68r1.21|f69v.2
ofydy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f67r2	f67r2.44
sheody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f67r2	f67r2.44
ycheody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f67r2	f67r2.45
oraly	RELATION_Y	YES	RELATION_OR_ACTION+Y	Relation oder Handlung am aktuell gemeinten Posten	1	f67r2	f67r2.46
ytchodly	LOCAL_WHOLE_Y	NO	LEARNED_LOCAL_WHOLE_SIGN	gelernter lokaler Wert der sichtbaren Diagrammstelle	1	f67r2	f67r2.59
cpheey	E_GRADE_Y	CANDIDATE	E_GRADE_LANG+Y	aktuellen Posten auf langer Stufe halten	1	f67r2	f67r2.66
ay	EXPLICIT_CURRENT_Y	YES	LOCAL_CORE+Y	dieser aktuell gemeinte Diagrammposten	2	f67r2	f67r2.69|f67r2.74
qkoy	LOCAL_WHOLE_Y	NO	LEARNED_LOCAL_WHOLE_SIGN	gelernter lokaler Wert der sichtbaren Diagrammstelle	1	f67r2	f67r2.72
ydoly	RELATION_Y	YES	RELATION_OR_ACTION+Y	Relation oder Handlung am aktuell gemeinten Posten	1	f67r2	f67r2.72
oly	RELATION_Y	YES	RELATION_OR_ACTION+Y	Relation oder Handlung am aktuell gemeinten Posten	1	f67r2	f67r2.72
sshey	E_GRADE_Y	CANDIDATE	E_GRADE_KURZ+Y	aktuellen Posten auf kurzer Stufe halten	1	f67r2	f67r2.73
qeykeey	E_GRADE_Y	CANDIDATE	E_GRADE_LANG+Y	aktuellen Posten auf langer Stufe halten	1	f67r2	f67r2.73
ykchey	E_GRADE_Y	CANDIDATE	E_GRADE_KURZ+Y	aktuellen Posten auf kurzer Stufe halten	2	f67r2	f67r2.73|f67r2.73
qokeochy	OPERATION_Y	YES	OPERATION_CORE+Y	Operation am aktuell gemeinten Posten	1	f67r2	f67r2.73
yshey	E_GRADE_Y	CANDIDATE	E_GRADE_KURZ+Y	aktuellen Posten auf kurzer Stufe halten	1	f67r2	f67r2.74
