group_serial	page	locus	visible_owner	namespace_id	visible_surface	final_y_class	portable_y_licensed	component_parse	short_workshop_value_de	existing_diagram_reading_de
1	f67r2	f67r2.1	A1_RIGHT_SECTOR_SLOT_01	F67_RIGHT_WHEEL_NS	ykshy	OPERATION_Y	YES	OPERATION_CORE+Y	Operation am aktuell gemeinten Posten	Sektorplatz A1_RIGHT_SECTOR_SLOT_01: Position oder Bedingung halten; lokaler Namensrest yk/y.
6	f67r2	f67r2.2	A1_RIGHT_SECTOR_SLOT_02	F67_RIGHT_WHEEL_NS	eesydy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: lange oder volle Diagrammstufe; lokaler Namensrest sydy.
7	f67r2	f67r2.3	A1_RIGHT_SECTOR_SLOT_03	F67_RIGHT_WHEEL_NS	ey	E_GRADE_Y	CANDIDATE	E_GRADE_KURZ+Y	aktuellen Posten auf kurzer Stufe halten	A1_RIGHT_SECTOR_SLOT_03: aktueller Auswahlwert.
10	f67r2	f67r2.4	A1_RIGHT_SECTOR_SLOT_04	F67_RIGHT_WHEEL_NS	shekchy	OPERATION_Y	YES	OPERATION_CORE+Y	Operation am aktuell gemeinten Posten	Sektorplatz A1_RIGHT_SECTOR_SLOT_04: Position oder Bedingung halten + Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest e/y.
12	f67r2	f67r2.5	A1_RIGHT_SECTOR_SLOT_05	F67_RIGHT_WHEEL_NS	ykeody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	A1_RIGHT_SECTOR_SLOT_05: Klassenplatz fest eingetragen.
14	f67r2	f67r2.6	A1_RIGHT_SECTOR_SLOT_06	F67_RIGHT_WHEEL_NS	dchetay	LOCAL_WHOLE_Y	NO	LEARNED_LOCAL_WHOLE_SIGN	gelernter lokaler Wert der sichtbaren Diagrammstelle	A1_RIGHT_SECTOR_SLOT_06: fester Hauptphasenwert.
15	f67r2	f67r2.7	A1_RIGHT_SECTOR_SLOT_07	F67_RIGHT_WHEEL_NS	ykchy	OPERATION_Y	YES	OPERATION_CORE+Y	Operation am aktuell gemeinten Posten	Sektorplatz A1_RIGHT_SECTOR_SLOT_07: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest y/y.
20	f67r2	f67r2.9	A1_RIGHT_SECTOR_SLOT_09	F67_RIGHT_WHEEL_NS	ykaly	RELATION_Y	YES	RELATION_OR_ACTION+Y	Relation oder Handlung am aktuell gemeinten Posten	Sektorplatz A1_RIGHT_SECTOR_SLOT_09: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest yk/y.
21	f67r2	f67r2.10	A1_RIGHT_SECTOR_SLOT_10	F67_RIGHT_WHEEL_NS	lkshy	OPERATION_Y	YES	OPERATION_CORE+Y	Operation am aktuell gemeinten Posten	Sektorplatz A1_RIGHT_SECTOR_SLOT_10: Position oder Bedingung halten; lokaler Namensrest lk/y.
24	f67r2	f67r2.11	A1_RIGHT_SECTOR_SLOT_11	F67_RIGHT_WHEEL_NS	chky	LOCAL_WHOLE_Y	NO	LEARNED_LOCAL_WHOLE_SIGN	gelernter lokaler Wert der sichtbaren Diagrammstelle	Sektorplatz A1_RIGHT_SECTOR_SLOT_11: Grad oder Diagrammzustand justieren; lokaler Namensrest y.
32	f67r2	f67r2.13	A1_RIGHT_RING_BAND_01	F67_RIGHT_WHEEL_NS	aldy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	Ring- oder Bandstelle A1_RIGHT_RING_BAND_01: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest dy.
33	f67r2	f67r2.14	A1_RIGHT_RING_BAND_02	F67_RIGHT_WHEEL_NS	soeey	E_GRADE_Y	CANDIDATE	E_GRADE_LANG+Y	aktuellen Posten auf langer Stufe halten	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: lange oder volle Diagrammstufe; lokaler Namensrest so/y.
