statement_id	record_unit_id	visible_owner	field_ids	frame_modes	visible_sequence	normalized_sequence	literal_card_reading	source_token_correction	previous_fluent_expansion	revised_fluent_translation_de	revision_reason
H4-S001	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	F010	MIXED	qokaiin chaiin ykain ykan ody	okaiin aiin ykain ykan ody	bemessen | Sollmaß | erste Portion | zweite Portion | Abkühlen	NONE	Bemiss den warm bereiteten Pflanzen-Grundansatz.	Den Ansatz bemessen, auf Sollmaß in eine erste und zweite Portion teilen und abkühlen lassen.	PORTION_AND_STORAGE
H4-S002	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	F011	MIXED	daiin chedy talam	aiin chdy talam	Sollmaß | überführen | Verwahrort	NONE	Pruefe die verwahrte Menge nochmals gegen das Sollmass.	Die Sollmenge überführen und am Verwahrort ablegen.	PORTION_AND_STORAGE
H4-S003	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	F012	LOW_DATA	ykaiin cheoar cheeky oldy	ykaiin cheoar cheeky oldy	Sollportion | Quellauszug | länger bearbeiten | fertig	NONE	Nimm spaeter die vorgeschriebene Vorratsportion.	Eine Sollportion aus dem Quellauszug nehmen, länger bearbeiten und fertigstellen.	PORTION_AND_STORAGE
H4-S004	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	F013	X	aiin okal oltchy or y orain	aiin okal oltchy chor chey orain	Sollmaß | dorthin einsetzen | Folgebereitung | Ansatz | dies | Bereitungsanteil	NONE	Bemiss die Dosis fuer den Folgeansatz.	Das Sollmaß am Ziel einsetzen und aus diesem Ansatz mit dem Bereitungsanteil die Folgezubereitung bilden.	PORTION_AND_STORAGE
H5-S001	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	F014|F015	MIXED|MIXED	chochor cho chodaly daiin sho kchol otchor choky dal	chochor cho chodaly aiin cho kchol otchor choky al	Zugabeansatz | weitere Zutat | Zielzugabe | Sollmaß | weitere Zutat | Weiterverarbeitung | Folgeansatz | einsetzen | dorthin	NONE	Setze den Wirkzusatz an, gib die bestimmte Pflanzensubstanz bis zum Sollmass in die Zielzubereitung und bringe den Folgeansatz an die bezeichnete Stelle.	Einen Zugabeansatz herstellen, die weitere Zutat als Zielzugabe auf Sollmaß bringen, den Folgeansatz einsetzen und dorthin führen.	ADDITIVE_TARGET_APPLICATION
H5-S002	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	F016	MIXED	schol choy choky cheeckhody	dchol choy choky cheeckhody	vom vorigen | Zugabeposten | einsetzen | Langpassage; Schluss	NONE	Nimm vom vorigen Ansatz einen Anwendungsposten, setze ihn ein und lasse ihn laenger an der Zielstelle einwirken.	Vom vorigen Ansatz den Zugabeposten nehmen, einsetzen und länger an der Zielstelle führen; Schluss.	ADDITIVE_TARGET_APPLICATION
H5-S003	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	F017	LOW_DATA	sh cho kchey qokokchy	sh cho kchey qokokchy	Halten | weitere Zutat | Kurzbearbeitung | erneut einsetzen	NONE	Halte die Stelle, gib weiteren Wirkzusatz bei, bearbeite kurz und setze die Anwendung erneut an.	Den Posten halten, eine weitere Zutat zugeben, kurz bearbeiten und erneut einsetzen.	ADDITIVE_TARGET_APPLICATION
H5-S004	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	F018	LOW_DATA	okchy chokcheo kchal	chokchy chokcheo kchal	weiterbearbeiten | Auszug einsetzen | Zielbearbeitung	NONE	Bearbeite die Anwendung weiter, setze den Auszug ein und verteile ihn an der Zielstelle.	Weiterbearbeiten, den Auszug einsetzen und an der Zielstelle verteilen.	ADDITIVE_TARGET_APPLICATION
H5-S005	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	F019	MIXED	sho chokchy kchoar sotodan	cho chokchy kchoar sotodan	weitere Zutat | weiterbearbeiten | Quellauszug | Folgeanwendung	NONE	Gib nochmals Wirkzusatz aus dem Quellauszug bei und fuehre die Folgeanwendung aus.	Eine weitere Zutat mit dem Quellauszug bearbeiten und die Folgeanwendung ausführen.	ADDITIVE_TARGET_APPLICATION
H5-S006	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	F020	LOW_DATA	otchey keol daiin	otchey keol aiin	das nächste | Kurzfortsetzung | Sollmaß	NONE	Wechsle zur naechsten Zielstelle, fuehre den kurzen Arbeitsgang fort und bemiss die neue Portion.	Zum nächsten Posten wechseln, kurz fortfahren und auf Sollmaß bringen.	ADDITIVE_TARGET_APPLICATION
B2-S001	B2	obere Paarbecken-/Zylinderstation	F045	LOW_DATA	dchedy	dchedy	überführen; Schluss	NONE	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Besitzer »obere Paarbecken-/Zylinderstation«: überführen; Schluss.	In die obere Paarbeckenstation überführen; Schluss.	VISIBLE_STATION_CELL_NORMALIZED
B2-S002	B2	obere Paarbecken-/Zylinderstation	F046	LOW_DATA	qolchedy	olchedy	weiterführen; Schluss	NONE	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: weiterführen; Schluss.	Durch die obere Station weiterführen; Schluss.	VISIBLE_STATION_CELL_NORMALIZED
B2-S003	B2	obere Paarbecken-/Zylinderstation	F047	MIXED	qokain dy qokeedy	okain chey qokeedy	Anteil zugeben | dies | lange einwirken; Schluss	NONE	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Anteil zugeben — dies — lange einwirken; Schluss.	Einen Anteil zugeben, diesen Posten länger einwirken lassen; Schluss.	VISIBLE_STATION_CELL_NORMALIZED
B2-S004	B2	obere Paarbecken-/Zylinderstation	F048|F049	LOW_DATA|LOW_DATA	qokal lcheckhy lched qokeey lcheckhedy	okal lcheckhy lched okeey lcheckhedy	dorthin einsetzen | Abführpassage | Abführung | lange einwirken | Trennabzug; Schluss	NONE	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: dorthin einsetzen — Abführpassage — Abführung — lange einwirken — Trennabzug; Schluss.	Am Ziel einsetzen, durch die Abführpassage führen, abführen, länger einwirken lassen und getrennt abziehen; Schluss.	VISIBLE_STATION_CELL_NORMALIZED
B2-S005	B2	obere Paarbecken-/Zylinderstation	F050|F051	MIXED|LOW_DATA	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	qokaly solkaiin chckhy okaiin okaiin octheol chkeey ldy	Zieleinsatz | Sollsammlung | durchleiten | bemessen | bemessen | Fortsetzung vorbereiten | Langwärmen | abziehen; Schluss	E180_E181_TWO_VISIBLE_ONE_LOGICAL_MEASURE	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Zieleinsatz — Sollsammlung — durchleiten — bemessen — bemessen — Fortsetzung vorbereiten — Langwärmen — abziehen; Schluss.	Am Ziel einsetzen, bis zum Soll sammeln, durchleiten, am Zeilenübergang einmal bemessen, die Fortsetzung vorbereiten, länger wärmen und abziehen; Schluss.	VISIBLE_STATION_CELL_NORMALIZED
B2-S006	B2	obere Paarbecken-/Zylinderstation	F052	Q	oteey qokal sheckhy qoky	oteey okal sheckhy choky	Langfolge | dorthin einsetzen | Kurzpassage | einsetzen	NONE	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Langfolge — dorthin einsetzen — Kurzpassage — einsetzen.	Die lange Folge ausführen, dorthin einsetzen, durch die kurze Passage führen und einsetzen.	VISIBLE_STATION_CELL_NORMALIZED
B2-S007	B2	mittlere linke Geräte-/Inline-Knotenstation	F053	LOW_DATA	dshedy	dshedy	Kurzabsetzen; Schluss	NONE	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Besitzer »mittlere linke Geräte-/Inline-Knotenstation«: Kurzabsetzen; Schluss.	An der mittleren linken Knotenstation kurz absetzen lassen; Schluss.	VISIBLE_STATION_CELL_NORMALIZED
B2-S008	B2	mittlere linke Geräte-/Inline-Knotenstation	F054	S	sotaiin qokar shedy	otaiin qokar cheedy	Folgemaß | Quelleinsatz | kurz absetzen; Schluss	NONE	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Folgemaß — Quelleinsatz — kurz absetzen; Schluss.	Das Folgemaß aus der Quelle einsetzen und kurz absetzen lassen; Schluss.	VISIBLE_STATION_CELL_NORMALIZED
B2-S009	B2	mittlere linke Geräte-/Inline-Knotenstation	F055	LOW_DATA	solshedy	solshedy	Folgeabsetzen; Schluss	NONE	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Folgeabsetzen; Schluss.	Den Folgeposten absetzen lassen; Schluss.	VISIBLE_STATION_CELL_NORMALIZED
B2-S010	B2	mittlere linke Geräte-/Inline-Knotenstation	F056	Q	qokeey qoky ls cheey	okeey choky ls cheey	lange einwirken | einsetzen | Auslass | Klarauszug	NONE	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: lange einwirken — einsetzen — Auslass — Klarauszug.	Länger einwirken lassen, einsetzen und den klaren Auszug zum Auslass führen.	VISIBLE_STATION_CELL_NORMALIZED
B2-S011	B2	ungelöste mittlere rechte Linie-/Liegepodeststation	F057	O	okain char okain qokeedy	okain char okain qokeedy	Anteil zugeben | davon | Anteil zugeben | lange einwirken; Schluss	NONE	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Besitzer »ungelöste mittlere rechte Linie-/Liegepodeststation«: Anteil zugeben — davon — Anteil zugeben — lange einwirken; Schluss.	An der mittleren rechten Station einen Anteil zugeben, davon einen weiteren Anteil nehmen und länger einwirken lassen; Schluss.	VISIBLE_STATION_CELL_NORMALIZED
