case	context_index	class	variant	original_members	primary	independent	decision	independent_meaning_capacity
FULL01	2	DIFFERENT_CARGO_NAME	0	24	unsat	unsat	VERIFIED_UNSAT	0
FULL02	2	DIFFERENT_CARGO_NAME	2	24	unsat	unsat	VERIFIED_UNSAT	0
FULL03	2	DIFFERENT_CARGO_NAME	4	18	unsat	unsat	VERIFIED_UNSAT	0
FULL04	2	DIFFERENT_CARGO_NAME	6	18	unsat	unsat	VERIFIED_UNSAT	0
FULL05	2	DIFFERENT_CARGO_NAME	8	18	unsat	unsat	VERIFIED_UNSAT	0
FULL06	2	DIFFERENT_CARGO_NAME	10	18	unsat	unsat	VERIFIED_UNSAT	0
FULL07	2	DIFFERENT_CARGO_NAME	12	12	unsat	unsat	VERIFIED_UNSAT	0
FULL08	2	DIFFERENT_CARGO_NAME	14	12	unsat	unsat	VERIFIED_UNSAT	0
FULL09	2	FIRST_REFERENCE	0	6	unsat	unsat	VERIFIED_UNSAT	0
FULL10	2	FIRST_REFERENCE	2	6	unsat	unsat	VERIFIED_UNSAT	0
FULL11	4	DIFFERENT_CARGO_NAME	0	24	unsat	unsat	VERIFIED_UNSAT	0
FULL12	4	DIFFERENT_CARGO_NAME	2	24	unsat	unsat	VERIFIED_UNSAT	0
FULL13	4	DIFFERENT_CARGO_NAME	4	18	unsat	unsat	VERIFIED_UNSAT	0
FULL14	4	DIFFERENT_CARGO_NAME	6	18	unsat	unsat	VERIFIED_UNSAT	0
FULL15	4	DIFFERENT_CARGO_NAME	8	18	unsat	unsat	VERIFIED_UNSAT	0
FULL16	4	DIFFERENT_CARGO_NAME	10	18	unsat	unsat	VERIFIED_UNSAT	0
FULL17	4	DIFFERENT_CARGO_NAME	12	12	unsat	unsat	VERIFIED_UNSAT	0
FULL18	4	DIFFERENT_CARGO_NAME	14	12	unsat	unsat	VERIFIED_UNSAT	0
FULL19	4	FIRST_REFERENCE	0	6	unsat	unsat	VERIFIED_UNSAT	0
FULL20	4	FIRST_REFERENCE	2	6	unsat	unsat	VERIFIED_UNSAT	0
