source	case	engine	context	status	markers	empty_intervals	first_failed_clause	first_failed_groups	independent_meaning_capacity
GDT1013	FULL01	primary	ZL3b|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	30	22	S06	15-15	0
GDT1013	FULL01	independent	ZL3b|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	24	16	S06	16-16	0
GDT1013	FULL02	primary	ZL3b|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	30	21	S02	6-6	0
GDT1013	FULL02	independent	ZL3b|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	24	16	S06	16-16	0
GDT1013	FULL03	primary	ZL3b|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	35	27	S05	11-11	0
GDT1013	FULL03	independent	ZL3b|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	24	17	S06	16-16	0
GDT1013	FULL04	primary	ZL3b|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	22	8	S04	9-9	0
GDT1013	FULL04	independent	ZL3b|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	26	20	S06	16-16	0
GDT1013	FULL05	primary	ZL3b|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	27	17	S04	9-9	0
GDT1013	FULL05	independent	ZL3b|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	24	16	S06	16-16	0
GDT1013	FULL06	primary	ZL3b|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	27	15	S05	15-15	0
GDT1013	FULL06	independent	ZL3b|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	24	16	S06	16-16	0
GDT1013	FULL07	primary	ZL3b|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	39	29	S02	6-6	0
GDT1013	FULL07	independent	ZL3b|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	24	16	S06	16-16	0
GDT1013	FULL08	primary	ZL3b|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	25	16	S02	6-6	0
GDT1013	FULL08	independent	ZL3b|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	24	16	S06	16-16	0
GDT1013	FULL09	primary	ZL3b|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	33	26	S02	6-6	0
GDT1013	FULL10	primary	ZL3b|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	26	14	S02	6-6	0
GDT1013	FULL10	independent	ZL3b|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	24	16	S06	16-16	0
GDT1013	FULL11	primary	IT2a|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	31	21	S07	14-14	0
GDT1013	FULL12	primary	IT2a|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	30	24	S07	16-16	0
GDT1013	FULL13	primary	IT2a|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	24	16	S07	15-15	0
GDT1013	FULL14	primary	IT2a|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	28	18	S05	15-15	0
GDT1013	FULL15	primary	IT2a|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	23	16	S03	10-10	0
GDT1013	FULL16	primary	IT2a|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	22	11	S02	6-6	0
GDT1013	FULL17	primary	IT2a|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	17	7	S02	6-6	0
GDT1013	FULL18	primary	IT2a|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	36	28	S02	6-6	0
GDT1013	FULL19	primary	IT2a|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	28	18	S08	15-15	0
GDT1013	FULL20	primary	IT2a|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	27	18	S02	6-6	0
GDT1014	WRAP01	primary	ZL3b|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	26	16	S05	11-11	0
GDT1014	WRAP01	independent	ZL3b|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	25	21	S06	16-16	0
GDT1014	WRAP02	primary	ZL3b|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	20	8	S03	12-12	0
GDT1014	WRAP02	independent	ZL3b|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	27	22	S06	16-16	0
GDT1014	WRAP03	primary	ZL3b|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	31	22	S02	6-6	0
GDT1014	WRAP03	independent	ZL3b|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	25	21	S06	16-16	0
GDT1014	WRAP04	primary	ZL3b|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	23	18	S05	11-11	0
GDT1014	WRAP04	independent	ZL3b|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	27	22	S06	16-16	0
GDT1014	WRAP05	primary	IT2a|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	26	16	S02	6-6	0
GDT1014	WRAP05	independent	IT2a|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	9	2	S14	35-35	0
GDT1014	WRAP06	primary	IT2a|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	20	11	S04	9-9	0
GDT1014	WRAP06	independent	IT2a|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	9	2	S14	35-35	0
GDT1014	WRAP07	primary	IT2a|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	19	12	S02	6-6	0
GDT1014	WRAP07	independent	IT2a|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	9	2	S14	35-35	0
GDT1014	WRAP08	primary	IT2a|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	28	19	S02	6-6	0
GDT1014	WRAP08	independent	IT2a|f50r|f50r.1-f50r.10	CERTIFICATE_CONTRADICTED	9	2	S14	35-35	0
