left_root	right_root	component_recipe	literal_prediction_de	status	productive_events	formula_card_events	specialist_events	local_address_events	content_events	content_surfaces	content_pages	simple_candidate_surface	candidate_surface_collision	collision_with
OK	Y	OK+Y	SETZEN · POSTEN	BELEGT_ALS_GELERNTE_FORMEL	0	37	0	4	37	choky|okchey|okchy|oky|qokchy|qoky	f10r|f13r|f55v|f56r|f75r|f81v|f82r|f83r|f88r	oky	NEIN	KEINE
OK	AIN	OK+AIN	SETZEN · PORTION	BELEGT_ALS_GELERNTE_FORMEL	0	35	0	2	35	okain|qokain	f55v|f75r|f81v|f82r|f83r	okain	NEIN	KEINE
OK	AIIN	OK+AIIN	SETZEN · MASS	BELEGT_ALS_GELERNTE_FORMEL	0	26	0	0	26	okaiin|qokaiin	f55v|f56r|f75r|f81v|f82r|f83r|f88r	okaiin	NEIN	KEINE
OK	AL	OK+AL	SETZEN · ZIEL	BELEGT_ALS_GELERNTE_FORMEL	0	24	0	2	24	chokal|okal|qokal	f55v|f68r1|f75r|f81v|f82r|f83r	okal	NEIN	KEINE
OK	AR	OK+AR	SETZEN · QUELLE	BELEGT_ALS_GELERNTE_FORMEL	0	17	0	4	17	okar|qokar	f55v|f56r|f75r|f81v|f82r	okar	NEIN	KEINE
OK	AIR	OK+AIR	SETZEN · LAUF	BELEGT_PRODUKTIV	2	0	0	0	2	okair|qokair	f75r|f83r	okair	NEIN	KEINE
OK	OR	OK+OR	SETZEN · ANSATZ	BELEGT_PRODUKTIV	3	0	0	1	3	chokor|qokor	f56r|f88r	okor	NEIN	KEINE
OK	CTH	OK+CTH	SETZEN · BEREIT	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	okcth	NEIN	KEINE
OT	Y	OT+Y	DANACH · POSTEN	BELEGT_ALS_GELERNTE_FORMEL	0	21	0	3	21	otchey|oty|qotchy|qoty	f10r|f11r|f13r|f56r|f67r2|f75r|f81v|f82r|f83r	oty	NEIN	KEINE
OT	AIN	OT+AIN	DANACH · PORTION	BELEGT_PRODUKTIV	4	0	0	1	4	otain|qotain	f75r|f81v|f82r	otain	NEIN	KEINE
OT	AIIN	OT+AIIN	DANACH · MASS	BELEGT_PRODUKTIV	5	0	0	3	5	otaiin|qotaiin	f82r|f83r	otaiin	NEIN	KEINE
OT	AL	OT+AL	DANACH · ZIEL	BELEGT_ALS_GELERNTE_FORMEL	0	7	0	4	7	otal|qotal	f82r|f83r	otal	NEIN	KEINE
OT	AR	OT+AR	DANACH · QUELLE	BELEGT_ALS_GELERNTE_FORMEL	0	14	0	5	14	otar|qotar	f10r|f55v|f75r|f81v|f83r	otar	NEIN	KEINE
OT	AIR	OT+AIR	DANACH · LAUF	NUR_LOKALE_ADRESSE	0	0	0	2	0	KEINE	KEINE	otair	NEIN	KEINE
OT	OR	OT+OR	DANACH · ANSATZ	BELEGT_ALS_GELERNTE_FORMEL	0	7	0	3	7	otor|qotor	f10r|f68r1|f83r	otor	NEIN	KEINE
OT	CTH	OT+CTH	DANACH · BEREIT	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	otcth	NEIN	KEINE
S	Y	S+Y	AUSWÄHLEN · POSTEN	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	sy	JA	Y@PRODUCTIVE_ROOT_COMPOSITION
S	AIN	S+AIN	AUSWÄHLEN · PORTION	BELEGT_PRODUKTIV	9	0	0	0	9	sain	f67r2|f75r|f82r|f83r	sain	NEIN	KEINE
S	AIIN	S+AIIN	AUSWÄHLEN · MASS	BELEGT_ALS_GELERNTE_FORMEL	0	9	0	1	9	saii|saiin	f67r2|f75r|f81v|f83r|f88r	saiin	NEIN	KEINE
S	AL	S+AL	AUSWÄHLEN · ZIEL	BELEGT_PRODUKTIV	4	0	0	3	4	sal	f67r2|f75r|f81v|f82r	sal	NEIN	KEINE
