left_root	right_root	component_recipe	literal_prediction_de	status	productive_events	formula_card_events	specialist_events	local_address_events	content_events	content_surfaces	content_pages	simple_candidate_surface	candidate_surface_collision	collision_with	natural_available_reading_de	workshop_instruction_de
OK	CTH	OK+CTH	SETZEN · BEREIT	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	okcth	NEIN	KEINE	gebrauchsfertig setzen	verfügbar, aber auf den vierzehn Seiten nicht gebraucht
OT	CTH	OT+CTH	DANACH · BEREIT	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	otcth	NEIN	KEINE	danach den bereiten Posten nehmen	verfügbar, aber auf den vierzehn Seiten nicht gebraucht
S	Y	S+Y	AUSWÄHLEN · POSTEN	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	sy	JA	Y@PRODUCTIVE_ROOT_COMPOSITION	diesen Posten auswählen	nicht mit dieser Kurzform schreiben; sie ist bereits anders vergeben
S	CTH	S+CTH	AUSWÄHLEN · BEREIT	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	scth	NEIN	KEINE	den bereiten Posten auswählen	verfügbar, aber auf den vierzehn Seiten nicht gebraucht
CH	Y	CH+Y	NEHMEN · POSTEN	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	chy	JA	Y@LOCAL_ADDRESS_OR_KENNING|Y@PRODUCTIVE_ROOT_COMPOSITION	diesen Posten nehmen	nicht mit dieser Kurzform schreiben; sie ist bereits anders vergeben
CH	AIN	CH+AIN	NEHMEN · PORTION	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	chain	NEIN	KEINE	eine Portion nehmen	verfügbar, aber auf den vierzehn Seiten nicht gebraucht
CH	AR	CH+AR	NEHMEN · QUELLE	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	char	JA	AR@LOCAL_ADDRESS_OR_KENNING|AR@PRODUCTIVE_ROOT_COMPOSITION	aus der Quelle nehmen	nicht mit dieser Kurzform schreiben; sie ist bereits anders vergeben
CH	CTH	CH+CTH	NEHMEN · BEREIT	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	chcth	NEIN	KEINE	den bereiten Posten nehmen	verfügbar, aber auf den vierzehn Seiten nicht gebraucht
OL	AIN	OL+AIN	FORTSETZEN · PORTION	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	olain	NEIN	KEINE	mit einer Portion fortsetzen	verfügbar, aber auf den vierzehn Seiten nicht gebraucht
OL	AL	OL+AL	FORTSETZEN · ZIEL	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	olal	NEIN	KEINE	zum Ziel fortsetzen	verfügbar, aber auf den vierzehn Seiten nicht gebraucht
OL	AIR	OL+AIR	FORTSETZEN · LAUF	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	olair	NEIN	KEINE	im Lauf fortsetzen	verfügbar, aber auf den vierzehn Seiten nicht gebraucht
OL	CTH	OL+CTH	FORTSETZEN · BEREIT	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	olcth	NEIN	KEINE	mit dem bereiten Posten fortsetzen	verfügbar, aber auf den vierzehn Seiten nicht gebraucht
O	AL	O+AL	AUSFÜHREN · ZIEL	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	oal	NEIN	KEINE	am Ziel ausführen	verfügbar, aber auf den vierzehn Seiten nicht gebraucht
O	AIR	O+AIR	AUSFÜHREN · LAUF	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	oair	NEIN	KEINE	den Lauf ausführen	verfügbar, aber auf den vierzehn Seiten nicht gebraucht
O	OR	O+OR	AUSFÜHREN · ANSATZ	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	oor	NEIN	KEINE	den Ansatz ausführen	verfügbar, aber auf den vierzehn Seiten nicht gebraucht
O	CTH	O+CTH	AUSFÜHREN · BEREIT	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	octh	NEIN	KEINE	den bereiten Gang ausführen	verfügbar, aber auf den vierzehn Seiten nicht gebraucht
L	AIN	L+AIN	LEITEN · PORTION	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	lain	NEIN	KEINE	eine Portion leiten	verfügbar, aber auf den vierzehn Seiten nicht gebraucht
L	AIR	L+AIR	LEITEN · LAUF	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	lair	NEIN	KEINE	durch den Lauf leiten	verfügbar, aber auf den vierzehn Seiten nicht gebraucht
L	CTH	L+CTH	LEITEN · BEREIT	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	lcth	NEIN	KEINE	den bereiten Posten leiten	verfügbar, aber auf den vierzehn Seiten nicht gebraucht
P	AIN	P+AIN	EINSETZEN · PORTION	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	pain	NEIN	KEINE	eine Portion einsetzen	verfügbar, aber auf den vierzehn Seiten nicht gebraucht
P	AIIN	P+AIIN	EINSETZEN · MASS	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	paiin	NEIN	KEINE	nach Maß einsetzen	verfügbar, aber auf den vierzehn Seiten nicht gebraucht
P	AL	P+AL	EINSETZEN · ZIEL	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	pal	NEIN	KEINE	am Ziel einsetzen	verfügbar, aber auf den vierzehn Seiten nicht gebraucht
P	AIR	P+AIR	EINSETZEN · LAUF	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	pair	NEIN	KEINE	in den Lauf einsetzen	verfügbar, aber auf den vierzehn Seiten nicht gebraucht
P	OR	P+OR	EINSETZEN · ANSATZ	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	por	NEIN	KEINE	in den Ansatz einsetzen	verfügbar, aber auf den vierzehn Seiten nicht gebraucht
P	CTH	P+CTH	EINSETZEN · BEREIT	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	pcth	NEIN	KEINE	den bereiten Posten einsetzen	verfügbar, aber auf den vierzehn Seiten nicht gebraucht
