audit_id	page	locus	token_ordinal	surface	position_id	reading_id	superseded_v48_gloss_de	current_v99_context_de	final_v99r6_spoken_de	special_grade_policy_id	v48_grade_frame	current_v99_grade_frame	final_v99r6_grade_frame	component_relation_credit
G733-SX01	f104v	f104v.2	3	chockhy	P004	chockhy#1	Arzneikompositum im Trockenansatz am Gradanfang	trockene Arzneizubereitung am Gradanfang	leicht getrocknete Arzneizubereitung	G733-S001	1	1	0	0
G733-SX02	f105r	f105r.2	5	otchdy	P016	otchdy#1	kalt-trockener Ansatz am Anfang des Grades, abgeschlossen	kalt-trockene Zubereitung; Anfangsstufe erreicht	kalt-trockene Zubereitung; Anfangsstufe erreicht	NONE	1	0	0	0
G733-SX03	f105r	f105r.31	10	chedy	P034	chedy#1	trocken in der Mitte des Grades, abgeschlossen	mittlere Trockenstufe erreicht	mittlere Trockenstufe erreicht	NONE	1	0	0	0
G733-SX04	f105v	f105v.14	2	chckhdy	P048	chckhdy#1	Arzneikompositum: trocken, Gradanfang, abgeschlossen	trockenes Arzneikompositum, Anfangsstufe erreicht	trockenes Arzneikompositum, Anfangsstufe erreicht	NONE	1	0	0	0
G733-SX05	f106r	f106r.23	5	qokedy	P061	qokedy#1	heiß in der Mitte des Grades, abgeschlossen	heiße Mittelstufe erreicht	heiße Mittelstufe erreicht	NONE	1	0	0	0
G733-SX06	f106r	f106r.23	7	qokchy	P063	qokchy#1	heiß und trocken am Anfang des Grades	heiß-trocken, Anfangsstufe	heiß-trocken, Anfangsstufe	NONE	1	0	0	0
G733-SX07	f106r	f106r.23	8	otedy	P064	otedy#1	kalter Ansatz in der Mitte des Grades, abgeschlossen	kalter Ansatz, Mittelstufe erreicht	kalter Ansatz, Mittelstufe erreicht	NONE	1	0	0	0
G733-SX08	f107r	f107r.2	4	shedy	P070	shedy#1	feucht in der Mitte des Grades, abgeschlossen	mittlere Feuchtstufe erreicht	mittlere Feuchtstufe erreicht	NONE	1	0	0	0
G733-SX09	f107r	f107r.2	8	cheockhy	P074	cheockhy#1	trocken angesetztes Arzneikompositum am Gradanfang	trocken angesetzte Mischung, Anfangsstufe	trocken angesetzte Mischung, Anfangsstufe	NONE	1	0	0	0
G733-SX10	f107r	f107r.40	4	chal	P083	chal#1	Rohstoffklasse I, trocken am Gradanfang	trockenes Material I, Anfangsstufe	trockenes Material I, Anfangsstufe	NONE	1	0	0	0
G733-SX11	f112r	f112r.36	3	checkhy	P102	checkhy#1	trockenes Arzneikompositum am Gradanfang	trockene Mischung, Anfangsstufe	trockene Mischung, Anfangsstufe	NONE	1	0	0	0
G733-SX12	f112v	f112v.10	2	sheey	P107	sheey#1	feucht am Ende des Grades	feucht, Endstufe	feucht, Endstufe	NONE	1	0	0	0
G733-SX13	f112v	f112v.10	3	okchedy	P108	okchedy#1	heiß-trockener Ansatz in der Mitte des Grades, abgeschlossen	heiß-trockene Zubereitung; Mittelstufe erreicht	heiß-trockene Zubereitung; Mittelstufe erreicht	NONE	1	0	0	0
G733-SX14	f113v	f113v.17	2	shedy	P116	shedy#1	feucht in der Mitte des Grades, abgeschlossen	mittlere Feuchtstufe erreicht	mittlere Feuchtstufe erreicht	NONE	1	0	0	0
G733-SX15	f114v	f114v.36	1	tshey	P152	tshey#1	kalt und feucht in der Mitte des Grades	kalt-feucht, Mittelstufe	kalt-feucht, Mittelstufe	NONE	1	0	0	0
G733-SX16	f114v	f114v.36	5	otchey	P156	otchey#1	kalt-trockener Ansatz in der Mitte des Grades	kalt-trockene Zubereitung, Mittelstufe	kalt-trockene Zubereitung, Mittelstufe	NONE	1	0	0	0
G733-SX17	f114v	f114v.36	10	kal	P161	kal#1	Rohstoffklasse I, heiß am Gradanfang	Material I im heißen Anfangsansatz	Material I im heißen Anfangsansatz	NONE	1	0	0	0
G733-SX18	f115r	f115r.1	4	otedy	P166	otedy#1	kalter Ansatz in der Mitte des Grades, abgeschlossen	kalter Ansatz, Mittelstufe erreicht	kalter Ansatz, Mittelstufe erreicht	NONE	1	0	0	0
G733-SX19	f115r	f115r.1	11	qotchedy	P173	qotchedy#1	kalt und trocken in der Mitte des Grades, abgeschlossen	kalt-trockene Mittelstufe erreicht	kalt-trockene Mittelstufe erreicht	NONE	1	0	0	0
G733-SX20	f115r	f115r.23	11	chedy	P184	chedy#1	trocken in der Mitte des Grades, abgeschlossen	mittlere Trockenstufe erreicht	mittlere Trockenstufe erreicht	NONE	1	0	0	0
G733-SX21	f115r	f115r.23	12	qokchedy	P185	qokchedy#1	heiß und trocken in der Mitte des Grades, abgeschlossen	heiß-trockene Mittelstufe erreicht	heiß-trockene Mittelstufe erreicht	NONE	1	0	0	0
G733-SX22	f116r	f116r.12	10	otal	P196	otal#1	Rohstoffklasse I im Ansatz, kalt am Gradanfang	Material I im kalten Anfangsansatz	Material I im kalten Anfangsansatz	NONE	1	0	0	0
G733-SX23	f26r	f26r.2	5	chedy	P219	chedy#1	trocken in der Mitte des Grades, abgeschlossen	mittlere Trockenstufe erreicht	mittlere Trockenstufe erreicht	NONE	1	0	0	0
G733-SX24	f27r	f27r.9	5	oty	P228	oty#1	kalter Ansatz am Anfang des Grades	eine kalte Zubereitung auf Anfangsstufe	eine kalte Zubereitung auf Anfangsstufe	NONE	1	0	0	0
G733-SX25	f75r	f75r.3	2	chal	P249	chal#1	Rohstoffklasse I, trocken am Gradanfang	trockenes Material I, Anfangsstufe	trockenes Material I, Anfangsstufe	NONE	1	0	0	0
G733-SX26	f76v	f76v.10	2	shedal	P258	shedal#1	feuchte abgemessene Rohstoffmenge I in der Gradmitte	feuchtes, abgemessenes Material I, Mittelstufe	feuchtes, abgemessenes Material I, Mittelstufe	NONE	1	0	0	0
G733-SX27	f76v	f76v.10	5	shedy	P261	shedy#1	feucht in der Mitte des Grades, abgeschlossen	mittlere Feuchtstufe erreicht	mittlere Feuchtstufe erreicht	NONE	1	0	0	0
G733-SX28	f76v	f76v.10	6	tchedy	P262	tchedy#1	kalt und trocken in der Mitte des Grades, abgeschlossen	kalt-trockene Mittelstufe erreicht	kalt-trockene Mittelstufe erreicht	NONE	1	0	0	0
G733-SX29	f77r	f77r.38	2	shedy	P268	shedy#1	feucht in der Mitte des Grades, abgeschlossen	mittlere Feuchtstufe erreicht	mittlere Feuchtstufe erreicht	NONE	1	0	0	0
G733-SX30	f77r	f77r.38	8	shedy	P274	shedy#1	feucht in der Mitte des Grades, abgeschlossen	mittlere Feuchtstufe erreicht	mittlere Feuchtstufe erreicht	NONE	1	0	0	0
G733-SX31	f77v	f77v.7	6	okedy	P281	okedy#1	heißer Ansatz in der Mitte des Grades, abgeschlossen	heißer Ansatz, Mittelstufe erreicht	heißer Ansatz, Mittelstufe erreicht	NONE	1	0	0	0
