cell_id	page	locus	token_ordinal	surface	inherited_v48_gloss_de	current_semantic_value_de	v99r6_spoken_cell_de	integration_class	authority_id	authority_reading_id	authority_score_0_100_not_probability	authority_confidence_level	authority_semantic_scope	authority_global_export_scope	grade_policy_id	formal_stage	workflow_closure	modality_class	practical_unit_layer	practical_unit_id	practical_unit_role	practical_render_once_de	practical_source_positions	practical_source_surfaces	semantic_changed_from_v48	spoken_changed_from_semantic	final_changed_from_v48	component_relation_credit
G733-C00001	f100r	f100r.1	1	chosaroshol	[chosaroshol:?]	[chosaroshol:?]	[chosaroshol:?]	INHERITED_OTHER	GDT671_V48_CACHE_CELL	NONE	NA	NA	OCCURRENCE_LOCAL_OR_INHERITED	NONE	NONE	NONE	NONE	NONE	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	[chosaroshol:?]	f100r.1:1	chosaroshol	0	0	0	0
G733-C00002	f100r	f100r.10	1	dakocth	[dakocth:?]	[dakocth:?]	[dakocth:?]	INHERITED_OTHER	GDT671_V48_CACHE_CELL	NONE	NA	NA	OCCURRENCE_LOCAL_OR_INHERITED	NONE	NONE	NONE	NONE	NONE	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	[dakocth:?]	f100r.10:1	dakocth	0	0	0	0
G733-C00003	f100r	f100r.11	1	sofam	[sofam:?]	[sofam:?]	[sofam:?]	INHERITED_OTHER	GDT671_V48_CACHE_CELL	NONE	NA	NA	OCCURRENCE_LOCAL_OR_INHERITED	NONE	NONE	NONE	NONE	NONE	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	[sofam:?]	f100r.11:1	sofam	0	0	0	0
G733-C00004	f100r	f100r.12	1	pcheol	getrockneter Pulverstoff	getrockneter Pulverstoff	getrockneter Pulverstoff	ADDITIONAL_UNCONDITIONAL_V99R4_GLOBAL	pcheol#GLOBAL	pcheol#GLOBAL	73	W3_SOLID_WORKING_THEORY	KNOWN_EXACT_WHOLE	GLOBAL_V48_EXACT_WHOLE_DEFAULT	NONE	NONE	NONE	NONE	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	getrockneter Pulverstoff	f100r.12:1	pcheol	0	0	0	0
G733-C00005	f100r	f100r.12	2	sheod	[sheod:?]	[sheod:?]	[sheod:?]	INHERITED_OTHER	GDT671_V48_CACHE_CELL	NONE	NA	NA	OCCURRENCE_LOCAL_OR_INHERITED	NONE	NONE	NONE	NONE	NONE	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	[sheod:?]	f100r.12:2	sheod	0	0	0	0
G733-C00006	f100r	f100r.12	3	qocpheeckhy	[qocpheeckhy:?]	[qocpheeckhy:?]	[qocpheeckhy:?]	INHERITED_OTHER	GDT671_V48_CACHE_CELL	NONE	NA	NA	OCCURRENCE_LOCAL_OR_INHERITED	NONE	NONE	NONE	NONE	NONE	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	[qocpheeckhy:?]	f100r.12:3	qocpheeckhy	0	0	0	0
G733-C00007	f100r	f100r.12	4	shodol	[shodol:?]	[shodol:?]	[shodol:?]	INHERITED_OTHER	GDT671_V48_CACHE_CELL	NONE	NA	NA	OCCURRENCE_LOCAL_OR_INHERITED	NONE	NONE	NONE	NONE	NONE	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	[shodol:?]	f100r.12:4	shodol	0	0	0	0
G733-C00008	f100r	f100r.12	5	da	[da:?]	[da:?]	[da:?]	INHERITED_OTHER	GDT671_V48_CACHE_CELL	NONE	NA	NA	OCCURRENCE_LOCAL_OR_INHERITED	NONE	NONE	NONE	NONE	NONE	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	[da:?]	f100r.12:5	da	0	0	0	0
G733-C00009	f100r	f100r.12	6	oto	[oto:?]	[oto:?]	[oto:?]	INHERITED_OTHER	GDT671_V48_CACHE_CELL	NONE	NA	NA	OCCURRENCE_LOCAL_OR_INHERITED	NONE	NONE	NONE	NONE	NONE	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	[oto:?]	f100r.12:6	oto	0	0	0	0
G733-C00010	f100r	f100r.12	7	choos	[choos:?]	[choos:?]	[choos:?]	INHERITED_OTHER	GDT671_V48_CACHE_CELL	NONE	NA	NA	OCCURRENCE_LOCAL_OR_INHERITED	NONE	NONE	NONE	NONE	NONE	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	[choos:?]	f100r.12:7	choos	0	0	0	0
