metric	v48_or_pre_before	v99r6_after	delta_after_minus_before	interpretation
cache_cells	32339	32339	0	all token positions retained
practical_units	32339	32319	-20	sixteen exact two-token spans emit once and four punctuation cells attach structurally
bound_span_units	0	16	16	eight inherited V99 spans plus eight legacy alias or merge spans
punctuation_cells_emitted_as_independent_units	4	0	-4	four exact structural marks attach to the preceding unit
debug_renderer_fragments_in_practical_output	2	0	-2	bound-span diagnostics remain in token audit cells but are never spoken
doubled_semicolon_separators_in_practical_output	48	0	-48	a connective beginning with punctuation supplies its own boundary
audible_grade_frame_cells	7183	0	-7183	full target-only V48 baseline to integrated spoken cache
grade_cells_after_current_semantic_precedence	0	7132	7132	current semantics before spoken formatting
grade_cells_spoken_by_gdt733_or_gdt732	0	7132	7132	formatting operations; not new meanings
grade_affected_practical_units	0	7125	7125	multiple grade-bearing cells inside one bound span count once in practical output
rendered_closure_markers	2896	2896	0	closure preserved inside every spoken grade cell
rendered_modality_mentions	8065	8065	0	heat cold dry moist polarity preserved
unknown_cells	8180	7989	-191	integration may install already licensed current values; no default invented for residual unknowns
lines_with_grade_frames	2881	0	-2881	all 4,128 lines audited
