priority	color	trigger	decision	repair_allowed	meaning	gdt401_addition
1	GREEN	EXACT_SURFACE_ONE_RECIPE	READ_WITH_EXISTING_RECIPE	NO	bekannte Oberfläche; identisches sichtbares Rezept	UNCHANGED
2	GREEN	KNOWN_RECIPE_NEW_SURFACE	READ_AS_NEW_RENDERING_ONLY_IF_NAMED_PACKAGE_RULE	NO	neue Oberfläche; Rezept andernorts vollständig sichtbar	UNCHANGED
3	AMBER	NEW_RECIPE_FIXED_ATOMS	SEGMENT_VISIBLY_AND_USE_HIERARCHICAL_SCOPE	NO	neue Komposition bekannter Kerne	UNCHANGED
4	AMBER	PAGE_PRIVATE_EXACT_TYPED_HEAD	FALL_BACK_TO_TYPED_OR_UNTYPED_MICRO	NO	neue Kopfbesetzung einer bekannten Mikrokonstruktion	UNCHANGED
5	AMBER	PAGE_PRIVATE_MICRO	FALL_BACK_TO_ONE_OF_NINE_COARSE_RULES	NO	neue Mikroform einer bekannten Scope-Familie	IF_OT_EE_Y_PRECEDES_R_KEEP_EE_INSIDE_PACKET
6	GREEN	HEADLESS_PACKAGE_NEXT_CARD	ALLOW_EXACTLY_ONE_CARD_WITHIN_SAME_OWNER_STATEMENT	NO	begrenzter Vorgriff	KNOWN_FORWARD_TO_R_IS_GREEN_WHEN_R_IS_FIRST_VISIBLE_HEAD
7	GREEN	NO_ACTION_HEAD	BIND_TO_VISIBLE_OWNER	NO	Besitzerellipse	UNCHANGED
8	RED	SAME_SURFACE_DIFFERENT_RECIPE	STOP_AND_RESEGMENT	YES_VISIBLE_ONLY	Oberflächendeterminismus gebrochen	UNCHANGED
9	RED	LOOKAHEAD_OVER_ONE_CARD	STOP	NO	unlizenzierter Fernbezug	UNCHANGED
10	RED	OWNER_OR_STATEMENT_BOUNDARY_CROSSING	STOP	NO	echter Scope-Bruch	UNCHANGED
11	RED	KNOWN_CORE_REQUIRES_NEW_VALUE	STOP_BATCH_BEFORE_DICTIONARY_CHANGE	NO	Bedeutungsdrift	UNCHANGED
12	RED	TENTH_COARSE_SCOPE_FAMILY	STOP_BATCH	NO	neue Grammatik statt neuer Komposition	UNCHANGED
13	RED	ACTION_LIKE_LABEL_OPENS_PROSE_STACK	KEEP_AS_ADDRESS_UNLESS_LAYOUT_OPENS_PROSE	NO	Adress-/Prosaebene verwechselt	UNCHANGED
14	RED	INVISIBLE_ATOM_FROM_EDIT_NEIGHBOR	STOP_AND_USE_VISIBLE_SEGMENTATION	YES_VISIBLE_ONLY	alter Pass-1008-Fehler	UNCHANGED
