parent_id	factor	evidence_role	attachment_id	physical_page	register	statement_id	complete_surface_sequence	source_surface	source_recipe	focus_core	attachment_class	chosen_action	chosen_action_card_ordinal	rule_families	r_position_mode	note_de
P01	FORWARD_Y	OUTSIDE_REGISTER_PARENT	G399-A00269	f18r	HERBAL	P1009-S019	darod yoar ykchol dar om chckhy octhor dal otshol qokchol chykchy okchal daiin dy chol dain qokchor chor ey or chey qokchol dy ytcharg chor cthor okeor ykchol okain	yoar	Y+O+AR	Y	BOUNDED_NEXT_CARD_ACTION	K	3	ONE_CARD_FORWARD	NONE	Y springt genau eine Karte zu K.
P02	FORWARD_Y	OUTSIDE_REGISTER_PARENT	G399-A00649	f67r2	CELESTIAL	P1009-S041	dar aldaiin ydaiin qkoy ydaiin qofair ypair ykoaiin ydoly ytalchos oly okey sshey sy shees qeykeey ykchey ykchey qokeochy oaiin okol ar olar yshey qokeeody cheos oeeos qockhy chos aiin okeeody qokoaiin odain ar air ay	ydaiin	Y+D_ADDR+AIIN	Y	BOUNDED_NEXT_CARD_ACTION	K	4	ONE_CARD_FORWARD	NONE	Y springt genau eine Karte zu K im Himmelsregister.
P03	FORWARD_Y	OUTSIDE_REGISTER_PARENT	G399-A04253	f89r	PHARMA	P1009-S623	kolches sheol qokeoefy sheey opcheor opcheol shody	kolches	OL+Y	Y	BOUNDED_NEXT_CARD_ACTION	SH	2	ONE_CARD_FORWARD	NONE	Y springt genau eine Karte zu SH im Gefäßregister.
P04	OT_EE_Y_FORWARD	OUTSIDE_REGISTER_PARENT	G399-A00858	f72r	CELESTIAL	P1009-S051	al oteey chedal oteedy	oteey	OT+EE+Y	EE	BOUNDED_NEXT_CARD_ACTION	CHD	3	Q_OT_PACKAGE_FORWARD	NONE	EE aus OT+EE+Y springt zu CHD.
P05	OT_EE_Y_FORWARD	OUTSIDE_REGISTER_PARENT	G399-A00859	f72r	CELESTIAL	P1009-S051	al oteey chedal oteedy	oteey	OT+EE+Y	Y	BOUNDED_NEXT_CARD_ACTION	CHD	3	Q_OT_PACKAGE_FORWARD	NONE	Y aus derselben OT+EE+Y-Karte springt zu CHD.
P06	OT_EE_Y_FORWARD	OUTSIDE_REGISTER_PARENT	G399-A00992	f72r	CELESTIAL	P1009-S058	oteey tey teodal chokaly ol cheol ol aiin oteo daiin shokal otey otaiin otaly dal okaly dalchdy	oteey	OT+EE+Y	EE	BOUNDED_NEXT_CARD_ACTION	T	2	Q_OT_PACKAGE_FORWARD	NONE	EE aus OT+EE+Y springt zu T.
P07	OT_EE_Y_FORWARD	OUTSIDE_REGISTER_PARENT	G399-A00993	f72r	CELESTIAL	P1009-S058	oteey tey teodal chokaly ol cheol ol aiin oteo daiin shokal otey otaiin otaly dal okaly dalchdy	oteey	OT+EE+Y	Y	BOUNDED_NEXT_CARD_ACTION	T	2	Q_OT_PACKAGE_FORWARD	NONE	Y aus derselben OT+EE+Y-Karte springt zu T.
P08	R_HEAD_Y	OUTSIDE_REGISTER_PARENT	G399-A00317	f18r	HERBAL	P1009-S022	okal dy dary chol chcthal okshal chykald dar shor qokchol ol ydaiin sotchaiin chokchy chckhol chor g ychair cthol daiin qokchy cthy or shaiin cthar cthal okal dar ychekch y kchaiin	dary	DA+R+Y	Y	SAME_CARD_LEFT_ACTION	R	3	NEAREST_HEAD_LEFT_TIE|R_POSITIONAL_MARKING	R_POSITIONAL_HEAD	R nimmt Y sichtbar in derselben Karte.
P09	R_HEAD_Y	OUTSIDE_REGISTER_PARENT	G399-A00742	f68r1	CELESTIAL	P1009-S044	chpor cheokorchey chod ykor shey qocheey chokal okeey ror eckhear daram dchor okaiiin yky dary chkchykoly	dary	DA+R+Y	Y	SAME_CARD_LEFT_ACTION	R	15	NEAREST_HEAD_LEFT_TIE|R_POSITIONAL_MARKING	R_POSITIONAL_HEAD	R nimmt Y sichtbar in einer Himmelskarte.
P10	R_HEAD_ARGUMENT	OUTSIDE_REGISTER_PARENT	G399-A00735	f68r1	CELESTIAL	P1009-S044	chpor cheokorchey chod ykor shey qocheey chokal okeey ror eckhear daram dchor okaiiin yky dary chkchykoly	ror	R+OR	OR	SAME_CARD_LEFT_ACTION	R	9	NEAREST_HEAD_LEFT_TIE|R_POSITIONAL_MARKING	R_POSITIONAL_HEAD	R nimmt OR sichtbar in derselben Karte.
P11	R_HEAD_ARGUMENT	OUTSIDE_REGISTER_PARENT	G399-A03682	f88r	PHARMA	P1009-S590	dorsheoy ctheol qockhey dory sheor sholfchor dal chcthol ral sheom keol chear shekor qokor daiin sar s aiin oky sam oain or om otam okeom cheeor qokeody dar or om cheody qokeol cheol saiin cheos cheol doleeey or cheom cheojam yokeody cheom qoor cheeb ykeor shy sam	ral	R+AL	AL	SAME_CARD_LEFT_ACTION	R	9	AL_AR_ORDERED_FALLBACK|R_POSITIONAL_MARKING	R_POSITIONAL_HEAD	R nimmt AL sichtbar in derselben Gefäßkarte.
P12	R_HEAD_ARGUMENT	OUTSIDE_REGISTER_PARENT	G399-A03962	f88v	PHARMA	P1009-S605	qoteo lchdy qokeo r ain tol keeodaiin qoky sheol daiin chees aiin chokar daimd daiin sheor sheedy	ain	AIN	AIN	PREVIOUS_CARD_ACTION	R	4	PREVIOUS_CARD_STACK|R_POSITIONAL_MARKING	R_POSITIONAL_HEAD	AIN bindet an den unmittelbar vorigen R-Kopf.
P13	FORWARD_TO_R_PACKET	SAME_REGISTER_PACKET_CONTROL	G399-A02584	f77r	BIOLOGICAL	P1009-S376	qotal r ain chl s arol qokeedy	qotal	OT+AL	AL	BOUNDED_NEXT_CARD_ACTION	R	2	AL_AR_ORDERED_FALLBACK|R_POSITIONAL_MARKING	R_POSITIONAL_HEAD	OT+AL springt zu R; das folgende AIN bindet an denselben R-Kopf zurück.
