surface	working_meaning_de	composition	strongest_rival_de	family
lkchdal	Holzdroge vollständig erhitzen und als Rohdroge I abmessen	LEARNED_LKCHDAL_WHOLE	abgemessene heiß getrocknete Holzdroge der Rohklasse I	WOOD
okeedal	Ansatz vollständig erhitzen und Rohdroge I abmessen	O_PREP+K_HOT+EE_END+D_MEASURE+AL_RAW_I	abgemessener Rohstoff-I-Ansatz der Heizendstufe	MEASURE
pched	Pulver bis zur Mittelstufe trocknen und abschließen	P_POWDER+CH_DRY+E_MIDDLE+D_TERM_CLOSE	mäßig getrocknetes Pulver abziehen	POWDER
dcheey	eine Dosis vollständig trocknen und abschließen	D_MEASURE+CH_DRY+EE_END+Y_START_OR_CLOSE	vollständig getrocknete Dosis	MEASURE
ro	Wurzelansatz	R_ROOT+O_PREP	Wurzeldroge ansetzen	ROOT
shek	bis zur Mittelstufe einweichen und erhitzen	SH_MOIST+E_MIDDLE+K_HOT	mäßig eingeweichte heiße Droge	ACTION
odl	Holzdroge im Ansatz abmessen	O_PREP+D_MEASURE+L_WOOD	abgemessener Holzdrogenansatz	MEASURE
okytaiin	drei Teile Grundform des erhitzten Ansatzes abkühlen	OKY_HOT_PREP_BASE+T_COLD+AIIN_III	heißer Ansatz in Grundform auf Kühlstufe III	COLD
oytor	eine Portion Ansatzgrundform abkühlen	OY_PREP_BASE+T_COLD+OR_PORTION	kalte Portion eines Ansatzes in Grundform	MEASURE
ykeor	nimm hiervon eine Portion bis zur Mittelstufe erhitzter Droge	Y_REFERENCE+K_HOT+E_MIDDLE+OR_PORTION	erhitzte Portion dieser Droge	ACTION
orshy	eine Portion leicht eingeweichte Droge	OR_PORTION+SH_MOIST+Y_START_OR_CLOSE	angefeuchtete Portion in Grundform	MEASURE
chordy	Pflanzenteil fertigstellen	CHOR_PLANT_PART+DY_FINISHED	fertig bereiteter Blüten- oder Fruchtteil	PLANT_PART
daiinol	drei Dosen Drogenstoff abmessen	D_MEASURE+AIIN_III+OL_MATERIAL	Drogenstoff auf Dosisstufe III	MEASURE
tcheodal	kühlen, bis zur Mittelstufe trocknen, ansetzen und Rohdroge I abmessen	T_COLD+CH_DRY+E_MIDDLE+O_PREP+D_MEASURE+AL_RAW_I	abgemessener kalt getrockneter Rohstoff-I-Ansatz	MEASURE
yteain	kühle hiervon bis zur Mittelstufe, Stufe II	Y_REFERENCE+T_COLD+E_MIDDLE+AIN_II	zwei Teile mäßig gekühlte Droge hiervon	COLD
cthal	Kraut- oder Blattdroge aus Rohdroge I	CTH_HERB+AL_RAW_I	Rohstoff-I-Krautdroge	HERB
loeees	Charge vollständig bereiteter Holzdroge im Ansatz	L_WOOD+O_PREP+EEE_LONG_OR_FINAL+S_TERM_SPECIES	Holzdrogenansatz der letzten Stufe	WOOD
chodys	fertige Charge eines Trockenansatzes	CH_DRY+O_PREP+DY_FINISHED+S_TERM_SPECIES	Trockenansatz-Species fertigstellen	DRY
ytair	kühle hiervon die zweite Fraktion	Y_REFERENCE+T_COLD+AIR_FRACTION_II	zweite kalte Fraktion dieser Droge	FRACTION
dsho	eine Dosis einweichen und ansetzen	D_MEASURE+SH_MOIST+O_PREP	abgemessener Feuchtansatz	MEASURE
shear	erste Fraktion bis zur Mittelstufe einweichen	SH_MOIST+E_MIDDLE+AR_FRACTION_I	mäßig eingeweichte Fraktion I	FRACTION
