rank	locus	zl3b_line	manual_workshop_translation_de	notes
1	f105v.13	saiin opchedy qokchdy otar al kair okees lkchdal	Saatgutcharge III; vollständig getrocknetes Pulverpräparat; heiß angetrocknet und abgeschlossen; kalte Drogenfraktion I im Ansatz; Rohdroge I; heiße Drogenfraktion II; Charge vollständig erhitzten Ansatzes. Erhitze die Holzdroge vollständig und miss Rohdroge I ab.	lkchdal ist die finale gelernte Ganzkarte; Erhitzen und Abmessen bleiben beide sichtbar.
2	f51r.7	ychos ar eeckhy kcho qokchy qotal	Trockne hiervon eine Ansatzcharge; Drogenfraktion I; Arzneikompositum trocken in Grundform; Zubereitung heiß und trocken. Trockne den Ansatz heiß an; Rohdroge I kalt am Gradanfang.	eeckhy bleibt nominal; die Trocknungsbefehle stammen aus ychos und qokchy.
3	f16v.11	okytaiin chkchy saiin	Bringe den erhitzten Ansatz in Grundform auf Kältestufe III; trockne, erhitze, trockne erneut und schließe ab; Saatgutcharge III.	Der vollständige OKY-Block bewahrt Erhitzen, Grundform und anschließende Kühlung.
4	f17v.10	oytor okeor okar okol daiir ar	Kühle eine Portion Ansatz in Grundform ab; erhitze eine Portion Ansatz bis zur Mittelstufe; heiße Drogenfraktion I im Ansatz; heißer Ansatzstoff; abgemessene Fraktion III; Drogenfraktion I.	OY ist der erste Kühlbefehl; keine zusätzliche Entnahme oder Zugabe.
5	f50r.6	ykain shear ol kchedy okal qotor cheeor olkeedy daiin qoky	Erhitze hiervon auf Stufe II; weiche die erste Fraktion bis zur Mittelstufe ein. Grundansatz; heiß und bis zur mittleren Trockenstufe gebracht; Rohdroge I leicht erhitzt im Ansatz; kalte Drogenportion; eine Portion vollständig getrockneter Droge; Holzdrogenansatz vollständig erhitzt und abgeschlossen; drei Maße; leicht erhitzter Ansatz.	shear ist ein gerichteter Einweichprozess an Fraktion I, nicht Feuchtgut als Stoffname.
6	f77r.41	daiin sh qolchey qotedy qotal r ain chl s arol	Drei Maße einweichen. Gib den bis zur Mittelstufe getrockneten Drogenstoff hinzu und schließe ab; bis zur mittleren Kühlstufe gebracht; Rohdroge I kalt am Gradanfang; Wurzel; zwei Teile. Trockne Folgendes: Saatgutposten; Grundauszug, Fraktion I.	Das nackte sh übernimmt das Objekt aus den unmittelbar vorstehenden drei Maßen; kein Trägerstoff ergänzt.
7	f82r.32	taiin shedaiin chckhey lchey lcheckhy sheey lr chey rain	Kalt auf Stufe III; drei Dosen bis zur Mittelstufe eingeweichter Droge; Arzneikompositum trocken auf Mittelstufe; Drogenholz trocken gebunden in Form I. Trockne die Holzdroge bis zur Mittelstufe, bereite sie als Kompositum und schließe ab; vollständig eingeweicht; Wurzelholz; Trockenmittelstufe; Wurzeldroge in Charge II.	shedaiin bleibt eine gemessene Drogenangabe mit Einweichzustand; keine weitere Flüssigkeit.
8	f116r.34	qokain ar raiin shek okain y r shey qolchey okaiin shckhy qokam	Heiß auf Stufe II; Drogenfraktion I; Wurzelcharge III. Weiche bis zur Mittelstufe ein und erhitze; heißer Ansatz auf Stufe II; hierzu Wurzel; bis zur mittleren Einweichstufe. Gib den bis zur Mittelstufe getrockneten Drogenstoff hinzu und schließe ab; Ansatz auf Heizstufe III; Arzneikompositum feucht am Gradanfang. Nimm ein Maß und erhitze es.	shek erhält die sichtbare Reihenfolge Einweichen vor Erhitzen.
9	f112v.35	pched shedain qokaiin okees chedy checkhy	Trockne das Pulver bis zur Mittelstufe und schließe ab; zwei Dosen bis zur Mittelstufe eingeweichter Droge; heiß auf Stufe III; Charge vollständig erhitzten Ansatzes; trocken auf Mittelstufe und abgeschlossen; trockenes Arzneikompositum am Gradanfang.	pched ist die ausführbare Anfangsanweisung; kein Pulvermaß erfunden.
10	f113r.36	dcheey sheody shedain	Trockne eine Dosis vollständig und schließe ab; angefeuchteter Ansatz, abgeschlossen; zwei Dosen bis zur Mittelstufe eingeweichter Droge.	Alle drei Karten bleiben getrennt; dcheey enthält genau eine Dosis.
11	f115r.5	ycheedy chedar olkees sheed qodain qoteedy qokedy qokeed lchedar qotchedy ro	Trockne hiervon vollständig und stelle fertig; abgemessene Trockenfraktion I auf Mittelstufe; Charge vollständig erhitzten Drogenstoffs; Einweichung vollständig abgeschlossen; Stufe II; Kühlendstufe; mittlere Heizstufe. Erhitze bis zur Endstufe und schließe ab; getrocknete Holzfraktion I; kalt bis zur mittleren Trockenstufe gebracht; Wurzelansatz.	ro ist ein abschließendes nominales Produkt, kein zusätzlicher Befehl.
