surface	working_meaning_de	composition	strongest_rival_de	family
lkchdal	Holzdroge vollständig erhitzen und Rohdroge I abmessen	LEARNED_LKCHDAL_WHOLE	Holzdroge erhitzen, trocknen und Rohdroge I abmessen	WOOD
okeedal	Ansatz vollständig erhitzen und Rohdroge I abmessen	O_PREP+K_HOT+EE_END+D_MEASURE+AL_RAW_I	abgemessener Rohstoff-I-Ansatz der Heizendstufe	MEASURE
pched	Pulver bis zur Mittelstufe trocknen und abschließen	P_POWDER+CH_DRY+E_MIDDLE+D_TERM_CLOSE	mäßig getrocknetes Pulver abziehen	POWDER
dcheey	eine Dosis vollständig trocknen und abschließen	D_MEASURE+CH_DRY+EE_END+Y_START_OR_CLOSE	vollständig getrocknete Dosis	MEASURE
ro	Wurzelansatz	R_ROOT+O_PREP	Wurzeldroge ansetzen	ROOT
shek	bis zur Mittelstufe einweichen und erhitzen	SH_MOIST+E_MIDDLE+K_HOT	mäßig eingeweichte heiße Droge	ACTION
odl	Holzdroge im Ansatz abmessen	O_PREP+D_MEASURE+L_WOOD	abgemessener Holzdrogenansatz	MEASURE
okytaiin	erhitzten Ansatz in Grundform auf Kältestufe III bringen	OKY_HOT_PREP_BASE+T_COLD+AIIN_III	drei Teile erhitzten Ansatzes abkühlen	COLD
oytor	eine Portion Ansatz in Grundform abkühlen	OY_PREP_BASE+T_COLD+OR_PORTION	kalte Portion eines Ansatzes in Grundform	MEASURE
ykeor	erhitze hiervon eine Portion bis zur Mittelstufe	Y_REFERENCE+K_HOT+E_MIDDLE+OR_PORTION	erhitzte Portion dieser Droge	ACTION
orshy	eine Portion leicht einweichen und abschließen	OR_PORTION+SH_MOIST+Y_START_OR_CLOSE	leicht angefeuchtete Portion	MEASURE
chordy	Pflanzenteil fertigstellen	CHOR_PLANT_PART+DY_FINISHED	fertig bereiteter Blüten- oder Fruchtteil	PLANT_PART
daiinol	drei Dosen Drogenstoff abmessen	D_MEASURE+AIIN_III+OL_MATERIAL	Drogenstoff auf Dosisstufe III	MEASURE
tcheodal	abkühlen, bis zur Mittelstufe trocknen, ansetzen und Rohdroge I abmessen	T_COLD+CH_DRY+E_MIDDLE+O_PREP+D_MEASURE+AL_RAW_I	abgemessener kalt getrockneter Rohstoff-I-Ansatz	MEASURE
yteain	kühle hiervon zwei Teile bis zur Mittelstufe	Y_REFERENCE+T_COLD+E_MIDDLE+AIN_II	Kühlstufe II dieser Droge	COLD
cthal	Kraut- oder Blattdroge aus Rohdroge I	CTH_HERB+AL_RAW_I	Rohstoff-I-Krautdroge	HERB
loeees	Charge Holzdrogenansatz der letzten Stufe	L_WOOD+O_PREP+EEE_LONG_OR_FINAL+S_TERM_SPECIES	vollständig bereitete Holzdrogencharge	WOOD
chodys	eine Charge Trockenansatz fertigstellen	CH_DRY+O_PREP+DY_FINISHED+S_TERM_SPECIES	fertige Trockenansatz-Species	DRY
ytair	kühle hiervon die zweite Fraktion	Y_REFERENCE+T_COLD+AIR_FRACTION_II	zweite kalte Fraktion dieser Droge	FRACTION
dsho	eine Dosis Feuchtansatz abmessen	D_MEASURE+SH_MOIST+O_PREP	Feuchtansatz, eine Dosis	MEASURE
shear	erste Fraktion bis zur Mittelstufe einweichen	SH_MOIST+E_MIDDLE+AR_FRACTION_I	mäßig eingeweichte Fraktion I	FRACTION
eeckhy	Arzneikompositum trocken in Grundform	LEARNED_EECKHY_WHOLE	Arzneikompositum vollständig bereiten und abschließen	COMPOSITE
kchokchy	erhitzen, trocknen, ansetzen, erneut erhitzen und trocknen, dann abschließen	K_HOT+CH_DRY+O_PREP+K_HOT+CH_DRY+Y_START_OR_CLOSE	heiß nachgetrockneter Doppelansatz	ACTION
dalar	erste Fraktion Rohdroge I abmessen	D_MEASURE+AL_RAW_I+AR_FRACTION_I	abgemessene Rohstoff-I-Fraktion	MEASURE
alchdy	Rohdroge I trocknen und fertigstellen	AL_RAW_I+CH_DRY+DY_FINISHED	fertig getrockneter Rohstoff I	ACTION
sh	einweichen	SH_MOIST	angefeuchtete Droge	ACTION
psheedy	Pulver vollständig einweichen und fertigstellen	P_POWDER+SH_MOIST+EE_END+DY_FINISHED	fertiges vollständig angefeuchtetes Pulverpräparat	POWDER
tchar	erste Drogenfraktion abkühlen und trocknen	T_COLD+CH_DRY+AR_FRACTION_I	erste kalt getrocknete Fraktion	FRACTION
shedaiin	drei Dosen bis zur Mittelstufe eingeweichter Droge	SH_MOIST+E_MIDDLE+D_MEASURE+AIIN_III	eingeweichte Droge auf Dosisstufe III	MEASURE
olkair	zweite erhitzte Holzdrogenfraktion im Ansatz	O_PREP+L_WOOD+K_HOT+AIR_FRACTION_II	heißes Drogenmaterial der Fraktion II	FRACTION
sary	erste Saatgutfraktion abschließen	S_SEED+AR_FRACTION_I+Y_START_OR_CLOSE	Saatgut der ersten Fraktion in Grundform	SEED
dals	eine Charge Rohdroge I abmessen	D_MEASURE+AL_RAW_I+S_TERM_SPECIES	abgemessene Rohstoff-I-Species	MEASURE
ckhody	Arzneikompositum ansetzen und fertigstellen	CKH_COMPOSITE+O_PREP+DY_FINISHED	fertiger Arzneikompositum-Ansatz	COMPOSITE
lkeol	Holzdrogenstoff bis zur Mittelstufe erhitzen	L_WOOD+K_HOT+E_MIDDLE+OL_MATERIAL	mäßig erhitzter Holzdrogenauszug	WOOD
shokol	eingeweichten Drogenstoff im Ansatz erhitzen	SH_MOIST+O_PREP+K_HOT+OL_MATERIAL	Feuchtansatz als erhitzter Drogenstoff	ACTION
ytchas	kühle und trockne hiervon einen Teil der Charge	Y_REFERENCE+T_COLD+CH_DRY+A_PART_OR_LINK+S_TERM_SPECIES	kalte Trockencharge dieser Droge	ACTION
oeees	Ansatzcharge der letzten Stufe	O_PREP+EEE_LONG_OR_FINAL+S_TERM_SPECIES	lange bereitete Arzneispecies	PREPARATION
