surface	working_meaning_de	composition	strongest_rival_de	family
lkchdal	miss Rohdroge I aus heiß getrockneter Holzdroge ab	L_WOOD+K_HOT+CH_DRY+D_MEASURE+AL_RAW_I	Dosis Rohdroge I mit heiß getrocknetem Holz	WOOD_MEASURE
okeedal	miss Rohdroge I aus vollständig erhitztem Ansatz ab	O_PREP+K_HOT+EE_END+D_MEASURE+AL_RAW_I	vollständig erhitzte Rohdroge I im Ansatz	HEAT_MEASURE
pched	Pulver bis zur Mittelstufe trocknen und abschließen	P_POWDER+CH_DRY+E_MIDDLE+D_TERM_CLOSE	mäßig getrocknetes Pulver	POWDER
dcheey	eine Dosis vollständig trocknen und abschließen	D_MEASURE+CH_DRY+EE_END+Y_START_OR_CLOSE	Dosis vollständig getrockneter Droge	MEASURE
ro	Wurzelansatz	R_ROOT+O_PREP	Wurzel in Ansatzwasser	ROOT
shek	bis zur Mittelstufe einweichen und dann erhitzen	SH_MOIST+E_MIDDLE+K_HOT	mäßig erwärmte Feuchtdroge	SOAK_HEAT
odl	miss Holzdroge für einen Ansatz ab	O_PREP+D_MEASURE+L_WOOD	Dosis Holzdrogenansatz	WOOD_MEASURE
okytaiin	Ansatz erhitzen, danach auf Kältestufe III bringen	LEARNED_OKYTAIIN_WHOLE	heißer Ansatz leicht abgeschlossen, dann drei Teile Kaltgut	HEAT_COLD
oytor	kühle hiervon eine Ansatzportion	LEARNED_OYTOR_WHOLE	Portion leicht gekühlten Ansatzes	COLD_MEASURE
ykeor	nimm hiervon eine bis zur Mittelstufe erhitzte Portion	Y_REFERENCE+K_HOT+E_MIDDLE+OR_PORTION	mäßig erhitzte Portion hiervon	HEAT_MEASURE
orshy	eine Portion leicht eingeweichter Droge	OR_PORTION+SH_MOIST+Y_START_OR_CLOSE	weiche eine Portion leicht ein	SOAK_MEASURE
chordy	Pflanzenteil fertigstellen	CHOR_PLANT_PART+DY_FINISHED	fertiger Blüten- oder Fruchtteil	PLANT_PART
daiinol	drei Dosen Drogenstoff	D_MEASURE+AIIN_III+OL_MATERIAL	drei Teile abgemessener Auszug	MEASURE
tcheodal	miss Rohdroge I aus mäßig kaltgetrocknetem Ansatz ab	T_COLD+CH_DRY+E_MIDDLE+O_PREP+D_MEASURE+AL_RAW_I	Dosis mäßig kaltgetrocknete Rohdroge I	COLD_DRY
yteain	kühle hiervon bis zur Mittelstufe und schließe auf Stufe II	Y_REFERENCE+T_COLD+E_MIDDLE+AIN_II	kalte Zubereitung hiervon auf Stufe II	COLD
cthal	Krautdroge, Rohstoff I	CTH_HERB+AL_RAW_I	rohe Blattdroge erster Klasse	HERB
loeees	Holzdrogenansatz bis zur letzten Stufe bereiten und als Charge schließen	L_WOOD+O_PREP+EEE_LONG_OR_FINAL+S_TERM_SPECIES	Holzansatz der letzten Arzneispecies	WOOD
chodys	Trockenansatz fertigstellen und als Charge schließen	CH_DRY+O_PREP+DY_FINISHED+S_TERM_SPECIES	fertige Trockenansatzspecies	DRY
ytair	kühle hiervon die zweite Fraktion	Y_REFERENCE+T_COLD+AIR_FRACTION_II	zweite gekühlte Fraktion hiervon	FRACTION
dsho	eine Dosis Einweichansatz	D_MEASURE+SH_MOIST+O_PREP	miss angefeuchteten Ansatz ab	SOAK_MEASURE
shear	erste bis zur Mittelstufe eingeweichte Fraktion	SH_MOIST+E_MIDDLE+AR_FRACTION_I	weiche die erste Fraktion bis zur Mittelstufe ein	FRACTION
eeckhy	Arzneikompositum vollständig bereiten und abschließen	EE_END+CKH_COMPOSITE+Y_START_OR_CLOSE	vollständig bereitetes Arzneikompositum	COMPOSITE
kchokchy	erhitze, trockne, setze an, erhitze erneut und trockne leicht	K_HOT+CH_DRY+O_PREP+K_HOT+CH_DRY+Y_START_OR_CLOSE	heiß nachgetrockneter Doppelansatz	HEAT_DRY
dalar	miss die erste Fraktion Rohdroge I ab	D_MEASURE+AL_RAW_I+AR_FRACTION_I	abgemessene Rohstofffraktion I	FRACTION
alchdy	Rohdroge I trocknen und fertigstellen	AL_RAW_I+CH_DRY+DY_FINISHED	fertig getrocknete Rohdroge I	DRY
sh	weiche ein	SH_MOIST	angefeuchtete Droge	SOAK
psheedy	Pulver vollständig einweichen und fertigstellen	P_POWDER+SH_MOIST+EE_END+DY_FINISHED	fertiges vollständig eingeweichtes Pulverpräparat	POWDER
tchar	erste kaltgetrocknete Fraktion	T_COLD+CH_DRY+AR_FRACTION_I	kühle und trockne Fraktion I	FRACTION
shedaiin	drei Dosen bis zur Mittelstufe eingeweichter Droge	SH_MOIST+E_MIDDLE+D_MEASURE+AIIN_III	drei Teile mäßig eingeweichte Droge	MEASURE
olkair	zweite erhitzte Fraktion des Drogenstoffs	OL_MATERIAL+K_HOT+AIR_FRACTION_II	erhitze die zweite Drogenstofffraktion	FRACTION
sary	erste Saatgutfraktion, abgeschlossen	S_SEED+AR_FRACTION_I+Y_START_OR_CLOSE	leicht bereitete Saatgutfraktion I	SEED
dals	eine Dosis Rohdroge I als Charge	D_MEASURE+AL_RAW_I+S_TERM_SPECIES	abgemessene Rohstoffspecies	MEASURE
ckhody	Arzneikompositum ansetzen und fertigstellen	CKH_COMPOSITE+O_PREP+DY_FINISHED	fertiges Kompositum im Ansatz	COMPOSITE
lkeol	Holzdrogenstoff bis zur Mittelstufe erhitzen	L_WOOD+K_HOT+E_MIDDLE+OL_MATERIAL	mäßig erhitzter Holzauszug	WOOD
shokol	Drogenstoff einweichen, ansetzen und erhitzen	SH_MOIST+O_PREP+K_HOT+OL_MATERIAL	heißer Auszug aus eingeweichter Droge	SOAK_HEAT
ytchas	trockne und kühle hiervon einen Teil als Charge	Y_REFERENCE+T_COLD+CH_DRY+A_PART_OR_LINK+S_TERM_SPECIES	kaltgetrocknete Charge hiervon	COLD_DRY
oeees	Ansatzcharge der letzten Stufe	O_PREP+EEE_LONG_OR_FINAL+S_TERM_SPECIES	lange bereitete Arzneispecies	PREPARATION
