unified_index	kind	page	local_unit	visible_id	source_position_id	surface_or_opaque_id	dictionary_or_namespace_id	literal_value_de	practical_expansion_de	provenance	blank
U001	PROSE_CARD	f10r	H1-S001	E001	SRC_E001	dchey	PROC001	abziehen · kurz · dies	Bei abgebildete breit gezähnte radialblütige Pflanze: abziehen kurz dies	COMPOSITIONAL	NO
U002	PROSE_CARD	f10r	H1-S001	E002	SRC_E002	cthoor	PROC002	bereit · Arbeitsgang · Ansatz	Bei abgebildete breit gezähnte radialblütige Pflanze: bereit Arbeitsgang Ansatz	COMPOSITIONAL	NO
U003	PROSE_CARD	f10r	H1-S001	E003	SRC_E003	char	PROC003	von dort	Bei abgebildete breit gezähnte radialblütige Pflanze: von dort	COMPOSITIONAL	NO
U004	PROSE_CARD	f10r	H1-S001	E004	SRC_E004	chty	PROC004	eintragen · dies	Bei abgebildete breit gezähnte radialblütige Pflanze: eintragen dies	COMPOSITIONAL	NO
U005	PROSE_CARD	f10r	H1-S001	E005	SRC_E005	os	PROC005	Arbeitsfach	Bei abgebildete breit gezähnte radialblütige Pflanze: Arbeitsfach	LEARNED_WHOLE_CARD	NO
U006	PROSE_CARD	f10r	H1-S001	E006	SRC_E006	chair	PROC006	abziehen · Lauf	Bei abgebildete breit gezähnte radialblütige Pflanze: abziehen Lauf	COMPOSITIONAL	NO
U007	PROSE_CARD	f10r	H1-S001	E007	SRC_E007	otytchol	PROC007	danach · dies · eintragen · abziehen · fortsetzen	Bei abgebildete breit gezähnte radialblütige Pflanze: danach dies eintragen abziehen fortsetzen	COMPOSITIONAL	NO
U008	PROSE_CARD	f10r	H1-S001	E008	SRC_E008	oky	PROC008	ansetzen · dies	Bei abgebildete breit gezähnte radialblütige Pflanze: ansetzen dies	COMPOSITIONAL	NO
U009	PROSE_CARD	f10r	H1-S001	E009	SRC_E009	daiin	PROC009	Maß	Bei abgebildete breit gezähnte radialblütige Pflanze: Maß	COMPOSITIONAL	NO
U010	PROSE_CARD	f10r	H1-S001	E010	SRC_E010	etyd	PROC010	kurz · eintragen · dies	Bei abgebildete breit gezähnte radialblütige Pflanze: kurz eintragen dies	COMPOSITIONAL	NO
U011	PROSE_CARD	f10r	H1-S002	E011	SRC_E011	qokchy	PROC011	ansetzen · dies	Bei abgebildete breit gezähnte radialblütige Pflanze: ansetzen dies	COMPOSITIONAL	NO
U012	PROSE_CARD	f10r	H1-S002	E012	SRC_E012	qotchol	PROC012	danach · abziehen · fortsetzen	Bei abgebildete breit gezähnte radialblütige Pflanze: danach abziehen fortsetzen	COMPOSITIONAL	NO
U013	PROSE_CARD	f10r	H1-S002	E013	SRC_E013	chol	PROC013	fortsetzen	Bei abgebildete breit gezähnte radialblütige Pflanze: fortsetzen	COMPOSITIONAL	NO
U014	PROSE_CARD	f10r	H1-S002	E014	SRC_E014	cthy	PROC014	bereit · dies	Bei abgebildete breit gezähnte radialblütige Pflanze: bereit dies	COMPOSITIONAL	NO
