statement_id	page	record	silent_owners_de	event_ids	surface_sequence	component_sequence	complete_practical_reading_de	terminal	crosses_owner_boundary	purpose
H1-S001	f10r	H1	abgebildete breit gezähnte radialblütige Pflanze	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	dchey cthoor char chty os chair otytchol oky daiin etyd	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y	Bei abgebildete breit gezähnte radialblütige Pflanze; dann abziehen kurz dies; dann bereit Arbeitsgang Ansatz; dann von dort; dann eintragen dies; dann Arbeitsfach; dann abziehen Lauf; dann danach dies eintragen abziehen fortsetzen; dann ansetzen dies; dann Maß; dann kurz eintragen dies.	NO	NO	PLANT_MATERIAL_PROCESS
H1-S002	f10r	H1	abgebildete breit gezähnte radialblütige Pflanze	E011|E012|E013|E014	qokchy qotchol chol cthy	OK+Y | OT+CH+OL | OL | CTH+Y	Bei abgebildete breit gezähnte radialblütige Pflanze; dann ansetzen dies; dann danach abziehen fortsetzen; dann fortsetzen; dann bereit dies.	NO	NO	PLANT_MATERIAL_PROCESS
H2-S001	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	E015|E016|E017|E018|E019|E020|E021|E022|E023	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y	Bei abgebildete breit gezähnte radialblütige Pflanze; dann dies abziehen kurz Ansatz; dann bereit dies; dann Ansatz; dann bereit Maß; dann Arbeitsgang bereit fortsetzen dies; dann dies; dann dies; dann Maß; dann dies.	NO	NO	PLANT_MATERIAL_PROCESS
H2-S002	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	E024|E025|E026|E027|E028|E029|E030|E031	qotchor chor otol chol cholor chol daiin dar	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	Bei abgebildete breit gezähnte radialblütige Pflanze; dann danach abziehen Ansatz; dann Ansatz; dann danach fortsetzen; dann fortsetzen; dann fortsetzen Ansatz; dann fortsetzen; dann Maß; dann von dort.	NO	NO	PLANT_MATERIAL_PROCESS
H2-S003	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	E032|E033|E034|E035|E036|E037|E038	oykchor shor chor chy kaiiin dy chodaiin	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	Bei abgebildete breit gezähnte radialblütige Pflanze; dann Arbeitsgang dies zuführen Ansatz; dann Ansatz; dann Ansatz; dann dies; dann zuführen Sollstufe; dann dies; dann abziehen Arbeitsgang Maß.	NO	NO	PLANT_MATERIAL_PROCESS
H3-S001	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	E039|E040|E041|E042|E043|E044|E045	tshol schoal cfhy shfydaiin cphy shey tchody	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	Bei abgebildete dicht blau blühende Kronenpflanze; dann eintragen halten fortsetzen; dann halten Arbeitsgang Zielstelle; dann auswringen dies; dann halten dies Maß; dann hinein dies; dann halten länger dies; dann eintragen abziehen Arbeitsgang; schließen.	YES	NO	PLANT_MATERIAL_PROCESS
H3-S002	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	E046	shoyty	SH+O+Y+T+Y	Bei abgebildete dicht blau blühende Kronenpflanze; dann halten Arbeitsgang dies eintragen dies.	NO	NO	PLANT_MATERIAL_PROCESS
H3-S003	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	E047|E048|E049|E050|E051	dchol chy kchy dy daiin	OL | Y | K+Y | Y | AIIN	Bei abgebildete dicht blau blühende Kronenpflanze; dann fortsetzen; dann dies; dann zuführen dies; dann dies; dann Maß.	NO	NO	PLANT_MATERIAL_PROCESS
H3-S004	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	E052|E053|E054|E055	qotchy okchol cthy dy	OT+Y | OK+OL | CTH+Y | Y	Bei abgebildete dicht blau blühende Kronenpflanze; dann danach dies; dann ansetzen fortsetzen; dann bereit dies; dann dies.	NO	NO	PLANT_MATERIAL_PROCESS
H4-S001	f55v	H4	abgebildete breitblättrige rispige Pflanze	E056|E057|E058|E059|E060	qokaiin chaiin ykain ykan ody	OK+AIIN | AIIN | Y+K+AIN | Y+K+AIN | O+DY	Bei abgebildete breitblättrige rispige Pflanze; dann ansetzen Maß; dann Maß; dann dies zuführen Portion; dann dies zuführen Portion; dann Arbeitsgang; schließen.	YES	NO	PLANT_MATERIAL_PROCESS
H4-S002	f55v	H4	abgebildete breitblättrige rispige Pflanze	E061|E062|E063	daiin chedy talam	AIIN | CHD+Y | TALAM	Bei abgebildete breitblättrige rispige Pflanze; dann Maß; dann umsetzen dies; dann verwahren.	NO	NO	PLANT_MATERIAL_PROCESS
H4-S003	f55v	H4	abgebildete breitblättrige rispige Pflanze	E064|E065|E066|E067	ykaiin cheoar cheeky oldy	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	Bei abgebildete breitblättrige rispige Pflanze; dann dies zuführen Maß; dann abziehen kurz Arbeitsgang von dort; dann wärmen länger dies; dann fortsetzen; schließen.	YES	NO	PLANT_MATERIAL_PROCESS
H4-S004	f55v	H4	abgebildete breitblättrige rispige Pflanze	E068|E069|E070|E071|E072|E073	aiin okal oltchy or y orain	AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN	Bei abgebildete breitblättrige rispige Pflanze; dann Maß; dann ansetzen Zielstelle; dann fortsetzen eintragen dies; dann Ansatz; dann dies; dann Ansatz Portion.	NO	NO	PLANT_MATERIAL_PROCESS
H5-S001	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	E074|E075|E076|E077|E078|E079|E080|E081|E082	chochor cho chodaly daiin sho kchol otchor choky dal	HO+CH+OR | HO | HO+AL+Y | AIIN | HO | K+OL | OT+CH+OR | OK+Y | AL	Bei abgebildete mehrköpfige stachelige Pflanze; dann Gabe abziehen Ansatz; dann Gabe; dann Gabe Zielstelle dies; dann Maß; dann Gabe; dann zuführen fortsetzen; dann danach abziehen Ansatz; dann ansetzen dies; dann Zielstelle.	NO	NO	PLANT_MATERIAL_PROCESS
H5-S002	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	E083|E084|E085|E086	schol choy choky cheeckhody	OL | HO+Y | OK+Y | CH+EE+CKH+O+DY	Bei abgebildete mehrköpfige stachelige Pflanze; dann fortsetzen; dann Gabe dies; dann ansetzen dies; dann abziehen länger Durchlass Arbeitsgang; schließen.	YES	NO	PLANT_MATERIAL_PROCESS
H5-S003	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	E087|E088|E089|E090	sh cho kchey qokokchy	SH | HO | K+E+Y | OK+OK+Y	Bei abgebildete mehrköpfige stachelige Pflanze; dann halten; dann Gabe; dann zuführen kurz dies; dann ansetzen ansetzen dies.	NO	NO	PLANT_MATERIAL_PROCESS
H5-S004	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	E091|E092|E093	okchy chokcheo kchal	OK+Y | OK+CH+E+O | K+AL	Bei abgebildete mehrköpfige stachelige Pflanze; dann ansetzen dies; dann ansetzen abziehen kurz Arbeitsgang; dann zuführen Zielstelle.	NO	NO	PLANT_MATERIAL_PROCESS
H5-S005	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	E094|E095|E096|E097	sho chokchy kchoar sotodan	HO | OK+Y | K+HO+AR | OT+O+AIN	Bei abgebildete mehrköpfige stachelige Pflanze; dann Gabe; dann ansetzen dies; dann zuführen Gabe von dort; dann danach Arbeitsgang Portion.	NO	NO	PLANT_MATERIAL_PROCESS
H5-S006	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	E098|E099|E100	otchey keol daiin	OT+Y | K+E+OL | AIIN	Bei abgebildete mehrköpfige stachelige Pflanze; dann danach dies; dann zuführen kurz fortsetzen; dann Maß.	NO	NO	PLANT_MATERIAL_PROCESS
B1-S001	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	E101	qokedy	OK+E+DY	Bei gemeinsame zweireihige Figuren-/Beckenstation; dann ansetzen kurz; schließen.	YES	NO	WET_WORKSHOP_OPERATION
B1-S002	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112|E113|E114|E115|E116|E117|E118|E119|E120	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY	Bei gemeinsame zweireihige Figuren-/Beckenstation; dann ansetzen Maß; dann zuführen Lauf; dann ansetzen Zielstelle; dann von dort; dann fortsetzen; dann zuführen Portion; dann fortsetzen zuführen Portion; dann Zielstelle; dann fortsetzen; dann abkühlen fortsetzen; dann führen; dann fortsetzen Ansatz; dann fortsetzen; dann halten kurz Durchlass Zielstelle; dann Maß; dann ansetzen länger Zielstelle; dann Maß; dann Durchlass dies; dann umsetzen; schließen.	YES	NO	WET_WORKSHOP_OPERATION
B1-S003	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	E121|E122	qol sshkchdy	OL | SH+K+CHD+DY	Bei gemeinsame zweireihige Figuren-/Beckenstation; dann fortsetzen; dann halten zuführen umsetzen; schließen.	YES	NO	WET_WORKSHOP_OPERATION
B1-S004	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	E123|E124|E125	chedy ol shedy	CHD+Y | OL | SHED+DY	Bei gemeinsame zweireihige Figuren-/Beckenstation; dann umsetzen dies; dann fortsetzen; dann absetzen; schließen.	YES	NO	WET_WORKSHOP_OPERATION
B1-S005	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	E126	qolchedy	OL+CHD+DY	Bei gemeinsame zweireihige Figuren-/Beckenstation; dann fortsetzen umsetzen; schließen.	YES	NO	WET_WORKSHOP_OPERATION
B1-S006	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	E127|E128|E129|E130	qokain shckhy dl ral	OK+AIN | CKH+Y | L | R+AL	Bei gemeinsame zweireihige Figuren-/Beckenstation; dann ansetzen Portion; dann Durchlass dies; dann führen; dann abkühlen Zielstelle.	NO	NO	WET_WORKSHOP_OPERATION
