event_id	source_position_id	page	record	statement_id	locus	silent_owner_de	surface	card_no	component_parse	literal_card_reading_de	practical_clause_de	composition_status	purpose_section	copy_status
E001	SRC_E001	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	dchey	PROC001	CH+E+Y	abziehen · kurz · dies	abziehen kurz dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E002	SRC_E002	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	cthoor	PROC002	CTH+O+OR	bereit · Arbeitsgang · Ansatz	bereit Arbeitsgang Ansatz	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E003	SRC_E003	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	char	PROC003	AR	von dort	von dort	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E004	SRC_E004	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	chty	PROC004	T+Y	eintragen · dies	eintragen dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E005	SRC_E005	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	os	PROC005	OS	Arbeitsfach	Arbeitsfach	LEARNED_WHOLE_CARD	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E006	SRC_E006	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	chair	PROC006	CH+AIR	abziehen · Lauf	abziehen Lauf	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E007	SRC_E007	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	otytchol	PROC007	OT+Y+T+CH+OL	danach · dies · eintragen · abziehen · fortsetzen	danach dies eintragen abziehen fortsetzen	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E008	SRC_E008	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	oky	PROC008	OK+Y	ansetzen · dies	ansetzen dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E009	SRC_E009	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	daiin	PROC009	AIIN	Maß	Maß	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E010	SRC_E010	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	etyd	PROC010	E+T+Y	kurz · eintragen · dies	kurz eintragen dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E011	SRC_E011	f10r	H1	H1-S002	f10r.5	abgebildete breit gezähnte radialblütige Pflanze	qokchy	PROC011	OK+Y	ansetzen · dies	ansetzen dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E012	SRC_E012	f10r	H1	H1-S002	f10r.5	abgebildete breit gezähnte radialblütige Pflanze	qotchol	PROC012	OT+CH+OL	danach · abziehen · fortsetzen	danach abziehen fortsetzen	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E013	SRC_E013	f10r	H1	H1-S002	f10r.5	abgebildete breit gezähnte radialblütige Pflanze	chol	PROC013	OL	fortsetzen	fortsetzen	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E014	SRC_E014	f10r	H1	H1-S002	f10r.5	abgebildete breit gezähnte radialblütige Pflanze	cthy	PROC014	CTH+Y	bereit · dies	bereit dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E015	SRC_E015	f10r	H2	H2-S001	f10r.6	abgebildete breit gezähnte radialblütige Pflanze	ycheor	PROC015	Y+CH+E+OR	dies · abziehen · kurz · Ansatz	dies abziehen kurz Ansatz	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E016	SRC_E016	f10r	H2	H2-S001	f10r.6	abgebildete breit gezähnte radialblütige Pflanze	cthy	PROC014	CTH+Y	bereit · dies	bereit dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E017	SRC_E017	f10r	H2	H2-S001	f10r.6	abgebildete breit gezähnte radialblütige Pflanze	chor	PROC016	OR	Ansatz	Ansatz	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E018	SRC_E018	f10r	H2	H2-S001	f10r.6	abgebildete breit gezähnte radialblütige Pflanze	cthaiin	PROC017	CTH+AIIN	bereit · Maß	bereit Maß	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E019	SRC_E019	f10r	H2	H2-S001	f10r.6	abgebildete breit gezähnte radialblütige Pflanze	qoctholy	PROC018	O+CTH+OL+Y	Arbeitsgang · bereit · fortsetzen · dies	Arbeitsgang bereit fortsetzen dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E020	SRC_E020	f10r	H2	H2-S001	f10r.6	abgebildete breit gezähnte radialblütige Pflanze	dy	PROC019	Y	dies	dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E021	SRC_E021	f10r	H2	H2-S001	f10r.6	abgebildete breit gezähnte radialblütige Pflanze	chy	PROC019	Y	dies	dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E022	SRC_E022	f10r	H2	H2-S001	f10r.6	abgebildete breit gezähnte radialblütige Pflanze	taiin	PROC009	AIIN	Maß	Maß	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E023	SRC_E023	f10r	H2	H2-S001	f10r.6	abgebildete breit gezähnte radialblütige Pflanze	shy	PROC019	Y	dies	dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E024	SRC_E024	f10r	H2	H2-S002	f10r.8	abgebildete breit gezähnte radialblütige Pflanze	qotchor	PROC020	OT+CH+OR	danach · abziehen · Ansatz	danach abziehen Ansatz	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E025	SRC_E025	f10r	H2	H2-S002	f10r.8	abgebildete breit gezähnte radialblütige Pflanze	chor	PROC016	OR	Ansatz	Ansatz	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
