group_serial	source_position_id	page	diagram_id	locus	event_index_within_locus	opaque_local_id	local_namespace	local_image_owner	literal_group_reading_de	practical_almanac_expansion_de	purpose_section	orientation	crosspage_join	prose_card_import
1	ASTRO_A1:G001	f67r2	A1	f67r2.1	1	A1:G001	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_01	Etikettsegment 1 am lokalen Bildplatz	f67r2.1: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
2	ASTRO_A1:G002	f67r2	A1	f67r2.1	2	A1:G002	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_01	Etikettsegment 2 am lokalen Bildplatz	f67r2.1: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
3	ASTRO_A1:G003	f67r2	A1	f67r2.1	3	A1:G003	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_01	Etikettsegment 3 am lokalen Bildplatz	f67r2.1: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
4	ASTRO_A1:G004	f67r2	A1	f67r2.2	1	A1:G004	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_02	Etikettsegment 1 am lokalen Bildplatz	f67r2.2: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
5	ASTRO_A1:G005	f67r2	A1	f67r2.2	2	A1:G005	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_02	Etikettsegment 2 am lokalen Bildplatz	f67r2.2: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
6	ASTRO_A1:G006	f67r2	A1	f67r2.2	3	A1:G006	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_02	Etikettsegment 3 am lokalen Bildplatz	f67r2.2: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
7	ASTRO_A1:G007	f67r2	A1	f67r2.3	1	A1:G007	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_03	Etikettsegment 1 am lokalen Bildplatz	f67r2.3: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
8	ASTRO_A1:G008	f67r2	A1	f67r2.3	2	A1:G008	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_03	Etikettsegment 2 am lokalen Bildplatz	f67r2.3: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
9	ASTRO_A1:G009	f67r2	A1	f67r2.3	3	A1:G009	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_03	Etikettsegment 3 am lokalen Bildplatz	f67r2.3: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
10	ASTRO_A1:G010	f67r2	A1	f67r2.4	1	A1:G010	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_04	Etikettsegment 1 am lokalen Bildplatz	f67r2.4: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
11	ASTRO_A1:G011	f67r2	A1	f67r2.4	2	A1:G011	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_04	Etikettsegment 2 am lokalen Bildplatz	f67r2.4: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
12	ASTRO_A1:G012	f67r2	A1	f67r2.5	1	A1:G012	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_05	Etikettsegment 1 am lokalen Bildplatz	f67r2.5: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
13	ASTRO_A1:G013	f67r2	A1	f67r2.5	2	A1:G013	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_05	Etikettsegment 2 am lokalen Bildplatz	f67r2.5: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
