body	occurrence_total	concrete_body_role_de	family	confidence	positive_evidence	counterevidence	scope
ain	86	Ordinal-/Wertstufe II	VALUE_LADDER	HIGH	GDT626_LADDER+V99_WHOLE+86_MULTIHEAD	DIMENSION_OPEN	HELD_WHOLES_ONLY
kaiin	51	erhitzte Form: Index III	HEAT_VALUE	HIGH	STATE_LATTICE+V99_WHOLE+51_MULTIHEAD	STATE_VS_PROCESS+DIMENSION_OPEN	HELD_WHOLES_ONLY
keey	39	erhitzte Form II	HEAT_STATE	HIGH	STATE_LATTICE+V99_WHOLE+39_MULTIHEAD	STATE_VS_PROCESS	HELD_WHOLES_ONLY
kain	34	erhitzte Form: Index II	HEAT_VALUE	HIGH	STATE_LATTICE+V99_WHOLE+34_MULTIHEAD	STATE_VS_PROCESS+DIMENSION_OPEN	HELD_WHOLES_ONLY
o	34	Ansatz-/Zubereitungsrahmen	PREPARATION_CARRIER	LOW	146_BARE+34_MULTIHEAD+V99_W0_WHOLE	WATER_IDENTITY_REJECTED+SEMANTICALLY_BROAD	HELD_WHOLES_ONLY
kar	33	erhitzte Teil-/Fraktionsstufe I	HEATED_PART	HIGH	PART_LATTICE+V99_WHOLE+33_MULTIHEAD	STATE_VS_PROCESS	HELD_WHOLES_ONLY
ky	21	erhitzte Grundform	HEAT_STATE	HIGH	STATE_LATTICE+V99_WHOLE+21_MULTIHEAD	STATE_VS_PROCESS	HELD_WHOLES_ONLY
chor	19	trockener Teil-/Portionsträger	DRY_PART	MEDIUM	DRY_PLUS_PART_FAMILY+190_BARE+19_MULTIHEAD	PLANT_PART_RIVAL+COMPOSITION_NOT_EXPORTABLE	HELD_WHOLES_ONLY
cheol	18	Trockenmaterial	DRY_MATERIAL	MEDIUM_HIGH	DRY_PLUS_MATERIAL_FAMILY+V99_WHOLE+18_MULTIHEAD	PATIENT_OPEN	HELD_WHOLES_ONLY
chedar	13	abgemessene Trockenfraktion I, Form I	DRY_DOSED_PART	MEDIUM_HIGH	V99_WHOLE+DRY_PART_VALUE_FAMILY+13_MULTIHEAD	MEASURE_VS_STATE+COMPOSITION_NOT_EXPORTABLE	HELD_WHOLES_ONLY
cho	11	trockener Ansatz oder Zubereitung	DRY_PREPARATION	HIGH	V99_WHOLE+GDT736_CHEO_NEIGHBOR+11_MULTIHEAD	ANSATZ_VS_STATE	HELD_WHOLES_ONLY
r	11	verschachtelter H3-Kopf oder Bezugsslot	NESTED_HEAD	STRUCTURE_ONLY	SINGLE_OPAQUE_HEAD_AS_BODY+11_MULTIHEAD	SEGMENTATION_OPEN+NO_BODY_SEMANTICS	STRUCTURE_ONLY
sheedy	11	angefeuchtetes oder eingeweichtes Ergebnis, Form II	MOIST_RESULT	HIGH	STATE_LATTICE+V99_WHOLE+11_MULTIHEAD	MOIST_VS_SOAKED	HELD_WHOLES_ONLY
ary	10	Teil-/Fraktionsstufe I, abgeschlossen	PART_CLOSE	HIGH	V99_WHOLE+EXACT_BOS_EOS_FRAME+10_MULTIHEAD	CLOSURE_VS_BASE_FORM	HELD_WHOLES_ONLY
cheedy	10	getrocknetes Ergebnis, Form II	DRY_RESULT	HIGH	STATE_LATTICE+V99_WHOLE+10_MULTIHEAD	STATE_VS_PROCESS	HELD_WHOLES_ONLY
chal	9	trockenes Material, Stufe I	DRY_MATERIAL	HIGH	DRY_PLUS_MATERIAL_LATTICE+V99_WHOLE+9_MULTIHEAD	DIMENSION_OPEN	HELD_WHOLES_ONLY
olaiin	9	Materialträger: Wert III	MATERIAL_VALUE	HIGH	VALUE_LADDER+V99_WHOLE+9_MULTIHEAD	AMOUNT_VS_CLASS+OLD_ABSOLUTE_NUMBER_UNSUPPORTED	HELD_WHOLES_ONLY
sheey	9	feuchte oder angeweichte Form II	MOIST_STATE	HIGH	STATE_LATTICE+V99_WHOLE+9_MULTIHEAD	MOIST_VS_SOAKED	HELD_WHOLES_ONLY
char	8	trockene Teil-/Fraktionsstufe I	DRY_PART	MEDIUM_HIGH	DRY_PLUS_PART_LATTICE+V99_WHOLE+8_MULTIHEAD	CHAR_VS_CHEAR_DISTINCTION_OPEN	HELD_WHOLES_ONLY
ched	8	getrocknetes Ergebnis, Mittel-/Schlussform	DRY_RESULT	MEDIUM_HIGH	V99_WHOLE+DRY_RESULT_FAMILY+8_MULTIHEAD	NO_TERMINAL_Y+EXACT_TIER_OPEN	HELD_WHOLES_ONLY
chody	8	trocken aufbereitetes Ergebnis, Grundform	DRY_PREP_RESULT	MEDIUM_HIGH	GDT736_ODY_FAMILY+V99_WHOLE+8_MULTIHEAD	LIGHT_DRY_RIVAL+COMPOSITION_NOT_EXPORTABLE	HELD_WHOLES_ONLY
