card_no	component_parse	literal_reading_de	fluent_command_de	occurrences	composition_status	component_values_unchanged
PROC001	CH+E+Y	abziehen · kurz · dies	diesen Posten kurz abziehen	1	COMPOSITIONAL	YES
PROC002	CTH+O+OR	bereit · Arbeitsgang · Ansatz	den Arbeitsgang ausführen	1	COMPOSITIONAL	YES
PROC003	AR	von dort	von dort nehmen	5	COMPOSITIONAL	YES
PROC004	T+Y	eintragen · dies	diesen Posten eintragen	2	COMPOSITIONAL	YES
PROC005	OS	Arbeitsfach	das Arbeitsfach wählen	1	LEARNED_WHOLE_CARD	YES
PROC006	CH+AIR	abziehen · Lauf	den Posten aus dem Lauf abziehen	1	COMPOSITIONAL	YES
PROC007	OT+Y+T+CH+OL	danach · dies · eintragen · abziehen · fortsetzen	danach diesen Posten eintragen und abziehen und fortsetzen	1	COMPOSITIONAL	YES
PROC008	OK+Y	ansetzen · dies	diesen Posten ansetzen	10	COMPOSITIONAL	YES
PROC009	AIIN	Maß	das Maß setzen	20	COMPOSITIONAL	YES
PROC010	E+T+Y	kurz · eintragen · dies	diesen Posten kurz eintragen	1	COMPOSITIONAL	YES
PROC011	OK+Y	ansetzen · dies	diesen Posten ansetzen	3	COMPOSITIONAL	YES
PROC012	OT+CH+OL	danach · abziehen · fortsetzen	danach den Posten abziehen und fortsetzen	1	COMPOSITIONAL	YES
PROC013	OL	fortsetzen	den Posten fortsetzen	19	COMPOSITIONAL	YES
PROC014	CTH+Y	bereit · dies	diesen Posten bis bereit halten	7	COMPOSITIONAL	YES
PROC015	Y+CH+E+OR	dies · abziehen · kurz · Ansatz	diesen Posten kurz abziehen	1	COMPOSITIONAL	YES
PROC016	OR	Ansatz	den Ansatz verwenden	7	COMPOSITIONAL	YES
PROC017	CTH+AIIN	bereit · Maß	das Maß setzen	1	COMPOSITIONAL	YES
PROC018	O+CTH+OL+Y	Arbeitsgang · bereit · fortsetzen · dies	diesen Posten bis bereit fortsetzen	1	COMPOSITIONAL	YES
PROC019	Y	dies	diesen Posten übernehmen	18	COMPOSITIONAL	YES
PROC020	OT+CH+OR	danach · abziehen · Ansatz	danach den Ansatz abziehen	2	COMPOSITIONAL	YES
PROC021	OT+OL	danach · fortsetzen	danach den Posten fortsetzen	1	COMPOSITIONAL	YES
PROC022	OL+OR	fortsetzen · Ansatz	den Ansatz fortsetzen	2	COMPOSITIONAL	YES
PROC023	O+Y+K+OR	Arbeitsgang · dies · zuführen · Ansatz	diesen Posten zuführen	1	COMPOSITIONAL	YES
PROC024	K+IIN	zuführen · Sollstufe	den Posten Sollstufe zuführen	1	COMPOSITIONAL	YES
PROC025	CH+O+AIIN	abziehen · Arbeitsgang · Maß	den Arbeitsgang nach Maß abziehen	1	COMPOSITIONAL	YES
PROC026	T+SH+OL	eintragen · halten · fortsetzen	den Posten eintragen und halten und fortsetzen	1	COMPOSITIONAL	YES
PROC027	SH+O+AL	halten · Arbeitsgang · Zielstelle	den Arbeitsgang an der Zielstelle halten	1	COMPOSITIONAL	YES
PROC028	CFH+Y	auswringen · dies	diesen Posten auswringen	1	PARTIAL_WITH_LEARNED_ATOM	YES
PROC029	SH+Y+AIIN	halten · dies · Maß	diesen Posten nach Maß halten	1	COMPOSITIONAL	YES
PROC030	P+Y	hinein · dies	diesen Posten hineingeben	1	COMPOSITIONAL	YES
PROC031	SH+EE+Y	halten · länger · dies	diesen Posten länger halten	4	COMPOSITIONAL	YES
PROC032	T+CH+O+DY	eintragen · abziehen · Arbeitsgang · Schluss	den Arbeitsgang eintragen und abziehen und den Schritt schließen	1	COMPOSITIONAL	YES
PROC033	SH+O+Y+T+Y	halten · Arbeitsgang · dies · eintragen · dies	diesen Posten halten und eintragen	1	COMPOSITIONAL	YES
PROC034	OL	fortsetzen	den Posten fortsetzen	2	COMPOSITIONAL	YES
PROC035	K+Y	zuführen · dies	diesen Posten zuführen	1	COMPOSITIONAL	YES
PROC036	OT+Y	danach · dies	danach diesen Posten übernehmen	1	COMPOSITIONAL	YES
PROC037	OK+OL	ansetzen · fortsetzen	den Posten ansetzen und fortsetzen	1	COMPOSITIONAL	YES
