instruction_id	page	record	source_statement_ids	visible_event_ids	executed_source_position_ids	loci	silent_owners_de	surface_sequence	literal_component_sequence	fluent_instruction_de	end_type	crosses_physical_locus	crosses_owner_boundary	line_end_is_sentence_end	component_values_unchanged
I001	f10r	H1	H1-S001|H1-S002	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010|E011|E012|E013|E014	SRC_E001|SRC_E002|SRC_E003|SRC_E004|SRC_E005|SRC_E006|SRC_E007|SRC_E008|SRC_E009|SRC_E010|SRC_E011|SRC_E012|SRC_E013|SRC_E014	f10r.2|f10r.5	abgebildete breit gezähnte radialblütige Pflanze	dchey cthoor char chty os chair otytchol oky daiin etyd qokchy qotchol chol cthy	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y | OK+Y | OT+CH+OL | OL | CTH+Y	Bei abgebildete breit gezähnte radialblütige Pflanze, dann diesen Posten kurz abziehen, dann den Arbeitsgang ausführen, dann von dort nehmen, dann diesen Posten eintragen, dann das Arbeitsfach wählen, dann den Posten aus dem Lauf abziehen, dann danach diesen Posten eintragen und abziehen und fortsetzen, dann diesen Posten ansetzen, dann das Maß setzen, dann diesen Posten kurz eintragen, dann diesen Posten ansetzen, dann danach den Posten abziehen und fortsetzen, dann den Posten fortsetzen, dann diesen Posten bis bereit halten.	RECORD_FINAL_OPEN	YES	NO	NO	YES
I002	f10r	H2	H2-S001|H2-S002|H2-S003	E015|E016|E017|E018|E019|E020|E021|E022|E023|E024|E025|E026|E027|E028|E029|E030|E031|E032|E033|E034|E035|E036|E037|E038	SRC_E015|SRC_E016|SRC_E017|SRC_E018|SRC_E019|SRC_E020|SRC_E021|SRC_E022|SRC_E023|SRC_E024|SRC_E025|SRC_E026|SRC_E027|SRC_E028|SRC_E029|SRC_E030|SRC_E031|SRC_E032|SRC_E033|SRC_E034|SRC_E035|SRC_E036|SRC_E037|SRC_E038	f10r.6|f10r.8|f10r.9	abgebildete breit gezähnte radialblütige Pflanze	ycheor cthy chor cthaiin qoctholy dy chy taiin shy qotchor chor otol chol cholor chol daiin dar oykchor shor chor chy kaiiin dy chodaiin	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y | OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR | O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	Bei abgebildete breit gezähnte radialblütige Pflanze, dann diesen Posten kurz abziehen, dann diesen Posten bis bereit halten, dann den Ansatz verwenden, dann das Maß setzen, dann diesen Posten bis bereit fortsetzen, dann diesen Posten übernehmen, dann diesen Posten übernehmen, dann das Maß setzen, dann diesen Posten übernehmen, dann danach den Ansatz abziehen, dann den Ansatz verwenden, dann danach den Posten fortsetzen, dann den Posten fortsetzen, dann den Ansatz fortsetzen, dann den Posten fortsetzen, dann das Maß setzen, dann von dort nehmen, dann diesen Posten zuführen, dann den Ansatz verwenden, dann den Ansatz verwenden, dann diesen Posten übernehmen, dann den Posten Sollstufe zuführen, dann diesen Posten übernehmen, dann den Arbeitsgang nach Maß abziehen.	RECORD_FINAL_OPEN	YES	NO	NO	YES
I003	f11r	H3	H3-S001	E039|E040|E041|E042|E043|E044|E045	SRC_E039|SRC_E040|SRC_E041|SRC_E042|SRC_E043|SRC_E044|SRC_E045	f11r.1	abgebildete dicht blau blühende Kronenpflanze	tshol schoal cfhy shfydaiin cphy shey tchody	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	Bei abgebildete dicht blau blühende Kronenpflanze, dann den Posten eintragen und halten und fortsetzen, dann den Arbeitsgang an der Zielstelle halten, dann diesen Posten auswringen, dann diesen Posten nach Maß halten, dann diesen Posten hineingeben, dann diesen Posten länger halten, dann den Arbeitsgang eintragen und abziehen und den Schritt schließen.	COMMITTED_CLOSE	NO	NO	NO	YES
I004	f11r	H3	H3-S002|H3-S003|H3-S004	E046|E047|E048|E049|E050|E051|E052|E053|E054|E055	SRC_E046|SRC_E047|SRC_E048|SRC_E049|SRC_E050|SRC_E051|SRC_E052|SRC_E053|SRC_E054|SRC_E055	f11r.1|f11r.4|f11r.7	abgebildete dicht blau blühende Kronenpflanze	shoyty dchol chy kchy dy daiin qotchy okchol cthy dy	SH+O+Y+T+Y | OL | Y | K+Y | Y | AIIN | OT+Y | OK+OL | CTH+Y | Y	Bei abgebildete dicht blau blühende Kronenpflanze, dann diesen Posten halten und eintragen, dann den Posten fortsetzen, dann diesen Posten übernehmen, dann diesen Posten zuführen, dann diesen Posten übernehmen, dann das Maß setzen, dann danach diesen Posten übernehmen, dann den Posten ansetzen und fortsetzen, dann diesen Posten bis bereit halten, dann diesen Posten übernehmen.	RECORD_FINAL_OPEN	YES	NO	NO	YES
I005	f55v	H4	H4-S001	E056|E057|E058|E059|E060	SRC_E056|SRC_E057|SRC_E058|SRC_E059|SRC_E060	f55v.5	abgebildete breitblättrige rispige Pflanze	qokaiin chaiin ykain ykan ody	OK+AIIN | AIIN | Y+K+AIN | Y+K+AIN | O+DY	Bei abgebildete breitblättrige rispige Pflanze, dann den Posten nach Maß ansetzen, dann das Maß setzen, dann diesen Posten zuführen, dann diesen Posten zuführen, dann den Arbeitsgang ausführen und den Schritt schließen.	COMMITTED_CLOSE	NO	NO	NO	YES
I006	f55v	H4	H4-S002|H4-S003	E061|E062|E063|E064|E065|E066|E067	SRC_E061|SRC_E062|SRC_E063|SRC_E064|SRC_E065|SRC_E066|SRC_E067	f55v.5|f55v.11	abgebildete breitblättrige rispige Pflanze	daiin chedy talam ykaiin cheoar cheeky oldy	AIIN | CHD+Y | TALAM | Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	Bei abgebildete breitblättrige rispige Pflanze, dann das Maß setzen, dann diesen Posten umsetzen, dann den Posten verwahren, dann diesen Posten nach Maß zuführen, dann den Arbeitsgang von dort kurz abziehen, dann diesen Posten länger wärmen, dann den Posten fortsetzen und den Schritt schließen.	COMMITTED_CLOSE	YES	NO	NO	YES
I007	f55v	H4	H4-S004	E068|E069|E070|E071|E072|E073	SRC_E068|SRC_E069|SRC_E070|SRC_E071|SRC_E072|SRC_E073	f55v.11	abgebildete breitblättrige rispige Pflanze	aiin okal oltchy or y orain	AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN	Bei abgebildete breitblättrige rispige Pflanze, dann das Maß setzen, dann den Posten an der Zielstelle ansetzen, dann diesen Posten fortsetzen und eintragen, dann den Ansatz verwenden, dann diesen Posten übernehmen, dann eine Portion nehmen.	RECORD_FINAL_OPEN	NO	NO	NO	YES
I008	f56r	H5	H5-S001|H5-S002	E074|E075|E076|E077|E078|E079|E080|E081|E082|E083|E084|E085|E086	SRC_E074|SRC_E075|SRC_E076|SRC_E077|SRC_E078|SRC_E079|SRC_E080|SRC_E081|SRC_E082|SRC_E083|SRC_E084|SRC_E085|SRC_E086	f56r.5|f56r.7|f56r.8	abgebildete mehrköpfige stachelige Pflanze	chochor cho chodaly daiin sho kchol otchor choky dal schol choy choky cheeckhody	HO+CH+OR | HO | HO+AL+Y | AIIN | HO | K+OL | OT+CH+OR | OK+Y | AL | OL | HO+Y | OK+Y | CH+EE+CKH+O+DY	Bei abgebildete mehrköpfige stachelige Pflanze, dann die Gabe abziehen, dann die Gabe nehmen, dann die Zielstelle setzen, dann das Maß setzen, dann die Gabe nehmen, dann den Posten zuführen und fortsetzen, dann danach den Ansatz abziehen, dann diesen Posten ansetzen, dann die Zielstelle setzen, dann den Posten fortsetzen, dann diesen Posten übernehmen, dann diesen Posten ansetzen, dann den Arbeitsgang am Durchlass länger abziehen und den Schritt schließen.	COMMITTED_CLOSE	YES	NO	NO	YES
I009	f56r	H5	H5-S003|H5-S004|H5-S005|H5-S006	E087|E088|E089|E090|E091|E092|E093|E094|E095|E096|E097|E098|E099|E100	SRC_E087|SRC_E088|SRC_E089|SRC_E090|SRC_E091|SRC_E092|SRC_E093|SRC_E094|SRC_E095|SRC_E096|SRC_E097|SRC_E098|SRC_E099|SRC_E100	f56r.12|f56r.13|f56r.18|f56r.19	abgebildete mehrköpfige stachelige Pflanze	sh cho kchey qokokchy okchy chokcheo kchal sho chokchy kchoar sotodan otchey keol daiin	SH | HO | K+E+Y | OK+OK+Y | OK+Y | OK+CH+E+O | K+AL | HO | OK+Y | K+HO+AR | OT+O+AIN | OT+Y | K+E+OL | AIIN	Bei abgebildete mehrköpfige stachelige Pflanze, dann den Posten halten, dann die Gabe nehmen, dann diesen Posten kurz zuführen, dann diesen Posten ansetzen und ansetzen, dann diesen Posten ansetzen, dann den Arbeitsgang kurz ansetzen und abziehen, dann den Posten an der Zielstelle zuführen, dann die Gabe nehmen, dann diesen Posten ansetzen, dann die Gabe von dort zuführen, dann danach eine Portion nehmen, dann danach diesen Posten übernehmen, dann den Posten kurz zuführen und fortsetzen, dann das Maß setzen.	RECORD_FINAL_OPEN	YES	NO	NO	YES
I010	f81v	B1	B1-S001	E101	SRC_E101	f81v.2	gemeinsame zweireihige Figuren-/Beckenstation	qokedy	OK+E+DY	Bei gemeinsame zweireihige Figuren-/Beckenstation, dann den Posten kurz ansetzen und den Schritt schließen.	COMMITTED_CLOSE	NO	NO	NO	YES
I011	f81v	B1	B1-S002	E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112|E113|E114|E115|E116|E117|E118|E119|E120	SRC_E102|SRC_E103|SRC_E104|SRC_E105|SRC_E106|SRC_E107|SRC_E108|SRC_E109|SRC_E110|SRC_E111|SRC_E112|SRC_E113|SRC_E114|SRC_E115|SRC_E116|SRC_E117|SRC_E118|SRC_E119|SRC_E120	f81v.2|f81v.7	gemeinsame zweireihige Figuren-/Beckenstation	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY	Bei gemeinsame zweireihige Figuren-/Beckenstation, dann den Posten nach Maß ansetzen, dann den Posten im Lauf zuführen, dann den Posten an der Zielstelle ansetzen, dann von dort nehmen, dann den Posten fortsetzen, dann eine Portion zuführen, dann eine Portion fortsetzen und zuführen, dann die Zielstelle setzen, dann den Posten fortsetzen, dann den Posten abkühlen und fortsetzen, dann den Posten führen, dann den Ansatz fortsetzen, dann den Posten fortsetzen, dann den Posten an der Zielstelle am Durchlass kurz halten, dann das Maß setzen, dann den Posten an der Zielstelle länger ansetzen, dann das Maß setzen, dann diesen Posten übernehmen, dann den Posten umsetzen und den Schritt schließen.	COMMITTED_CLOSE	YES	NO	NO	YES
