event_id	source_position_id	instruction_id	page	record	statement_id	locus	surface	card_no	component_parse	literal_reading_de	fluent_command_de	semantic_execution	component_values_unchanged
E001	SRC_E001	I001	f10r	H1	H1-S001	f10r.2	dchey	PROC001	CH+E+Y	abziehen · kurz · dies	diesen Posten kurz abziehen	EXECUTE_ONCE	YES
E002	SRC_E002	I001	f10r	H1	H1-S001	f10r.2	cthoor	PROC002	CTH+O+OR	bereit · Arbeitsgang · Ansatz	den Arbeitsgang ausführen	EXECUTE_ONCE	YES
E003	SRC_E003	I001	f10r	H1	H1-S001	f10r.2	char	PROC003	AR	von dort	von dort nehmen	EXECUTE_ONCE	YES
E004	SRC_E004	I001	f10r	H1	H1-S001	f10r.2	chty	PROC004	T+Y	eintragen · dies	diesen Posten eintragen	EXECUTE_ONCE	YES
E005	SRC_E005	I001	f10r	H1	H1-S001	f10r.2	os	PROC005	OS	Arbeitsfach	das Arbeitsfach wählen	EXECUTE_ONCE	YES
E006	SRC_E006	I001	f10r	H1	H1-S001	f10r.2	chair	PROC006	CH+AIR	abziehen · Lauf	den Posten aus dem Lauf abziehen	EXECUTE_ONCE	YES
E007	SRC_E007	I001	f10r	H1	H1-S001	f10r.2	otytchol	PROC007	OT+Y+T+CH+OL	danach · dies · eintragen · abziehen · fortsetzen	danach diesen Posten eintragen und abziehen und fortsetzen	EXECUTE_ONCE	YES
E008	SRC_E008	I001	f10r	H1	H1-S001	f10r.2	oky	PROC008	OK+Y	ansetzen · dies	diesen Posten ansetzen	EXECUTE_ONCE	YES
E009	SRC_E009	I001	f10r	H1	H1-S001	f10r.2	daiin	PROC009	AIIN	Maß	das Maß setzen	EXECUTE_ONCE	YES
E010	SRC_E010	I001	f10r	H1	H1-S001	f10r.2	etyd	PROC010	E+T+Y	kurz · eintragen · dies	diesen Posten kurz eintragen	EXECUTE_ONCE	YES
E011	SRC_E011	I001	f10r	H1	H1-S002	f10r.5	qokchy	PROC011	OK+Y	ansetzen · dies	diesen Posten ansetzen	EXECUTE_ONCE	YES
E012	SRC_E012	I001	f10r	H1	H1-S002	f10r.5	qotchol	PROC012	OT+CH+OL	danach · abziehen · fortsetzen	danach den Posten abziehen und fortsetzen	EXECUTE_ONCE	YES
E013	SRC_E013	I001	f10r	H1	H1-S002	f10r.5	chol	PROC013	OL	fortsetzen	den Posten fortsetzen	EXECUTE_ONCE	YES
