entry_id	entry_tier	entry_type	recognition_form	portable_value_de	productive_composition_uses	all_atom_uses	physical_pages	teaching_rule_de
R-Y	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	Y	DIES	484	997	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-OK	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	OK	SETZEN	76	448	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-E	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	E	KURZ	189	429	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-DY	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	DY	SCHLIESSEN	85	368	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-O	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	O	AUSFÜHREN	191	341	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-OL	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	OL	FORTSETZEN	194	325	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-EE	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	EE	LÄNGER	75	264	f55v|f56r|f67r2|f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-OT	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	OT	DANACH	46	239	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-AL	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	AL	ZIEL	98	229	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-CH	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CH	NEHMEN	153	222	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-D_ADDR	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	D_ADDR	TEIL	139	222	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
